headline,body
Automobile exhausts major cause of air pollution,"Bangladesh, Jan. 22 -- The number of motor vehicles has been increasing in Dhaka city day by day contributing to air pollution on the one hand and traffic congestion on the other./The gridlocked motor vehicles on the roads also contribute significantly to emission ingredients in the capital city Dhaka, specially emissions of carbon a persistent air quality problem./It is learnt that the ambient atmospheric conditions in the capital have deteriorated due to the unprecedented growth in numbers of motor vehicles, and levels of motor-vehicle related pollutants frequently exceed internationally agreed air quality guidelines./The main pollutants from internal combustion engines are carbon monoxide, hydrocarbons, nitrogen oxides, sulphur dioxide particulates of lead compound and unburned carbon particles./Moreover, the emissions from diesel engines are smoke, carbon monoxide, unburned carbon, nitrogen oxides and sulphur dioxide./A recent study indicates that motor vehicles are also a major source of other toxic air pollutants including 1.3-butadiene, benzene and a number of carcinogens associated with particulate matter. As the vehicles continues to grow, motor vehicle emissions and the products of their transformation in the atmosphere, random acceleration-deceleration due to non-motorized vehicles in the city, are becoming increasingly important contributors to the major air pollution problem, the study adds./According to an investigation, the daily total emissions of NOx, HC, CO, PM, and SOx are estimated and burdened to city's air and equivalent to: 42, 39, 314, 14, and 42 tons/day, respectively./Besides, daily average concentration of NOx (NO2, NO) was measured at 28 street locations in Dhaka city. The results showed extremely high concentrations of NO2 and NO in each location./The pollutant species most often of concern with respect to transportation facilities are carbon monoxide (CO), hydrocarbons (HC), photochemical oxidants e.g., ozone (O3), nitrogen oxides (NOx), particulate matter (PM), the investigation revealed./Experts say, ""A substantial part of total traffic is non-motorised vehicles which enhance specially in road intersections.""/Sources of the Bangladesh Atomic Energy Commission (BAEC) have said pollution severity occur in Dhaka due to large number of high polluting vehicles, impure fuel, inefficient road use, and overall poor traffic management./The pollutants of concern for Dhaka are particulate matter, dust, oxides of nitrogen and sulfur dioxide, sources have added./Professor of Environmental Science Discipline at Khulna University Muhammad Mehedi Hassan said, ""Air pollution seriously affects the respiratory tract and causes irritation, headache, asthma, high blood pressure, heart ailments and even cancer."" Published by HT Syndication with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
NCD main health problem in country,"Bangladesh, Feb. 10 -- Bangladesh is facing a health crisis with rising rates of heart disease, diabetes, obesity, and other non- communicable diseases (NCDs), which disproportionately affect poor families, with possible side effects of disability and premature death, says a World Bank press release issued on Thursday./According to a new World Bank report, the health crisis lead to worsen poverty as people pay for medical treatment out of their own pockets./The report Capitalizing on the Demographic Transition:/Tackling Non communicable Diseases in South Asia? heart disease in the region is now the leading cause of death in adults aged 15- 69, and that South Asians suffer their first heart attacks six years earlier than other groups worldwide./NCDs have already become the largest health burden in Bangladesh, accounting for 61 percent of lives lost and this burden is expected to increase as the proportion of people over the age of 65 increases to 6.5 percent of the population by 2025, the report added./'Leading causes include road traffic accidents causing serious injuries, tobacco use and indoor air pollution'./'This unfair burden is especially harsh on poor people, who, after heart attacks, face life-long major illnesses, have to pay for most of their care out of their savings or by selling their possessions, and then find themselves caught in a poverty trap where they can't get better and they can't work,"" says co-author Michael Engelgau, MD, a World Bank Senior Public Health Specialist./Engelgau says that low birth weight- common among poor families in Bangladesh- is an important risk factor for NCDs in adults and that multiple risk factors such as obesity, high blood pressure, high cholesterol and glucose, frequently occur in the same person./The new report says that with average life expectancy in Bangladesh now at 64 years and rising, people are getting older without better living conditions, healthier nutrition, rising incomes, and access to good healthcare that benefitted older people in developed countries in previous decades./Hence, Bangladeshis are becoming more vulnerable to heart disease, cancers, diabetes, and obesity, and creating significant new pressures on health systems to treat and care for them, the report further said./NCD risk factors- smoking is a major risk factor in NCDs, and the prevalence among Bangladeshi men is high with 47 percent as against four percent for women./To prevent and control NCD in Bangladesh, the report made some recommendations including retool health services for NCDs, strengthen tobacco control policies, strengthen injury control policies with a focus on road traffic injuries and drownings, develop a national NCD surveillance system, strengthen evaluative capacity and participate in regional collaboration. Published by HT Syndication with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
"10,000 die in city air pollution yearly","Dhaka, April 3 -- Over 10,000 people are killed in the capital per year because of diseases caused by air pollution from suspended particulate matters./A recent study on risk assessment of particulate matter and other causes of air pollution was conducted to find out the economic losses due to the adverse health effects of the pollution./Prof AK Azad and Prof S Jahan of Environmental Science Discipline of Khulna University and Prof J Sultana of Khulna University of Engineering and Technology conducted the study recently./Among the pollutants, SPM, whose levels are 5 to 6 times higher than Bangladesh Standard in the heavily polluted areas in Dhaka,is the most harmful one./The SPM composed of fully dispersed liquids and solids, including soot, dust and organic and inorganic substances./The study found that pollution is causing 74,000 cases of chronic bronchitis, about 70 million cases of restricted activity days, about 14,000 cases of respiratory hospital diseases, over 286,000 emergency room visits, about 2.8 million cases of asthma attacks and over 220 million respiratory symptom days each year in the capital alone.The study observed that air pollution entails economic losses to 3-4 per cent of the country's national GDP. After evaluating economic impacts, the study estimated loses in billions of taka accumulated from the cost of death, chronic bronchitis and restrictive activity days./It also estimated Taka one billion as cost for treatment of respiratory diseases, Taka five billion cost of asthma attacks and Taka six billion as cost of respiratory related diseases./""Three pollutants - suspended particulate matter (SPM), Sulphur dioxide and air-borne lead-pose a significant air pollution problem, having major public health impacts,"" says the study./Air pollution also reduces food production and timber harvests, because high levels of pollution impair photosynthesis. In Germany, for example, about 4.7 billion US dollar a year in agricultural production is lost to high levels of sulphur, nitrogen oxides, and ozone./Automobile and industrial emissions, bad civic practices and poor government services are some of the major factors causing air pollution./A World Bank report recently said air pollution kills 15,000 Bangladeshis each year. The report says the country could save between 200 million and 800 million US dollars a year - about 0.7 to 3.0 per cent of its gross national product - if air pollution in its four major cities was reduced./The report adds that 6.5 million people in these cities suffer each year. And the major disease is not diarrhoea, as is the popular perception, but acute respiratory infections caused mainly by polluted air. Published by HT Syndication with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Stress worsen lung function in kids,"India, July 1 -- HealthDay News : Children who live in stress-filled homes experience more air pollution-related lung damage than kids in less stressful environments, a new study finds. Researchers looked at the effects of traffic-related pollution and parental stress on 1,400 children, aged 10 to 12, in California. There were no significant associations noted between parental stress alone and lung function levels in the children. /But as exposure to traffic pollution increased, lung function decreased among children in high-stress homes. This did not occur among children in low-stress homes, said the researchers at the Keck School of Medicine of the University of Southern California, Los Angeles. Certain factors associated with low socioeconomic levels were also linked with high stress, such as an annual income below $30,000, low education levels among parents, no air conditioning in the home and a lack of health insurance. The study appears online ahead of print in the American Journal of Respiratory and Critical Care Medicine. ""One possible explanation for the stress-related pattern of [traffic-related pollution] respiratory effects is the biological pathways common to effects of traffic-related pollution and stress,"" lead researcher Talat Islam, an assistant professor in the environmental health division at Keck, said in a news release from the American Thoracic Society. ""Like air pollution, stress has been linked to both inflammation and oxidative damage at the cellular level, so this may explain the association,"" he added. The public health implications of this finding are clear, he noted. ""The magnitude of the traffic-related pollution-associated deficits in [lung function] levels in children growing up in high-stress households was larger than deficits reported for children exposed to maternal smoking during pregnancy and secondhand tobacco smoke,"" Islam said. ""Our findings suggest that by regulating traffic-related pollution levels around residential areas and schools, we could reduce the adverse effect of traffic-related pollution on lung function among vulnerable children,"" he concluded./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Poisonous smog hovers over city,"Bangladesh, Oct. 17 -- Suspended particles released intothe air from different sources, smoke and carbon monoxide emitted by motorvehicles and industrial units in and around the city remained trapped under ablanket of cloud that remained stationary over the metropolitan city of Dhakayesterday./The Bangladesh MeteorologicalDepartment said that the conjugation of westerly and southerly winds createdthe cloud over the city. As the cloud was mostly dry it produced fog instead ofcausing rainfall. The fog mixed with the smoke from the city and itssurroundings created the poisonous smog that hovered over the city for almostthe whole day./Dhaka's air is dangerouslypolluted with the concentration of suspended particles being more than doublethe permissible limits in many areas. Some areas are again affected byexcessive concentration of carbon monoxide and some others by sulphur dioxideor nitrous oxide, according to surveys conducted by the Department ofEnvironment./Experts say, smog is caused bymany factors. The smog that enters theatmosphere consists of over 100 chemicals, many coming from different sources.Particulates present in smog include carbon monoxide, dirt, soot, dust, andozone. To really create the smog effect,sunlight, hydrocarbons, and nitrogen oxides have to mix together./Major producers of smog includeautomobiles, fires, waste treatment, oil production, industrial solvents,paints, and coatings. Car engines, especially diesel engines, as well as gasstations that allow gas to be leaked out are huge contributors to the smogproblem. Gas vapor that gets away fromgas pumps contributes to the hydrocarbons needed to form smog. Diesel engines emit particles of soot thatenter the atmosphere./When an area becomes covered insmog, the people feel the effects immediately. Unlike other problems, which may be harder to understand and visualize,smog creates immediate problems that everyone will experience./Smog creates many harmful healtheffects. It can cause anything fromminor pain to deadly diseases such as lung cancer. Smog slowly ruins people's lungs to an extentas great as that of cigarettes./The human body has difficultydefending itself against the harms of smog. Smog can irritate and inflame pulmonary membranes, causing chest pains,coughing, and throat irritation. Otherillnesses such as colds and pneumonia can also be brought on by exposure tosmog./People with asthma problems areunder an even greater threat. Even minorexposure to smog may cause these people to get asthma attacks./Mexico City has the world's worstlevels of smog. As a result, childrenand the elderly are advised not to live in the city. The heavy smog levels have had serious healtheffects in the city, though many poorer people who need city jobs have to livethere and suffer from the smog. According to a 2009 survey the concentration ofsuspended particles in Dhaka's air was 463 micrograms per cubic meter, whichwas higher then even Mexico. About 15,000 premature deaths and several millioncases of pulmonary, respiratory and neurological illness in Bangladesh is attributedto air pollution./The Met office has forecastnearly similar weather for today with light rain here and there over thecountry./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Lifestyles and diseases,"Dhaka, Aug. 31 -- A WORLD Health Organization (WHO) report has estimated that 44 percent of all deaths annually in Bangladesh are linked to chronic diseases. The increasing trend of chronic diseases have been explained as one result of changing lifestyles related to food intake, less physical activity, growing tobacco use and air pollution. The forces of globalisation over the last few decades have not only made our markets and economies more interdependent but also virtually linked the population with people all over the world through easy modes of cultural exchange, such as: internet, movies, tourism, education and the electronic media./All these processes change people's perception, attitude and behaviour while the open markets cater to our new type of needs in the form of importing and selling a variety of western products like Kentucky Fried Chicken (KFC), pizza, burger, sugary and fizzy drinks. Besides, local brands of fast-foods are also being popularised through rigorous marketing, promotion and advertising. The growth and popularisation of fast-foods are causing abundant intake of risky foods with little nutrition value. In this respect people's perception regarding being 'smart' plays a critical role. Junk foods like burgers cause people not to eat a proper balanced diet./The proliferation of computer, television, video games and various other forms of electronic entertainment which is helping people to avoid physical activity. Children, adolescents and even adults to spend more of their time in front of the TV, computers or playing video games rather than involving in activities demanding more physical engagement. Consequently, more and more children, adolescents and adults are suffering obesity and other forms of chronic diseases. Further, not sleeping in the night has become a regular feature for the young generation. The consequences of this tendency are taking a grave toll in health causing different types of sicknesses related to lack of sleep./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
"Call to learn danger signs of pneumonia to prevent 19,000 deaths annually","Dhaka, Nov. 12 -- A preventable and treatable disease, pneumonia kills more children than any other disease in Bangladesh. Save the Children says that families and communities need to be aware of the danger signs of pneumonia, in order to prevent this needless deaths. The group added that increased coverage of pneumonia prevention and treatment interventions is also required./According to a 2011 national survey, only 35 per cent of children with pneumonia-like symptoms were taken to a health facility or qualified provider for treatment. Pneumonia is the world's leading killer disease of children under-five, accounting for more than deaths in 2010 caused by[m1] malaria, measles and AIDS combined./To highlight this issue, Save the Children in Bangladesh along with WHO, UNICEF, Smiling Sun, Bangladesh Paediatric Association, Dhaka Shishu Hospital, Child Health Research Foundation and ICDDR'B is organising ""Stakeholder Dialogue - Gaps in Prevention & Treatment"" for pneumonia on 11th of November, a day ahead of World Pneumonia Day./""The danger of pneumonia is the similarity of its symptoms to a common cold. This means that it often goes unrecognised, and hence untreated, killing thousands of children in Bangladesh needlessly each year,"" said chief guest National Professor M R Khan. Symptoms of pneumonia include rapid or difficult breathing, coughing, fever, chills, and wheezing./""It's the biggest killer of children each year, but the truth is, it can be prevented with simple interventions and treated with appropriate antibiotics. If only families and communities could learn to identify it and timely seek help from trained health care providers.""/Even for those seeking help, care may not be available. According to a 2011 report by Save the Children, 'The Status of Community Based Health Workers in Rural Bangladesh', none of the divisions in Bangladesh meet the minimum threshold of 23 doctors, nurses and midwives per 10,000 population that was established by WHO as necessary to deliver essential maternal and child health services./""The government of Bangladesh is training health workers to identify and manage pneumonia. However, without a health worker within the reach of every child, pneumonia will continue to go untreated, especially in the poorest and most remote areas. Every child has a right to healthcare access,"" said Professor Dr Shahidullah, general secretary of Bangladesh Paediatric Association./To reduce the number of child pneumonia deaths in Bangladesh, Save the Children recommends:/1. Increase coverage of interventions, with emphasis on reaching remote and poor communities, ensuring quality of care at all levels. 2. Strengthen community capacity (e.g. families, teachers, etc) to recognize danger signs of pneumonia and to seek appropriate care. 3 Increase access to case management at community and facility levels. 4. Orient informal providers (such as village doctors) on standard case management, timely referral and avoidance of harmful practices. 5. Increase coverage of immunisation and introduce pneumococcal vaccine into routine immunisation program as per plan. 6. Increase promotion of exclusive breastfeeding. 7. Systematically address the issue of indoor air pollution./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Help protect people from smog,"Dhaka, Dec. 30 -- SUSPENDED particles released in the air from different sources have remained trapped and stationary under a blanket of cloud over Dhaka city in the last few days. Prolonged cold weather has created fog to a suffocating environment for city dwellers. The fog added with suspended particles, harmful gases, dust, smoke has created smog that hovers all over the city and affects health of the city dwellers. The air of Dhaka city where almost ten percent of the total population of the country lives is dangerously polluted. The densely populated city is burdened with old and faulty vehicles, thousands of brickfields around it./Huge dust in the dry winter contributes to air pollution at an alarming rate. The smog effect is the worst situation created due to air pollution over a long period during dry season. A huge number of vehicles (60 % of the total vehicles in the country.) ply in the city and emit suspended particulate matter (SPM) that contains soot, responsible for absorbing and carrying harmful organic compound to lungs. Carbon monoxide when inhaled makes it difficult for heart to pump blood through arteries./The smog effect is dangerous threat to city dwellers especially to women and children. It can cause anything from minor pain to deadly diseases like cancer. Smog can irritate and inflame pulmonary membranes, causing chest pains, colds, pneumonia, coughing, and throat irritation. People with asthma problems have higher risks to face respiratory attack because of smog effect. A minor exposure to smog cause a healthy person to get asthma attacks. There is a little scope to deal with things that is concentrated on atmosphere naturally. Steps are needed to stop emission of poisonous particles and also to make people aware the harmful effects of smog./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Stop wood burning in brickfields,"Dhaka, Jan. 5 -- ACCORDING to a report in this paper on Friday, hundreds of brickfields at Savar, Keraniganj and Munshiganj near Dhaka city are defying regulations most uncaringly and continuing with brick burning by using firewood. Many such brickfields across the country continue to do so caring little for the regulations. The law needs to be vigorously applied in this area. The higher authorities ought to see to it that the directive regarding not using firewood in brick kilns is properly observed. Coal from Barapukuria coal mine is abundant and there is no reason why brickfield operators cannot use such coal feasibly./There are other regulations which the managers of the kiln ought to heed such as building chimneys at a certain height and positions that their exhausts can be discharged towards relatively less inhabited places. There are strict rules to prevent the establishment of brickfields in densely populated areas or too near places having considerable trees and vegetation. The brickfield operators should be obliged by the authorities to adhere to rules. As it is, many populated places are facing environmental degradation from the freestyle operation of the brickfields. People living in these areas are suffering from asthma and skin diseases./The dying of trees and vegetation in these places due to radiation of heat from brickfields, are contributing to the serious environmental decline there. The demand for firewood in the brick kilns leads to the cutting down of trees creating both deforestation and reverses to afforestation activities. All of these things dictate the need for more enforcement of regulations in relation to the brickfields. Smoke and shoot emitted from brickfields around the capital city add to the burden of air pollution that creates serious health hazards. The earlier the use of firewood in the brick kilns is stopped the better./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
How humans affect ecosystems,"Dhaka, Jan. 7 -- We all watch the news on the TV almost every day. Every day we hear about murders, robberies, frauds and other crimes. They show us this information because the news is meant to give us this kind of information. /They give us the right information and we think that's all we need to know but, there is something they miss every day. Something that is very important and should be the top story on the news every day. That something is how today's humans are affecting ecosystems by living modern lives. An ecosystem is basically a food chain or a food web. It is living and non-living things interacting with each other for survival. This cycle also includes us. Humans today are unexpectedly and horribly affecting ecosystems. An example of an affected ecosystem would be Africa. Africa is a continent where millions of people die every year because of diseases. This happens because they have already affected their communities, their natural habitat. In other words, they have affected their ecosystem. Canada, known as the most developed countries in the world is also heading towards this problem. We are also polluting our natural resources and ecosystem through several ways. I feel that we are letting this matter just slip away. My opinion on this is that we should take immediate action against this or else we might end up having a massive natural disaster./The main reason why I am taking this matter so seriously is because of the air pollution that is occurring. Air is the most important basic need for humans and other living things. We are polluting this part of our basic need horribly. Air pollution is mainly caused because of burning fuels. Burning fuels is a common consequence in most parts of the world. This releases a type of gas called the greenhouse gases. Greenhouse gases are very harmful to the ecosystem because they trap heat in the environment and do not let it escape into space. This causes the temperature to go up more than average in the summer which actually causes heat stroke deaths in some parts of the world. This is happening because of technology. People today are too dependent on technology. We are using the internet too much for chatting; we are using cars for short distance travels when we have public transport and feet. Cars are one of the most important reasons for burning fuels. Cars need petrol and that comes from burning crude oil. Crude oil is found in the Earth. Huge amounts of that oil are picked up from the Earth and are being burned. This causes a chemical reaction that turns the crude oil into petrol that the cars need. This is very harmful to the environment and releases huge amount of carbon dioxide into the atmosphere. The way to solve this problem is to lower the amount of car usage and take the public transport sometimes./The second most important reason is pollution of water. This has already happened to some parts of the world. The main reason for water pollution is garbage. In Canada, people produce about 16,000 tons of garbage every year. It is too much for a population like ours. The garbage that we produce goes to landfills that cover thousands of miles. However, some Canadian governors think that the place where the amount of land that the garbage is covering can be used for other reasons such as build a shopping mall. They thought that the solution for this is to throw the garbage into rivers and oceans and it will float away. The thing that they didn't know that this will pollute the water. The chemicals from the garbage will mix with the water and make the water dirty. This causes diseases in some countries. Countries like Bangladesh have already polluted their water sources. They blocked their underground sewage tunnels with garbage and caused floods that lead to massive health hazards and even death. Canada is actually halfway to water crisis. The Pacific Ocean which is a huge natural water source already has a garbage patch in the middle of it. I think this is a great example of how humans are polluting their water source./The last reason for my topic is the extinction of plants and animals. The number of plants and animals has rapidly went down since 2001. We are killing our nature by using plants for modern reasons. Even if plants and animals can't talk, they are living things and need the five basic needs to survive as we do./We are not letting animals have suitable habitat by cutting down and clearing forests for new constructions and other reasons. We are killing plants by cutting them down and using their logs for other purposes. Plants actually play a vital role by providing us the oxygen. Plants breathe in carbon dioxide that we breathe out and breathe out oxygen that we breathe in. This process is called photosynthesis. Through the process of photosynthesis plants provide us the oxygen. So my point is that if plants do this huge favor to us, then why we kill them? I also feel that nature is beautiful and should be protected./My opinion on this topic is that even though Canada is one of the most developed countries in the world, it still has problems with its ecosystem. Other countries which have suffered from results of pollution are now trying to improve. They are living in poverty for their mistake. Canada is also beginning to face some serious issues with its environment and if we still want to improve and move on as a developed country, we have to start by improving our ecosystem. This is my opinion on ""how humans affect ecosystems""./Published by HT Digital Content Services with permission from The New Nation. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
