headline,body
Unspontaneous combustion," SINCE the mid-1980s, when Indonesia first began to clear its bountiful forests on an industrial scale in favour of lucrative palm-oil plantations, ""haze"" has become an almost annual occurrence in South-East Asia. The cheapest way to clear logged woodland is to burn it, producing an acrid cloud of foul white smoke that, carried by the wind, can cover hundreds, or even thousands, of square miles./The intervening decades have seen the passage of numerous national and international regulations to stop the fires, but all, it seems, to no avail. The past two weeks have seen some of the worst smog ever, taking a severe toll not only on peoples' lungs, throats and tempers, but also on diplomatic relations and Indonesia's attempts to improve its environmental image. Worse still, despite the outcry, it is hard to see how matters are going to improve over the next few years./Most of the burning, which starts every dry season, is concentrated this year in Riau province on the east coast of Sumatra. Indonesia is the world's biggest palm-oil producer and Riau its most productive province. Sadly for Singapore and Malaysia, it lies just across the Strait of Malacca from them. From June 16th Singapore and large parts of Malaysia were smothered in smog from this year's fires./In Singapore the pollution was the worst ever, pummelling the previous records set in 1997, when the haze affected six countries and perhaps 70m people. Then, the Pollutants Standard Index (PSI) in Singapore, a measure of air quality, hit a panic-inducing 226, defined as ""very unhealthy"". On June 19th, by contrast (the day of the satellite picture above), the PSI climbed to over 300, defined as ""hazardous"", before peaking at 401 on June 21st. The government issued face masks and almost everyone took its advice to stay indoors. Malaysia declared a state of emergency in parts of its southern state of Johor when the Air Pollution Index, only slightly different from Singapore's PSI, exceeded 500; it reached 750 on June 23rd. Kuala Lumpur, the capital, and coastal cities were also badly affected, as was Riau province itself, where hundreds were evacuated./Fraternal relations within the Association of South-East Asian Nations (ASEAN), the regional political grouping, quickly dissolved into acrimonious finger-pointing. Agung Laksono, the minister in charge of Indonesia's response to the crisis, said that Singaporeans were behaving ""like children, in such a tizzy"". Singaporeans and Malaysians pointed out that Indonesia was the only ASEAN member not to have ratified a 2002 Agreement on Transboundary Haze Pollution. It was only on June 24th, when the damage was done, that its president, Susilo Bambang Yudhoyono, apologised to his irate neighbours./At least three laws in Indonesia prohibit the burning and clearance of forests, and in particular Sumatra's extensive peat wetlands. But environmental campaigners argue that the government has never seriously enforced these laws. Despite the arrest in Sumatra this week of eight farmers, supposedly caught red-handed, hardly anyone has been successfully prosecuted over the years for lighting fires. Palm oil's economic importance to Indonesia seems to afford the industry protection. Last year exports totalled $17.9 billion, second only to coal. Some 5m people live off the industry. These are big numbers in a relatively poor country./About half of the vast amount of land on which the fires are burning in Sumatra belongs to big palm-oil conglomerates, many of them Malaysian-owned. They have been accused of setting illegal fires in the past, in order to clear more of their concessions for palm oil. Satellite imagery clearly shows fires burning on the land of some of them, and the Indonesian government has named eight companies that it wants to investigate. Even so, it is going to be very difficult to apportion blame. One company, Singapore-based Asia Pacific Resources International Limited, acknowledges that there have been three fires on its land, but claims these had ""originally started outside of its concession area""./Another perennial problem is corruption. This year's disaster was preceded on June 14th by the arrest of Rusli Zainal, the governor of Riau since 2003. He was charged, among other crimes, with dishing out illegal logging permits to finance a forthcoming re-election campaign. Under the country's political decentralisation in 2001, generally considered to be good for democracy, the power to regulate land use passed from Jakarta to regional and often district-level politicians. They have often abused this authority to raise money./For peat's sake/Much of the area now burning in Riau is peat wetland, almost all that's left after years of rampant deforestation. Peat, which can go down to a depth of 30m in Sumatra, is highly combustible, even many metres down. A fire doused on the surface might smoulder underground long after. It is illegal to burn peat for commercial development. But as the past few weeks have proved, the law is not enough. And, ominously for those hoping for clear skies and clean air, a lot of peat is left."
Second generation action needed to check air pollution in Dhaka city," As Dhaka is becoming the most densely populated and a rapidly growing city, experts have come up with a package of suggestions like second generation action plan to check air pollution, largely responsible for various diseases among the dwellers./In this respect, their suggestions spoke clearly of accelerating vehicle technology leapfrog, scaling up of public transport, integrated multi-modal transport options, car restraint, walking and cycling for clean air in the capital city of Bangladesh./The second generation action plan obviously stands for, among other steps, more up-to-date and realistic as well as visionary approaches towards stricter management of vehicular traffic movement side by side with more drastic control on emission of poisonous smokes into the air./The suggestions were placed at a workshop on Air Quality and Sustainable Transpor-tation Challenge in South Asian Cities, jointly organised by Centre for Science and Environment (CSE), Bangladesh Road Transport Authority (BRTA) and Work for a Better Bangladesh (WBB) Trust recently./The workshop was a part of a joint initiative to build a forum for city dialogue on air quality and sustainable mobility in South Asia and to find solutions to the daunting air pollution and mobility challenges facing the cities in the region./Dozens of stakeholders including policy makers from the concerned ministries, departm-ents/agencies, experts, academicians and civil society groups involved with the implementation of clean air, transportation and mobility related policies in Bangladesh discussed the dangerous effects of air pollution and transportation challenges in Dhaka city./While stressing upon future actions to check the menacing air pollution in urban areas, the speakers said the South Asian cities including Dhaka and New Delhi, already having taken some significant steps to control air pollution, are facing newer challenges with the rapid rise in population and increasing movement of vehicles./The only way these cities can address the twin challenges of air pollution and congestion is by protecting their inherent strength in sustainable commuting practices-public transport, walking, cycling and compact city design,"" a CSE expert said adding, these cities have to recognise their inherent strength otherwise pro- car policies can destroy this advantage and lead to enormous pollution, ill health and fuel wastage./Earlier, the CSE shared the findings of an opinion survey of a select group of stakeholders in Dhaka to assess the public perception of the growing problem of pollution and congestion and the nature of intervention needed./According to the survey findings, about 80 percent of the respondents travel daily by bus, or use cycle rickshaws and walk while 20 percent use cars./A snapshot of the ongoing survey brought out the challenges that Dhaka is facing deteriorating air quality and health impacts due to air pollution. The survey brought out overwhelming support for the public transport as the respondents stressed on the need for good quality, reliable, convenient city bus services and walking and cycling facilities./After the WBB Trust presented the mobility challenges in Dhaka, the speakers addressed issues like air quality monitoring and management; gaseous fuel programme, public transport strategies to reverse the trend of growing dependence on cars, non-motorised transport, walking and cycling strategies, car restraint strategies and parking policy; challenges of in-use vehicles and roadmap for effective vehicle inspection programme in Bangladesh and role of civil society in the transition./There has long been complaints of headache, eye and skin irritation as well as breathing problem, which are very common among the users of the city's roadways./The situation, seriously harming the children and the elderly people, is feared to worsen further with increase of population and economic development in this city./Environmentalists say inadequate traffic management practices, undue encroachment onto the available road space by vendors and traders, poor road user behavior, lack of road space for commuters, inadequate enforcement of traffic regulations and traffic induced pollution in Dhaka are putting the dwellers into a dangerously harmful state./With its rapid growth over the decades, Dhaka has been a showcase for almost every imaginable problem emanating from quantitative and qualitative inadequacies of existing urban infrastructures and the inefficient urban and environment management systems./Since the transportation congestion has changed so dramatically in type and magnitude, the environmentalists find it as the number one source of urban environment problems, calling for a significant expansion of the city's structure from mono- centric to the poly-centric."
WHO to discuss regional health issues next month," Health ministers from the 11 countries of WHO's South-East Asia Region will meet in New Delhi, India from 10 to 13 September to discuss key health issues facing the Region./The Thirty-first Meeting of Health Ministers of the Region, where the Bangladesh Health Minister Prof. Dr AFM Ruhal Haque is due to join, will be held on 10 September./The Health Minister's Meeting is a forum for exchange of national experiences on the political, social and economic dimensions of health. The meeting is being hosted by Indian Health and Family Welfare Minister Ghulam Nabi Azad./This will be followed by the Sixty-Sixth Session of the WHO Regional Committee for South-East Asia. The Regional Committee is a statutory body comprising the Member countries, which meets once a year to review progress and regional implications of the World Health Assembly decisions and to map the way forward./Dr Margaret Chan, WHO Director-General, and Dr Samlee Plianbangchang, WHO Regional Director for South-East Asia, will be present with their team of senior advisers at both meetings./The Meeting of Ministers of Health will discuss ways to address the leading risk factor for mortality in the Region from hypertension. The ministers are expected to adopt the 'New Delhi Declaration on High Blood Pressure' as well./In the Regional Committee Meeting, key technical issues such as Universal Health Coverage (UHC), which is to ensure that all people get necessary healthcare without any financial hardship, and non-communicable diseases (NCDs), for which each year around 7.9 million people die, are scheduled to be discussed./Member States are expected to consider the reduction of household air pollution as an additional target for the Region. The Regional Committee will also deliberate on the Regional Action Plan for Prevention and NCDs and put some light on measles elimination and rubella control."
A kerosene lamp which also cooks food without polluting," A lamp which produces high quality light and doubles up as a device to cook food without causing pollution has been invented by a team of engineers in the western Indian state of Maharashtra, reports AFP./Suitable particularly for rural households which lack clean cooking fuel and electricity, the device, aptly named Lanstove (lantern combined with cook stove), has been developed by researchers from Nimbkar Agricultural Research Institute (NARI) in Maharashtra's Phaltan./IIT graduate Anil Rajvanshi, who led the team, says the clean-combustion kerosene lanstove provides excellent light equivalent to that from a 200-300 W electric bulb and cooks a complete meal for a family of five just like an LPG stove./""To our knowledge this is the first such device where both lighting and cooking are combined together resulting in tremendous energy efficiency and saving of fuel,"" he says in a research report published by the institute./The Lanstove consists of a nine litre pressurised kerosene cylinder, a high light output mantle lantern and a very efficient steam cooker which is based on heat pipe principle./The device has been designed so that kerosene is pressurised and stored in a small separate cylinder from where it flows into the combustor and burns very cleanly just like in the LPG cookstove./""We developed this technology with our own funds and the trials were funded by Department of Science and Technology, New Delhi,"" Rajvanshi told PTI./Millions of people in rural India cook and heat their homes using open fires and leaky stoves burning biomass (wood, animal dung and crop waste) and coal./Nearly 2 million people die prematurely from illness like those caused by chronic obstructive respiratory disease attributable to indoor air pollution from household solid fuel use, World Health Organisation (WHO) estimates./Research by NARI shows that carbon monoxide levels from these new lanstoves are less than 3 parts per million (ppm), whereas those from regular ""chulhas"" are between 250-400 ppm or 80 to 130 times more than from the lanstove./""Thus lanstove is an extremely clean device and equivalent to LPG stove,"" say NARI engineers. Lanstove has been tested for the last eight months in 25 rural huts in western Maharashtra which do not have electricity./After the successful trials, the technology is now available for commercialisation and the institute is now looking for suitable entrepreneurs who can market it in the rural areas./""It has shown excellent results with users commenting that it does not produce smoke like their existing biomass powered chulha and gives excellent light compared to the presently used hurricane lanterns and tin wick lamps,"" Rajvanshi says./However, engineers regret that Lanstoves cannot be made available on a large-scale in rural areas because of government regulations on the supply of kerosene./""Today below poverty line (BPL) families get only five litres of kerosene per household every month while Lanstove users need at least 15-20 litres of kerosene per month,"" he points out demanding that kerosene should be allowed to be sold in open market freely."
Air pollution a leading cause of cancer," The air we breathe is laced with cancer-causing substances and is being officially classified as carcinogenic to humans, the World Health Organization's cancer agency said on Thursday, reports Reuters./The International Agency for Research on Cancer (IARC) cited data indicating that in 2010, 223,000 deaths from lung cancer worldwide resulted from air pollution, and said there was also convincing evidence it increases the risk of bladder cancer./Depending on the level of exposure in different parts of the world, the risk was found to be similar to that of breathing in second-hand tobacco smoke, Kurt Straif, head of the agency's section that ranks carcinogens, told reporters in Geneva./""Our task was to evaluate the air everyone breathes rather than focus on specific air pollutants,"" deputy head Dana Loomis said in a statement. ""The results from the reviewed studies point in the same direction: the risk of developing lung cancer is significantly increased in people exposed to air pollution.""/Air pollution, mostly caused by transport, power generation, industrial or agricultural emissions and residential heating and cooking, is already known to raise risks for a wide range of illnesses including respiratory and heart diseases./Research suggests that exposure levels have risen significantly in some parts of the world, particularly countries with large populations going through rapid industrialization, such as China./IARC reviewed thousands of studies on air pollution tracking populations over decades and other research such as those in which mice exposed to polluted air experienced increased numbers of lung tumors./In a statement released after reviewing the literature, the Lyon-based agency said both air pollution and ""particulate matter"" - a major component of it - would now be classified among its Group 1 human carcinogens./That ranks them alongside more than 100 other known cancer-causing substances in IARC's Group 1, including asbestos, plutonium, silica dust, ultraviolet radiation and tobacco smoke./Air pollution is highly variable over space and time. Loomis said there was relatively high exposure in Asia, South Asia, eastern North America, some places in Central America and Mexico, as well as North Africa./But although both the composition and levels of air pollution can vary dramatically from one location to the next, IARC said its conclusions applied to all regions of the world./""Our conclusion is that this is a leading environmental cause of cancer deaths,"" Dr. Christopher Wild, director of IARC, told the news briefing in Geneva./IARC's ranking monographs program, sometimes known as the ""encyclopedia of carcinogens"", aims to be an authoritative source of scientific evidence on cancer-causing substances./It has already classified many chemicals and mixtures that can be components of air pollution, including diesel engine exhaust, solvents, metals and dusts. But this is the first time that experts have classified air pollution as a cause of cancer./Wild said he hoped the comprehensive evidence would help the WHO, which is revising its global 2005 guidelines on air quality. The UN agency makes on recommendations on public health issues to its 193 member states./Asked why it had taken so long to reach the conclusion, he said that one problem was the time lag between exposure to polluted air and the onset of cancer./""Often we're looking at two, three or four decades once an exposure is introduced before there is sufficient impact on the burden of cancer in the population to be able to study this type of question,"" he said."
Pneumonia still responsible for one fifth of child deaths," The GAVI Alliance, UNICEF and the World Health Organization (WHO) are highlighting essential actions that can help end child deaths from this disease, an official release said./""Every 30 seconds, a child younger than five dies of pneumonia. This is a great shame as we know what it takes to prevent children from dying of this illness,"" says Dr Mickey Chopra, Chief of Health, UNICEF. ""Tackling pneumonia doesn't necessarily need complicated solutions.""/Many factors contribute to pneumonia, and no single intervention can effectively prevent, treat and control it./Five simple but effective interventions, if implemented properly, will help reduce the burden of the disease that is responsible for almost one fifth of all child deaths around the world./These are exclusive breastfeeding for 6 months and continued breastfeeding comple-mented by nutritious solid foods up to age 2; vaccin-ation against whooping cough (pertussis), measles, Haemophilus influenzae type b (Hib) and pneumococcus; safe drinking water, sanitation and handwashing facilities; improved cooking stoves to reduce indoor air pollution; and treatment, including amoxicillin dispersible tablets and oxygen./The GAPPD presents an innovative framework bringing together prevention, protection and control of both pneumonia and diarrhoea - two of the world's leading killers of children under 5 - to make more efficient and effective use of scarce health resources./The GAVI Alliance is helping to accelerate the fight against pneumonia by increasing access to pneumococcal vaccines, thanks to GAVI's innovative Advance Market Commitment (AMC), but also to the five-in-one pentavalent vaccine which protects against Haemophilus influenzae type b, another major cause of pneumonia,"" says Dr Seth Berkley, CEO of the GAVI Alliance./Since the launch of the GAPPD seven months ago, several countries have taken this forward. For example, Bangladesh and Zambia are translating the GAPPD into local implementation plans in some districts./Programme managers responsible for immunisation, child health, nutrition and water and sanitation have joined forces to accelerate progress and eliminate preventable deaths from pneumonia and diarrhoea./In addition, in October 2013, WHO published new technical advice for countries based on a review of the latest evidence, guidelines on the treatment of pneumonia were updated, recommending simpler antibiotic regimens./A handbook to guide district and health facility staff on how to introduce the pneumococcal vaccine emphasizes using new vaccine introductions to scale up access to other essential interventions to protect, prevent and treat pneumonia, in line with the GAPPD./""To achieve the vision and goals of the integrated plan-to end preventable deaths from pneumonia and diarrhoea in the next generation-the children of the world need to see political will, coordinated efforts, and increased resources at the global and national levels to fight these stubborn killers,"" says Dr Elizabeth Mason, Director of WHO's Department of Maternal, Newborn, Child and Adolescent Health."
Preventive measures can reduce asthmatic childhood deaths," Mass awareness as well as preventive measures is very vital to cut the existing rate of childhood patients suffering from asthma and death caused by the disease./""Out of 250 deaths, one dies in asthma, which is more prevalent among the children than the adults, in the region monthly,"" said Dr Belal Uddin, Assistant Professor of Pediatrics Department of Rajshahi Medical College and Hospital./He blamed various adverse reasons particularly air pollution, urbanization and indiscriminate smoking for the prevalence of the disease and the cold weather associated with some other allied factors always trigger the disease./Dr Belal, however, said creation of awareness among the public in general and proper and timely preventive measures could manage the disease at a greater extent./In this context, he viewed that the asthma is a chronic disease causing considerable deaths of the children and it is common in modern metropolitan cities in comparison with the rural areas./Dr Asgar Hossain, Associate Professor of the same department, said the asthma is a chronic inflammatory disorder causing hyper- responsive of airways to certain stimuli resulting in recurrent variable airflow limitation that presents as wheezing, breathlessness, chest tightness and coughing./He said around 80 percent of the children was infected with the asthma before six years of age. Some certain factors are closely associated with the childhood asthma, which include the parental history of the asthma, maternal smoking - particularly during pregnancy - and other disorders. Prof Asgar, however, said as the asthma is a chronic disease, it should be managed at home, excepting the severe acute one. If home management is done intelligently and skillfully, most asthmatic patients can lead a symptom-free normal life, he added./Proper prevention of allergy (pollen, dust and frugal spores), sports (games and exercises), temperature (cold, wet and windy weather), heredity, mites and anxiety (stress and worries) can reduce the sufferings caused by the disease, he recommended while talking to BSS here yesterday night."
M&S brings anti-pollution stoves in Bangladesh," Marks & Spencer has joined Unicef in a project that will help Bangladesh's children breathe fresh air and cut carbon emission to lessen impact of climate change. Unicef says under the new partnership beginning next February, Marks & Spencer will fund 40,000 ""fuel efficient, low pollution"" cooking stoves to be made and marketed by Bangladesh's entrepreneurs. Unicef in a statement on Tuesday said the initiative came in the wake of health hazards of household air pollution due to conventional stoves. Citing World Health Organization, the statement said the traditional indoor stoves generated smoke and killed 49,000 people a year in Bangladesh./Seventy percent of those killed are children under five. Medical journal 'Lancet' says indoor air pollution from solid fuel poses ""third biggest risk"" for deaths in South Asia, killing more people than killed by malaria or tuberculosis. Women and children, who mostly cook, are the most affected. Unicef says the new stoves are 50 percent more fuel efficient than traditional stoves, producing one tonne less carbon emissions each year. It says currently 90 percent of Bangladesh's households depend on biomass such as wood, forest cuttings and cow dung for fuel, but less than two percent of those households use fuel efficient stoves./The fuel efficient cook stoves help to reduce deforestation and limit local flooding, it says. Bangladesh is one of the high risk countries impacted by climate change, particularly because of rising sea levels that could make millions of people homeless. M&S and Unicef earlier this year announced an international partnership to raise £1.75 million over the next three years. Employees across M&S' 431 stores in over 50 countries have been raising money for Unicef's work providing life changing education for children, the UN agency says in a statement."
The poor need cheap fossil fuels," There's a lot of hand-wringing about our warming planet, but billions of people face a more immediate problem: They are desperately poor, and many cook and heat their homes using open fires or leaky stoves that burn dirty fuels like wood, dung, crop waste and coal. About 3.5 million of them die prematurely each year as a result of breathing the polluted air inside their homes - about 200,000 more than the number who die prematurely each year from breathing polluted air outside, according to a study by the World Health Organization. There's no question that burning fossil fuels is leading to a warmer climate and that addressing this problem is important. But doing so is a question of timing and priority. For many parts of the world, fossil fuels are still vital and will be for the next few decades, because they are the only means to lift people out of the smoke and darkness of energy poverty. More than 1.2 billion people around the world have no access to electricity, according to the International Energy Agency's World Energy Outlook for 2012./Most of them live in sub-Saharan Africa and in Asia. That is nearly four times the number of people who live in the United States. In sub-Saharan Africa, for instance, excluding South Africa, the entire electricity-generating capacity available is only 28 gigawatts - equivalent to Arizona's - for 860 million people. About 6.5 million people live in Arizona. Even more people - an estimated three billion - still cook and heat their homes using open fires and leaky stoves, according to the energy agency. More efficient stoves could help. And solar panels could provide LED lights and power to charge cellphones. But let's face it. What those living in energy poverty need are reliable, low-cost fossil fuels, at least until we can make a global transition to a greener energy future. This is not just about powering stoves and refrigerators to improve billions of lives but about powering agriculture and industry that will improve lives. Over the last 30 years, China moved an estimated 680 million people out of poverty by giving them access to modern energy, mostly powered by coal. Yes, this has resulted in terrible air pollution and a huge increase in greenhouse gas emissions. But it is a trade-off many developing countries would gratefully choose./As China becomes wealthier, it will most likely begin to cut its air pollution problem through regulation, just as the rich world did in the 20th century. But, admittedly, cutting carbon-dioxide emissions will be much harder because these emissions are a byproduct of the cheap energy that makes the world go around. Today, 81 percent of the planet's energy needs are met by fossil fuels, and according to the International Energy Agency, that percentage will be almost as high in 2035 under current policies, when consumption will be much greater. The unfortunate fact is that many people feel uncomfortable facing up to the undeniable need for more cheap and reliable power in the developing world. The Obama administration announced recently, for instance, that it would no longer contribute to the construction of coal-fired power plants financed by the World Bank and other international development banks. This should not have been a surprise./The last time the World Bank agreed to help finance construction of a coal-fired power plant, in South Africa in 2010, the United States abstained from a vote approving the deal. The Obama administration expressed concerns that the project would ""produce significant greenhouse gas emissions."" But as South Africa's finance minister, Pravin Gordhan, explained at the time in The Washington Post, ""To sustain the growth rates we need to create jobs, we have no choice but to build new generating capacity - relying on what, for now, remains our most abundant and affordable energy source: coal."" The developed world needs a smarter approach toward cleaner fuels. The United States has been showing the way. Hydraulic fracturing has produced an abundance of inexpensive natural gas, leading to a shift away from coal in electricity production./Because burning natural gas emits half the carbon dioxide of coal, this technology has helped the United States reduce carbon dioxide emissions to the lowest level since the mid-1990s, even as emissions rise globally. We need to export this technology and help other nations exploit it. At the same time, wealthy Western nations must step up investments into research and development in green energy technologies to ensure that cleaner energy eventually becomes so cheap that everyone will want it. But until then they should not stand in the way of poorer nations as they turn to coal and other fossil fuels. This approach will get our priorities right. And perhaps then, people will be able to cook in their own homes without slowly killing themselves."
Air pollution kills seven million," Seven million people died as a result of air pollution in 2012, the World Health Organization estimates. Its findings suggest a link between air pollution and heart disease, respiratory problems and cancer. One in eight global deaths were linked with air pollution, making it ""the world's largest single environmental health risk"", the WHO said. Nearly six million of the deaths had been in South East Asia and the WHO's Western Pacific region, it found. The WHO said about 3.3 million people had died as a result of indoor air pollution and 2.6 million deaths were related to outdoor air pollution, mainly in low- and middle-income countries in those regions. WHO public health, environmental and social determinants of health department director Dr Maria Neira said: ""/The risks from air pollution are now far greater than previously thought or understood, particularly for heart disease and strokes. ""Few risks have a greater impact on global health today than air pollution. ""The evidence signals the need for concerted action to clean up the air we all breathe."" Reducing air pollution could save millions of lives, said the WHO. WHO family, woman and children's health assistant director-general Dr Flavia Bustreo said: ""Cleaning up the air we breathe prevents non-communicable diseases as well as reduces disease risks among women and vulnerable groups, including children and the elderly. ""Poor women and children pay a heavy price from indoor air pollution since they spend more time at home breathing in smoke and soot from leaky coal and wood cook stoves."" The WHO assessment found the majority of air pollution deaths were linked with cardiovascular diseases./For deaths related to outdoor pollution, it found: 40% - heart disease 40% - stroke 11% - chronic obstructive pulmonary disease (COPD) 6% - lung cancer 3% - acute lower respiratory infections in children For deaths related to indoor pollution, it found: 34% - stroke 26% - heart disease 22% - COPD 12% - acute lower respiratory infections in children 6% - lung cancer University of Birmingham professor of environmental and respiratory medicine Jon Ayres said the review needed to be taken seriously. ""The estimates for the impact of outdoor air pollution are robust and as accurate as can be developed at the moment,"" he said. The WHO estimates were based on: satellite data ground-level monitoring modelling how pollution drifts in the air pollution-emissions data"
