headline,body
Haze engulfs Delhi as air pollution logs a big spike,"NEW DELHI, Oct. 25 -- Pollution shot up on Wednesday to a four-month high in Delhi, shrouding the national capital in a haze due to unfavourable weather conditions, including a dip in temperature, low wind speed, and a cloudy sky that combined to trap toxic pollutants in the air, according to experts from various government and private monitoring agencies./The Central Pollution Control Board's (CPCB) forecasting system and the forecast provided by SAFAR, which comes under the Union ministry of earth sciences, said pollution levels will continue to soar till Thursday, after which situations is likely to become better./""The level of particulate matter, particularly the natural dust particles, has shot up drastically since Tuesday evening. At 6pm on Wednesday the level of PM10 (coarse dust particles) shot up to 382.5 micograms per cubic metre which is 3.8 times above the daily permissible limit of 100,"" said a senior CPCB official on condition/of anonymity./The level of PM2.5 ultrafine particles - emitted mostly by vehicles, industries and open garbage burning- also shot up to 172 micograms per cubic metre which is nearly three times higher than the safe limit of 60./""Such high levels of PM10 concentration were last seen in the second week of June this year, when huge amount of dust gushed into Delhi-NCR because of a dust storm in Rajasthan. On June 14, the level of PM10 in Delhi had shot up to nearly 8.5 times above the permissible standards,"" said an official of CPCB who asked not to be named./PM10, at 10 micrograms per cubic metre, is around seven times finer than the human hair and can cause irritation in the nose and eyes. PM2.5, 30 times finer than human hair, can enter deep inside the lungs and cause trouble in patients suffering from bronchial ailments if inhaled over a prolonged period./Scientists from both CPCB and the Delhi Pollution Control Committee (DPCC) blamed the conditions this week on unfavourable meteorological conditions and not on any external factors such as stubble burning or a storm in west India./""Wind speed has dropped to less than 5km per hour. To aggravate conditions, they are coming from the east and south bringing in moisture. The sky has become partly cloudy. Because of all these factors, the dust is getting accumulated in the city's air and pollution is rising,"" said a senior DPCC official who asked not to be named./Scientists from the India Meteorological Department (IMD) said that wind speed dropped to almost zero around noon. The velocity picked up momentarily during the afternoon, but again dropped to zero at around 5.30 pm. The minimum temperature was 17 degrees Celsius, 1 degree below normal./The result was that Delhi's average Air Quality Index (AQI) hit 328 on Wednesday - the highest so far this season. On a scale of 0-500, an AQI value between 301 and 400 indicates 'very poor' air quality. By 2pm on Wednesday, several areas in Delhi, including Anand Vihar, Mundaka, Bawana and Rohini, were reeling under 'severe' pollution with AQI levels breaching the 400 mark./Delhi witnessed a weeklong spell of smog in November 2017, when the AQI shot up to 486, prompting chief minister Arvind Kejriwal to describe Delhi as a ""gas chamber"", declare a public health emergency, and order that schools be shut./""Spike in pollution levels is not uncommon in north India when winter is approaching. The frequent change in wind directions, helping moisture to gush in, drop in wind speed and dip in temperature are to be blamed. Once the northwesterly winds picks up speed, pollution levels will drop,"" said D Saha, former head of the CPCB's air quality laboratory./The Supreme Court-appointed panel Environment Pollution (Prevention and Control) Authority (EPCA) has already rolled out the Graded Response Action Plan (Grap) for very poor air quality since October 15. Diesel generators have been banned in Delhi till March 2019 and the Badarpur thermal power has also been shut down./EPCA will meet on Thursday to see if other measures need to be implemented at this stage./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Pune's air quality crosses permissible limit of pollutants,"India, Oct. 25 -- The city's air quality has already crossed permissible limit of air pollutants, which was gauged by respirable suspended particulate matter (RSPM), two weeks before Diwali. According to Maharashtra pollution control board (MPCB), RSPM level recorded in various parts of city in the last 15 days was between the range of 105 g/m3 and 131g/m3 (Per metric cube) while the permissible limit is 100g/m3. There has been a consistent rise in RSPM as the winter is setting in./To check air quality, the Maharashtra pollution control board has conducted daily tests in various cities across Maharashtra with the help of ambient air quality monitoring network which is the systematic, long-term assessment of pollutant levels by measuring the quantity and types of certain pollutants in the surrounding, outdoor air.The data collected over the last two months indicates that the level of RSPM has increased steadily and in first week of October it crossed the prescribed limit of 100g/m3./In July, RSPM was found to be 41.97 g/m3 in Karve road); 51 g/m3 in Nal stop and 21.57 g/m3 in Swargate.It further increased to 93.75g/m3 at Nal Stop in August and while at Karve road, the average for August was 37.20 g/m3. The data by MPCB data also revealed that respirable suspended particulate matter reached 98 g/m3 on September 26,and within next 10 days it crossed prescribed limit and reached 120 g/m3 on October 6./Thereafter, RSPM has been continuously increasing and it peaked at 131g/m3 on October 15./The levels of nitrogen oxides and sulphur dioxides are under permissible limits, according to MPCB. The permissible limit for both Nox and SO2 is 80.00 g/m3./RSPM refers to particulate matter with diameter of less than or equal to 10 micrometres. They are produced from combustion process, vehicles and industrial sources./""While the city's population is 3.5 million, the regional transport office has registered 3.62 million vehicles,"" said Babasaheb Ajri, chief, RTO/""In winter, the dust particles get suppressed and so the count of RSPM increases. To keep a check on RSPM, we have asked the civic body to implement action plan under which we will keep a strict watch on industrial and vehicular air pollution,"" said V M Motghare, joint director, MPCB./The pollution levels in Pune has been on a rise and it has gone up by around 10 percent in the last five years which is matter of concern. We are going to start a study where PM 2.5 will be monitored and the results will be declared only after Diwali. It has been also observed that in winters pollution levels are rising. This all will be studied during the coming month, revealed, DR Gufran Baig, director, IITM/Chronic lung disease/Dr Sundeep Salvi, director, Chest Research Foundation of India said, ""The rise in chronic lung diseases (CLD) is tremendous over the last few years and the major reason is rising levels of air pollution. The deteriorating quality of air has led to rise in number of lung diseases specifically chronic obstructive pulmonary disorder and asthma and in winter air pollution levels increase more compared ot other days."" 55 million cases of Chronic obstructive pulmonary disease were reported in India in 2017 and 38 million of asthma cases were reported in the same year . Of these around 10 percent alone were from the city of Pune. This is a major cause of concern.""/Sharing the figures, Salvi said, ""The pollution levels mainly rise in winters because of cold air. The particles become heavier and is stagnant . Also, to protect themselves from cold, people burn things which causes smoke. This remains in the air and hence residents inhale the polluted air and this is also one the major reason why cases of CLD are rising.""/Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Pollutants in Pune's air cross permissible limits,"India, Oct. 25 -- The city's air quality has already crossed permissible limit of air pollutants, which was gauged by respirable suspended particulate matter (RSPM), two weeks before Diwali. According to Maharashtra pollution control board (MPCB), RSPM level recorded in various parts of city in the last 15 days was between the range of 105 g/m3 and 131g/m3 (Per metric cube) while the permissible limit is 100g/m3. There has been a consistent rise in RSPM as the winter is setting in./To check air quality, the Maharashtra pollution control board has conducted daily tests in various cities across Maharashtra with the help of ambient air quality monitoring network which is the systematic, long-term assessment of pollutant levels by measuring the quantity and types of certain pollutants in the surrounding, outdoor air.The data collected over the last two months indicates that the level of RSPM has increased steadily and in first week of October it crossed the prescribed limit of 100g/m3./In July, RSPM was found to be 41.97 g/m3 in Karve road); 51 g/m3 in Nal stop and 21.57 g/m3 in Swargate.It further increased to 93.75g/m3 at Nal Stop in August and while at Karve road, the average for August was 37.20 g/m3. The data by MPCB data also revealed that respirable suspended particulate matter reached 98 g/m3 on September 26,and within next 10 days it crossed prescribed limit and reached 120 g/m3 on October 6./Thereafter, RSPM has been continuously increasing and it peaked at 131g/m3 on October 15./The levels of nitrogen oxides and sulphur dioxides are under permissible limits, according to MPCB. The permissible limit for both Nox and SO2 is 80.00 g/m3./RSPM refers to particulate matter with diameter of less than or equal to 10 micrometres. They are produced from combustion process, vehicles and industrial sources./""While the city's population is 3.5 million, the regional transport office has registered 3.62 million vehicles,"" said Babasaheb Ajri, chief, RTO/""In winter, the dust particles get suppressed and so the count of RSPM increases. To keep a check on RSPM, we have asked the civic body to implement action plan under which we will keep a strict watch on industrial and vehicular air pollution,"" said V M Motghare, joint director, MPCB./The pollution levels in Pune has been on a rise and it has gone up by around 10 percent in the last five years which is matter of concern. We are going to start a study where PM 2.5 will be monitored and the results will be declared only after Diwali. It has been also observed that in winters pollution levels are rising. This all will be studied during the coming month, revealed, DR Gufran Baig, director, IITM/Chronic lung disease/Dr Sundeep Salvi, director, Chest Research Foundation of India said, ""The rise in chronic lung diseases (CLD) is tremendous over the last few years and the major reason is rising levels of air pollution. The deteriorating quality of air has led to rise in number of lung diseases specifically chronic obstructive pulmonary disorder and asthma and in winter air pollution levels increase more compared ot other days."" 55 million cases of Chronic obstructive pulmonary disease were reported in India in 2017 and 38 million of asthma cases were reported in the same year . Of these around 10 percent alone were from the city of Pune. This is a major cause of concern.""/Sharing the figures, Salvi said, ""The pollution levels mainly rise in winters because of cold air. The particles become heavier and is stagnant . Also, to protect themselves from cold, people burn things which causes smoke. This remains in the air and hence residents inhale the polluted air and this is also one the major reason why cases of CLD are rising.""/Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Pollution has now become a national health crisis,"NEW DELHI, Oct. 25 -- India has 14 of the 15 cities in the world with the most air pollution. In Delhi, pollution levels attain dangerous proportions as Diwali approaches. The lungs and brains of a large percentage of children are getting irreversibly damaged. /The country has the highest rate of deaths from chronic respiratory diseases and asthma. This is a national health crisis which calls for urgent action. While there is no magic bullet such as odd-even, there are feasible measures which would make a huge difference in a few years. The easiest would be to get all households to use clean energy for cooking with liquefied petroleum gas (LPG), or, electricity. Burning of cow dung cakes and firewood for cooking not only harms the lungs and eyes of women, it is also a major source of all air pollution. Electricity is targeted to reach all households by next year. Its use for cooking can be promoted. LPG cylinders through Ujjwala can be made to reach everybody in a few years. However, the really poor cannot afford to pay more than Rs 200 or so a month for cooking. The first hundred units of electricity in a month, enough for lighting and cooking, could be provided at Rs 3 per unit, or, a LPG cylinder for Rs 300. This can be done through a subsidy from the government, or, cross-subsidy by the energy companies./A market-based solution for the burning of crop residue would work best. An attractive enough price for crop residue for conversion to briquettes to be burnt in coal fired stations, or, for generating electricity directly through gasification would put an end to crop burning. The transition would be driven by private investment and without any subsidy. Thermal plants need to offer a viable price for briquettes and the distribution companies for electricity from crop residue./Phasing out the most polluting vehicles, such as old trucks, buses and tempos, at the earliest, is an unavoidable necessity. This has to be a countrywide measure as air pollution moves across villages and towns. Implementation would be easier if there is a considerably lower price for a new vehicle when the old one is traded in and there is a system of scrapping old vehicles that can be closely monitored.It could easily be done by the government foregoing a substantial portion of the GST on such vehicles. Germany successfully implemented a trade in programme at the time of the financial crisis of 2008 to generate additional demand for their auto industry./The supply of fuel of contemporary international standards, Bharat Stage Six (BS 6), now being implemented, would make a difference only gradually as more new BS 6 compliant vehicles get on the road. But for an immediate impact, all new taxi, bus and three wheeler permits for running within cities should be given only for electric vehicles. Sufficient number of charging stations would naturally need to be created well in advance. The huge potential of electric vehicles in reducing air pollution is not being adequately recognised./Old coal-fired thermal power plants in, or, those close to major urban centres need to be closed down forthwith. This can be done without difficulty as there is surplus power generating capacity with much more in the pipeline. However, only a firm central mandate will make this happen. All industrial clusters need a diagnostic audit for air pollution. Technically feasible measures with state financial assistance and in partnership with industrial units would have to be implemented to reduce air pollution./Clearly, the use of coal for energy and heating by small industrial units has to be phased out. The extension of a gas grid to all industrial areas has been unduly delayed in the country. Electricity for continuous process industries to be provided at lower rates reflecting actual costs of supply would also help./For all this and more to happen, the central, state and city governments have to agree to do what it takes, including providing adequate funds. Finances can come from the coal, or, a new clean air cess./The health costs to the nation of inaction are far higher. Coordinated action across multiple institutions is never easy. Sustained political commitment would be an essential prerequisite./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
"Delhi air pollution to spike in November, set to peak after Diwali","India, Oct. 26 -- Air pollution in the national capital is likely to peak from November 1 as toxic fumes from the stubble-burning regions of Punjab and Haryana could gush in because of a change in wind direction, the Supreme Court-appointed body Environment Pollution (Prevention and Control) Authority (EPCA) warned on Thursday./Delhi air has already been 'very poor' on the air quality index (AQI) over the past two days, and conditions are likely to deteriorate further, according to predictions by the Central Pollution Control Board's (CPCB) forecasting system and Safar, which comes under the Union ministry of earth sciences./Delhi also witnessed its coldest day of the season so far on Thursday, when the minimum temperature dropped to 15 degrees Celsius, two degrees below normal./""Weather conditions are projected to become adverse from November 1, according to the India Meteorological Department (IMD). The prediction is that winds would be coming from the west - Punjab and Haryana. Also the 'ventilation index' (which determines how fast pollutants get dispersed) and wind speed will go down,"" said EPCA member Sunita Narain./EPCA held a meeting on Thursday to review how measures to control 'very poor' and 'severe' air pollution listed under the Graded Response Action Plan (Grap) are being implemented. Emergency measures under Grap were rolled out in the National Capital Region (NCR) from October 15./""We need to be more careful from November 1 onwards. It is because the period between November 1 and November 15 would be the toughest period. Crop burning will be at its peak, we have Diwali celebrations (November 7), and winter is approaching,"" Narain added./In November 2016, pollution in NCR spiked after Diwali and the city was engulfed in its worst smog in 17 years./In 2017, Delhi was again enveloped by a thick haze as the air quality remained 'severe' for a week. The AQI value touched 486 on November 9, 2017, prompting chief minister Arvind Kejriwal to describe Delhi as a ""gas chamber"", declare a public health emergency, and order that schools be shut./The city's AQI was 328 on Wednesday, and on Thursday it worsened marginally to 331 - the highest so far this season. On a scale of 0-500, an AQI value between 301 and 400 indicates 'very poor' air quality, and value beyond 401 indicates 'severe' pollution./CPCB's task force is expected to hold a meeting on Friday to take stock of the worsening situation and the expected spike from November 1 onwards./Experts have blamed the prevailing pollution level on unfavourable meteorological conditions, including a dip in temperature, low wind-speeds, and a cloudy sky, which are combining to keep pollutants suspended in the air./These adverse weather conditions are unlikely to improve over the next few days./""Things are already bad. Add to this, the pollution expected to be triggered on Diwali night now that Supreme Court has relaxed the ban on bursting fireworks. Only favourable wind condition could have brought some respite. But if the weather remains bad, Delhi could be in for another spell of smog in the first week of November,"" said D Saha, former head of CPCB's air quality laboratory./The Supreme Court on Tuesday set a two-hour window for the use of low-emission firecrackers on Diwali night, but unlike last year, did not impose any ban on the sale of firecrackers in NCR./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
"Pollution to spike in Nov, set to peak after Diwali","NEW DELHI, Oct. 26 -- Air pollution in the national capital is likely to peak from November 1 as toxic fumes from the stubble-burning regions of Punjab and Haryana could gush in because of a change in wind direction, the Supreme Court-appointed body Environment Pollution (Prevention and Control) Authority (EPCA) warned on Thursday./Delhi air has already been 'very poor' on the air quality index (AQI) over the past two days, and conditions are likely to deteriorate further, according to predictions by the Central Pollution Control Board's (CPCB) forecasting system and Safar, which comes under the Union ministry of earth sciences./Delhi also witnessed its coldest day of the season so far on Thursday, when the minimum temperature dropped to 15 degrees Celsius, two degrees below normal./""Weather conditions are projected to become adverse from November 1, according to the India Meteorological Department (IMD). The prediction is that winds would be coming from the west - Punjab and Haryana. Also the 'ventilation index' (which determines how fast pollutants get dispersed) and wind speed will go down,"" said EPCA member Sunita Narain./EPCA held a meeting on Thursday to review how measures to control 'very poor' and 'severe' air pollution listed under the Graded Response Action Plan (Grap) are being implemented. Emergency measures under Grap were rolled out in the National Capital Region (NCR) from October 15./""We need to be more careful from November 1 onwards. It is because the period between November 1 and November 15 would be the toughest period. Crop burning will be at its peak, we have Diwali celebrations (November 7), and winter is approaching,"" Narain added./In November 2016, pollution in NCR spiked after Diwali and the city was engulfed in its worst smog in 17 years./In 2017, Delhi was again enveloped by a thick haze as the air quality remained 'severe' for a week. The AQI value touched 486 on November 9, 2017, prompting chief minister Arvind Kejriwal Delhi as a ""gas chamber"", declare a public health emergency, and order that schools be shut./The city's AQI was 328 on Wednesday, and on Thursday it worsened marginally to 331 - the highest so far this season. On a scale of 0-500, an AQI value between 301 and 400 indicates 'very poor' air quality, and value beyond 401 indicates 'severe' pollution./CPCB's task force is expected to hold a meeting on Friday to take stock of the worsening situation and the expected spike from November 1 onwards./Experts have blamed the prevailing pollution level on unfavourable meteorological conditions, including a dip in temperature, low wind-speeds, and a cloudy sky, which are combining to keep pollutants suspended in the air./These adverse weather conditions are unlikely to improve over the next few days./""Things are already bad. Add to this, the pollution expected to be triggered on Diwali night now that Supreme Court has relaxed the ban on bursting fireworks. Only favourable wind condition could have brought some respite. But if the weather remains bad, Delhi could be in for another spell of smog in the first week of November,"" said D Saha, former head of CPCB's air quality laboratory./The Supreme Court on Tuesday set a two-hour window for the use of low-emission firecrackers on Diwali night, but unlike last year, did not impose any ban on the sale of firecrackers in NCR./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Gurugram was nation's second most polluted city on Friday,"Gurugram, Oct. 27 -- AIR quality in the city was found to be the second worst in the country on Friday, recording 378 on the Air Quality Index (AQI), with PM2.5 levels touching an alarming rate of 406ug/m3 according to the National Air Quality Index web app. This is more than six times the safe limit of 60ug/m3. Faridabad was marginally worse, recording 381 on the AQI./A thick haze enveloped the city on Friday, creating smoglike conditions, which, experts said, were due to falling temperatures over the last two days./From 35.4 degrees Celsius on Wednesday, maximum daytime temperature dropped to 32.4 degrees Celsius on Thursday, and dipped further to 31.2 degrees Celsius on Friday./""The climatic conditions are causing particulate matter to settle closer to ground at shorter mixing heights, where they are reacting under the influence of sunlight, temperature and other conditions to create a haze of secondary aerosols,"" said citybased air-quality expert Sachin Panwar./He further explained that the atmosphere is replete with anthropogenic pollutants, such as sulphur dioxides, volatile organic compounds and polyaromatic hydrocarbons. ""Ozone levels might also be on the higher side these days,"" Panwar said./According to Central Pollution Control BOARD(CPCB) data, ozone levels in Gurugram showed a spike on Friday afternoon, touching 104.78ug/m3 at 1pm./On Thursday, too, ozone levels spiked, reaching 140.21ug/m3 at 4pm. The safe limit for ozone is/100ug/m3 for over eight hours, which has not been breached so far. However, even these 'safe' increases point towards rising pollution levels overall, said Panwar./Moreover, when compared to New Delhi, which scored 361 on Friday's AQI (also due to falling temperatures), Gurugram's atmosphere has a far higher content of soot and smoke, thanks to the widespread use of diesel generators, rampant construction work, vehicular emissions and open fires, all of which contribute to the smog-like conditions./Since the implementation of the Graded Response Action Plan (Grap) to curb air pollution on October 15, Gurugram has spent eight days with 'very poor' air and just a single day with 'poor' air./Data from October 15-17 is unavailable due to a technical issue with the city's air quality monitor./During the first two weeks of the month, however, the city had one day of 'moderate' air, followed by six days of 'poor' air and four days of 'very poor' air. Moreover, all of Gurugram's three highest AQI scores were recorded in the last six days./A sub-divisional officer of the Haryana State Pollution Control Board said, ""We are actively enforcing the Graded Response Action Plan and carrying out all measures to fight rising pollution.""/JB Sharma, regional officer, HSPCB, however, could not be reached for comment./Published by HT Digital Content Services with permission from HT Gurgaon. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
"Children are more vulnerable to pollution, suffer many adverse effects","Gurugram, Oct. 28 -- Air pollution is the new tobacco and the simple act of breathing kills 7 million people a year and harms billions more, said Dr Tedros Adhanom Ghebreyesus, the director general of the World Health Organisation (WHO) in an interview with The Guardian on Saturday./An estimated 91% of the world's population is exposed to air pollution, which is the world's biggest environmental health risk, causing 4.2 million deaths from poor outdoor air and 3.8 million deaths from household exposure to dirty cookstoves each year./In India, pollution kills 1.1 million people, according to the State of Global Air 2018 report, which links air pollutants to 10.6% of all deaths in the country. Apart from asthma and other respiratory diseases, pollution causes deaths from stroke, chronic obstructive pulmonary disease, heart disease, lung infections and trachea, bronchus and lung cancers./For children, the risk begins in the womb and continues through the newborn and early childhood periods, which has prompted the WHO to put the spotlight on air pollution and children's health in a report that will be released on Monday, two days before the world's first Global Conference on Pollution and Health on Oct/30./The air quality in northern India deteriorates rapidly leading up to Diwali. The level of PM2.5 (a fine dust particle that causes and exacerbates respiratory and lung diseases) in Delhi last year was 16 times more than the national standard and 40 times higher than the international safe limit of/20 microgram per cubic metre./Delhi has 38 real-time and 10 manual pollution monitoring stations, compared to a handful in other major metros where data is inadequate./An expecting mother's exposure to polluted air has been linked to adverse pregnancy outcomes, including premature birth, low birth weight, abnormal birth length and head circumference, and small size for gestational age. Children's developing lungs are the most susceptible to injury because they breathe in faster, are more active, spend more time outdoors, and have immune systems that are still developing./Children exposed to pollution have lower maximal lung functional capacity and are more susceptible to infections and the toxic effects of air pollutants as adults, leading to more exacerbations of chronic lung diseases, such as asthma and cystic fibrosis, and increased hospitalisations./Smog - the toxic mist produced when airborne dust, carbon particles, noxious gases and ozone react chemically in the presence of sunlight - prevents ultraviolet B range reaching the earth's surface, leading to vitamin D-deficiency weakening bones in children. The human skin needs coverts 7-dehydrocholesterol to cholecalciferol (vitamin D3) on exposure to ultraviolet B from the sun needed to build strong bones and prevent bone-loss (osteoporosis) in later life./Pollution leads to lower memory and IQ, with infants being the most vulnerable to toxic chemicals in the first 1,000 days after birth, when most of the brain's development happens. It also causes psychological and behavioural problems, development delays by age three and a four-point drop in IQ by age five, said a Unicef report released in 2017./Even exposure to traffic noise is linked to behavioural problems. Sleeping in rooms exposed to sound of night-time traffic makes children hyperactive, sleepless and raises their blood pressure./Regulations that lower pollution and reduce exposure to air toxins can counter some ill effects. Lowered sulphur dioxide in former East Germany following the reunification of Germany in 1990 led to improved lung function and fall in respiratory illnesses - such as bronchitis, sinusitis and frequent colds - in children. Studies from the US have also shown that children who moved to states with better air have increased lung function and lower hospital admissions with respiratory complaints, like asthma, pneumonia, bronchitis and respiratory infections./Published by HT Digital Content Services with permission from HT Gurgaon. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
Children more vulnerable to pollution,"NEW DELHI, Oct. 28 -- Air pollution is the new tobacco and the simple act of breathing kills 7 million people a year and harms billions more, said Dr Tedros Adhanom Ghebreyesus, the director general of the World Health Organisation (WHO) in an interview with The Guardian on Saturday./An estimated 91% of the world's population is exposed to air pollution, which is the world's biggest environmental health risk, causing 4.2 million deaths from poor outdoor air and 3.8 million deaths from household exposure to dirty cookstoves each year./In India, pollution kills 1.1 million people, according to the State of Global Air 2018 report, which links air pollutants to 10.6% of all deaths in the country. Apart from asthma and other respiratory diseases, pollution causes deaths from stroke, chronic obstructive pulmonary disease, heart disease, lung infections and trachea, bronchus and lung cancers./For children, the risk begins in the womb and continues through the newborn and early childhood periods, which has prompted the WHO to put the spotlight on air pollution and children's health in a report that will be released on Monday, two days before the world's first Global Conference on Pollution and Health on Oct 30./The air quality in northern India deteriorates rapidly leading up to Diwali. The level of PM2.5 (a fine dust particle that causes and exacerbates respiratory and lung diseases) in Delhi last year was 16 times more than the national standard and 40 times higher than the international safe limit of 20 microgram per cubic metre./Delhi has 38 real-time and 10 manual pollution monitoring stations, compared to a handful in other major metros where data is inadequate./An expecting mother's exposure to polluted air has been linked to adverse pregnancy outcomes, including premature birth, low birth weight, abnormal birth length and head circumference, and small size for gestational age. Children's developing lungs are the most susceptible to injury because they breathe in faster, are more active, spend more time outdoors, and have immune systems that are still developing./Children exposed to pollution have lower maximal lung functional capacity and are more susceptible to infections and the toxic effects of air pollutants as adults, leading to more exacerbations of chronic lung diseases, such as asthma and cystic fibrosis, and increased hospitalisations./Smog - the toxic mist produced when airborne dust, carbon particles, noxious gases and ozone react chemically in the presence of sunlight - prevents ultraviolet B range reaching the earth's surface, leading to vitamin D-deficiency weakening bones in children. The human skin needs coverts 7-dehydrocholesterol to cholecalciferol (vitamin D3) on exposure to ultraviolet B from the sun needed to build strong bones and prevent bone-loss (osteoporosis) in later life./Pollution leads to lower memory and IQ, with infants being the most vulnerable to toxic chemicals in the first 1,000 days after birth, when most of the brain's development happens. It also causes psychological and behavioural problems, development delays by age three and a four-point drop in IQ by age five, said a Unicef report released in 2017./Even exposure to traffic noise is linked to behavioural problems. Sleeping in rooms exposed to sound of night-time traffic makes children hyperactive, sleepless and raises their blood pressure./Regulations that lower pollution and reduce exposure to air toxins can counter some ill effects. Lowered sulphur dioxide in former East Germany following the reunification of Germany in 1990 led to improved lung function and fall in respiratory illnesses - such as bronchitis, sinusitis and frequent colds - in children. Studies from the US have also shown that children who moved to states with better air have increased lung function and lower hospital admissions with respiratory complaints, like asthma, pneumonia, bronchitis and respiratory infections./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
"Deterioration of air continues in Delhi, Sunday records season's worst","India, Oct. 28 -- The national capital recorded this season's worst air quality on Sunday, with medical experts reporting a spike in respiratory ailments over the last two weeks. The overall air quality index (AQI) in Delhi touched 366, up from Friday's level of 361. The AQI was in the 'very poor' category, above the hazardous 300-mark, for the fifth consecutive day./The level of PM2.5 - tiny particles of dust, soot and smoke - shot up to its highest since June at 232.2ug/m3. The safe limit for PM2.5 concentration is 60ug/m3. Prolonged exposure to these ultrafine particles, which enter the lungs and blood, can cause severe respiratory problems./Doctors in the city said the decline in air quality and a recent drop in temperature resulted in increasing number of patients reporting upper respiratory tract problems. The temperature dipped below 15 degrees Celsius last week, two degrees below normal./Patients are also reporting allergic respiratory problems. ""There is a steady increase in the number of patients coming to my clinic with allergic cold since mid-October. Usually, there is about a 30% increase in the number of such patients around Diwali, when the pollution levels increase and the temperature decreases, causing people's immunity to go down,"" said Dr Vikas Maurya, head of the department of pulmonology at Fortis hospital, Shalimar Bagh./Out of the 36 air quality monitoring stations in Delhi, four - located at Mundka, Narela, Rohini and Mathura Road - recorded the air quality as 'severe' on Sunday. Gurugram and Ghaziabad also recorded 'severe' air pollution, according to Central Pollution Control Board (CPCB) data. At the four Delhi stations, the prominent pollutant was PM2.5. The tiny pollutants are generated mainly in the absence of strong winds, with soot and smoke being released from burning waste and vehicular emissions. The air quality in Delhi is likely to deteriorate over the next few days, according to the CPCB's forecasting system and Safar, which comes under the Union ministry of earth sciences./At 7pm on Sunday, the PM10 level in Delhi was recorded at 389.5 ug/m3, well past the safe standard of 100ug/m3. ""PM10 and PM 2.5 levels are likely to shoot up further over the next three days. Pollutants are not getting dispersed and are getting trapping in the air because of the calm wind conditions,"" said a senior CPCB official who did not wish to be named./The Environment Pollution (Prevention and Control) Authority, a Supreme Court-mandated body to monitor pollution levels in the NCR region, has announced that pollution levels will peak after November 1, as winds flow from the northwest, bringing pollutants from burning stubble in neighbouring Punjab and Haryana. Epca said that the phenomenon, coupled with the onset of winter and the festive rush, will lead to a spike in air pollution. The Supreme Court recently lifted a blanket ban on the sale and purchase of firecrackers, which could also add to pollution in the first week of November./Doctors said more cases of respiratory problems were likely after Diwali. ""We will see an increase of nearly 20 to 30% in such cases in our OPD after Diwali. The pollution caused by bursting crackers is worse than from crop burning, because it releases sulphur dioxide and heavy metals into the air,"" said Dr Srikant Sharma, senior consulting physician at Moolchand Medcity./Between November 1 and 9 last year, Delhi's air quality remained in the 'severe' category for a week, with AQI touching 486 on November 9. The toxic levels prompted authorities to declare a public health emergency. On a scale of 0 to 500, an AQI value between 301 and 400 indicates 'very poor' air quality. A value beyond 401 indicates 'severe' air quality./Air pollution levels in the city have spiked despite the graded response action plan (Grap) being enforced beginning October 15. On?Saturday, Epca?announced a clutch of measures, including a complete ban on construction and excavation work across NCR between November 1 and 10, to curb pollution. The CPCB?also issued an advisory, asking citizens to avoid engaging in strenuous activity and exercising outdoors for extended periods. It also urged residents to use public transport during this period./Published by HT Digital Content Services with permission from Hindustan Times. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:contentservices@htlive.com"">contentservices@htlive.com</a>"
