headline,body
Smog shoots up respiratory cases,"Diwali is still a week away but people with respiratory problems are already in distress due to smoggy weather and the rising level of particulate matter in the air./Hospitals say their OPDs are flooded with patients suffering from asthma, chronic bronchitis, wheezing and chronic obstructive pulmonary disease (COPD). Healthy individuals, too, are complaining about breathing difficulty , say doctors.Elderly and infants are the worst affected. ""There is a 2030% increase in the number of patients seeking consultation for respiratory distress. Many of them also require admission because they have breathing difficulty and lower respiratory tract infection,"" said Dr Arup Kumar Basu, head of the department of chest medicine at Sir Ganga Ram Hospital. He said the situation is likely to worsen further during Diwali when the burning of firecrackers will deteriorate the air quality./Basu added that apart from open burning of crops in neighbouring states, pollution due to vehicular emission has also gone up in Delhi. ""There are always heavy traffic jams in the run-up to Diwali. All main roads, bylanes in colonies and markets are crowded with vehicles.Vehicles are also a major contributor to pollution in the city,"" he said./According to Dr Anupam Sibal, group medical director of Apollo Hospitals, Delhi witnessed a similar situation in the 1990s when people used to go on short vacation to the hills to avoid increased pollution levels during Diwali. ""The situation had improved a decade later due to intensive awareness campaigns and the introduction of CNG for public transport vehicles. But all the gains made by those efforts seem to have been lost in the past few years. There is a need to adopt a new strategy and take up campaigns to tackle the rising air pollution in Delhi,"" he said./Headaches, mood swings and depression are other health problems that are caused due to high levels of pollution and a dip in the temperature./Roopabh Sharma, a Green Park resident who has been suffering from asthma for many years, said he is not able to breathe properly due to smog. ""The air is filled with pollutants and it causes a lot of breathing difficulty. I prefer to stay indoors mostly ,"" he said./Dr Sujeet Jha, an endocrinologist at Max Hospital, Saket, said the time is not far when people, particularly the children, will be forced to wear masks while going out during peaks hours. ""There is no other way to prevent respiratory distress caused by pollution. Many schools in the US ask children to wear masks if they are vulnerable to respiratory distress due to high levels of pollution,"" he said./Cardiologist Dr Ashok Seth said the risk of heart attack due to constriction of blood vessels and less oxygenation in blood increases in winters, particularly when there is smog. ""The patients are advised to take regular medications and limit outdoor activities,"" he said./For more stories, follow us onand/For Reprint Rights: timescontent.com"
Green Diwali campaign on top gear,"COIMBATORE: Environmentalists in the city are batting for an eco-friendly Diwali this year. Several of them have begun running campaigns to spread awareness on the need to abstain from bursting crackers, which cause both noise and air pollution./They said it was more important for people, who have pets at their houses, and also those who live along forest fringes and water tanks, to avoid bursting crackers, as it will scare the animals in the vicinity./The district's location at the foothills of the breathtaking Western Ghats and its plenty of water bodies, they said, has its pros and cons. While the good climate, opportunities to sight exotic birds, extensive greenery on the suburbs and clean air are an advantage, the constant man-animal conflicts are considered a disadvantage. ""However, it is important for people to realize where they live and protect the natural habitat and ecosystem as much as possible,"" said environmentalist Umesh Marudachalam./The environmentalist, who is a part of 'Save Coimbatore Wetlands' campaign, has been appealing to people, who own farmhouses and living along forest fringes, to abstain from bursting crackers. ""I have been communicating to these people through SMSes and social networks. This is besides going from farm-to-farm whenever I visit villages as part of animal conservation work,"" Umesh Marudachalam said./""If it does not rain during Diwali, the forests will become dry and the risk of a forest fire is very high if people were to burst crackers,"" he cautioned. ""Near the wetlands too, the noise scares away birds, for whom this is the nesting time,"" he further said./Tree Trust, another NGO in the city run by environmentalists Mohan Raj and M Yoganathan, has been visiting various government and private schools to create awareness among children on harmful effects of bursting crackers. They also told them how it affects animals. ""It scares away animals like elephants, wild boars and leopards, forcing them to venture deeper into the forest,"" said Raj./""This forces animals to always remain on alert and bunk hunting. Many mammals even leave their young ones and run away. As a result, often a few of hatchlings starve to death. The excess smoke generated also disturbs the animals,"" he added./For his part, Yoganathan has been encouraging children to take an oath that they would not burst crackers this Diwali. ""They have now begun asking their parents not to buy crackers,"" he said. ""We have also asked people, who live near hospitals, not to burst crackers keeping in mind the patients there, who might get disturbed,"" Yoganathan added./The environmentalists hope that many villages in and around the district would follow in the footsteps of farmers and residents of Vellode, the home to the city's closest bird sanctuary, who have not burst crackers in their area for more than a decade, so as not to scare away the birds. The farmers there said the stools and droppings of the birds were very important manure./For Reprint Rights: timescontent.com"
CPCB control room to check air quality,"NEW DELHI: In the backdrop of deteriorating air quality due to meteorological reasons and stubble burning, the Union environment ministry on Friday decided to set up a control room at the Central Pollution Control Board (CPCB) to constantly monitor air quality and day-to-day actions of state agencies to control pollution in Delhi and NCR./Besides, it also took a decision to issue notices to states' pollution control boards under Section 18 of the Air (Prevention and Control of Pollution) Act, 1981 to hold the local agencies accountable for not taking desired actions against air pollution within their respective jurisdictions./These decisions were taken in a review meeting of measures initiated aken by Delhi and NCR states -- Haryana, Punjab, Rajasthan and Uttar Pradesh -- to combat air pollution in the past three months. The last such meeting was held in August./Noting that the recent 15-day long smog in Singapore should serve as a warning to all cities including Delhi, environment minister Prakash Javadekar, who chaired the review meeting, attributed the foul air in the city to burning of crop residue in neighbouring states. The situation, he said, will worsen with the advent of winter. ""The Singapore haze problem has given a warning to all cities to become more serious,"" Javadekar said./""To create accountability, we have decided to issue directions under Section 18 of Air Act. This will strengthen the hands of all agencies involved and will also give a legal force to them,"" said Javadekar./Appealing to citizens, especially children, to ""say no to firecrackers"" this Diwali, he said, ""I am convinced that children are the best ambassadors. When they say no to firecrackers, there will be no firecrackers. Already there is a decrease in it.""/During the meeting various measures were suggested to reduce and eliminate stubble burning, including viable alternatives to discourage it, imposing a ban and providing subsidies on bail machines./The minister said a group has been started on WhatsApp through which citizens can send messages and alert authorities whenever they find stubble or solid wastes being burnt. Javadekar said he had called up Punjab CM Parkash Singh Badal who has assured him that they are taking serious action such issues./During the meeting, representatives of the Punjab government said the state has started an awareness programme to educate farmers on the ill-effects of burning paddy stubble and biomass. The Rajasthan government had already banned stubble burning sein the state through a notification issued in August this year./In Punjab, mechanised road cleaning has been started in Mohali and will soon be expanded to include other cities. The Rajasthan government has increased the number of PUC checkpoints from 475 to 800./In Delhi, Javadekar said, Pollution Under Control norms were being strictly enforced. ""One lakh vehicles were checked recently out of which 70,000 vehicles were found to have valid PUCs. The number of PUC checking points has also been increased,"" he said./""All agencies are doing their bit. We have asked them to do more on all aspects of checking stubble and biomass burning, addressing construction and demolition waste rules, PUC linked with server, mechanized road cleaning, lane discipline and waste management,"" Javadekar said./For Reprint Rights: timescontent.com"
Smoke from burnt waste hits walkers,"NAVI MUMBAI: For a civic body that claims to be pro-environment, it has come as a surprise for the residents living next to Wonders Park in Nerul that disposal method of green waste is far from eco-friendly./On Saturday, residents and morning walkers encountered a huge mass of smoke billowing out from the compost pit situated inside the theme park/""The garden staff seem to have burnt the green waste without giving a thought to air pollution. Smoke kept coming out of the pit till late afternoon,"" said a morning walker Shireen Ketkar./However, garden department officials insisted there is a proper system in place to dispose green waste. ""The policy is to prepare fertilizers out of the green waste. Bigger gardens like Wonders Park have compost pits where waste is dumped and transformed to fertilizer,"" said the official./Executive engineer Sanjay Desai said, ""Green waste should not have been disposed in this manner, as there is a compost pit in the park. But I will look into it,"" he said./The 25-acre theme park was constructed at the cost of Rs 37 crore. An average of 50 kg green waste is collected daily from the garden./For Reprint Rights: timescontent.com"
Asthma patients must watch out,"Mumbai: The slight nip in the air has led to an increase in the number of patients, both young and old, visiting the doctor's clinic. Patients with asthma and chronic obstructive pulmonary disease (COPD) have to be extra careful, especially with the start of Diwali, said doctors./The increase in air pollution levels due to lighting of firecrackers could, said doctors, worsen the health of children with wheezing problems and the elderly with breathing difficulties. ""People should avoid crackers that emit more smoke than light,"" said chest specialist Dr Sujeet Rajan, who consults at Bombay Hospital, New Marine Lines./A senior doctor said the end of October is usually the time for viral infections. ""People get affected by viruses that trigger colds, coughs and even wheezing,"" the doctor said./Paediatrician Dr Indu Khosla who practises in Andheri said it is difficult to establish whether children are getting breathing problems due to viral infections or air pollution. ""But many children have started coming to the out-patients department with exacerbations. In fact, I admitted two children with exacerbations today,"" said Dr Khosla, adding that such a rise in number of patients is normal around Diwali./She, though, added children who are under medication for asthma should be kept away from smoke from crackers as well as tobacco. ""New research suggests that if such a child comes in contact with second-hand cigarette smoke, his or her medicines won't be as effective."" Dr Rajan said all age groups are affected by air pollution but the young and the old are the most susceptible. He said the elderly should be advised to take vaccines against flu because it makes them susceptible to lung infections./For Reprint Rights: timescontent.com"
"Post Diwali, air quality will deteriorate, hit health","Mumbai: Mumbaikars can expect a spike in air pollution the day after Diwali./System of Air Quality and Weather Forecasting And Research (SAFAR) has predicted that the city's air quality index would deteriorate from 259 on Wednesday to 282 on Thursday. Air quality is measured by the level of the main pollutant -particulate material 2.5 (PM 2.5, particles that measure less than 2.5 microns). Air quality values between 201 and 300 are considered poor and people with heart or lung diseases, older adults and children are at risk./""There is a temperature variation due to which pollutants may get trapped in the air. So, we will see air quality deteriorate on the night of Diwali and the following day. Apart from regular pollutants, crackers will add a lot of emissions,"" said Neha Parkhi, senor programme officer, SAFAR, and Indian Institute of Tropical Meteorology, Pune./""People with existing heart or lung diseases such as asthma, chronic obstructive pulmonary disease, congestive heart disease, or ischemic heart disease are at an increased risk of admission to hospitals or even premature death based on the severity of already existing problems,"" said the SAFAR report./SAFAR calculates the air quality index (AQI) at various locations in city jointly with IITM, India Meteorological Department and National Centre for Medium Range Weather Forecasting and local corporations./Experts, though, say Mumbai has an advantage considering it is a coastal city. ""In places where wind speed is low, dilution is slower./This is more troublesome in land-locked areas. In Mumbai, due to coastal winds, air quality is bad for a limited period. It begins to normalalize soon,"" said Rakesh Kumar, director, NEERI./""We have been observing that cracker usage is reducing over the past five years. It could be due to both awareness or the rising prices,"" he added./The forecast has also identified Chembur, Bhandup, Mazgaon and Nerul as high risk locations. On the other hand, air in Borivli and Colaba will be relatively cleaner./Meanwhile, even as most crackers this year have met permissible noise levels in a test done earlier this month, activists are unsure if it will be a quieter Diwali since there is no dedicated task force to tackle complaints./""The 10pm deadline for crackers may not be followed if people have to depend on the control room and the local police station to complain about crackers. It is very difficult to get through the control room,"" said Sumaira Abdulali, convener, Awaaz Foundation./For Reprint Rights: timescontent.com"
City pollution leaving many in 30s with 50-yr-old's lungs,"Mumbai: Young Mumbaikars are so badly hit by rising pollution levels that they have weak lungs, says a new study./The study, presented at the recent national conference of chest specialists in Jaipur, tested lungs - the capacity and speed of breathing in oxygen and breathing out carbon dioxide - of the medical staff of a hospital in the western suburbs. Most were aged below 50. Almost 40% of the 87 individuals examined, who had never smoked, had lower-than-ideal lung function or weak lungs./""Some 30-year-olds who were studied had the lung function of a 50-year-old or older,"" said chest specialist Dr Sanjeev Mehta who conducted the study at Arogya Nidhi Hospital, Juhu. ""Imagine their plight when they turn 60?""/Another study conducted in May by HEAL Foundation found a third of 3,000 schoolchildren tested across Mumbai, Delhi, Bengaluru and Kolkata had reduced lung capacity./Experts say reduced lung function could be a fallout of air pollution./Air pollutants such as solid particulate matter (PM) that measure less than 10 micrometres and gases like sulphur and nitrogen dioxide irritate the lung tissue, and over a prolonged period, affect its function./Previous studies conducted among traffic policemen and rickshaw drivers showed poor lung function due to constant exposure to pollutants./Chest specialist Dr Sujeet Rajan said in a city like Mumbai, people who travel by autorickshaws are the worst affected by pollution. ""Buses are good because passengers are seated at a higher level. Passengers in cars and taxi can roll up their windows but there is no such mechanism in autorickshaws,"" he said./Not surprisingly then, the Global Burden of Diseases report, brought out in collaboration with the World Health Organisation, had estimated that air pollution caused more than 6,20,000 premature deaths in India in 2010, making it the fifth leading cause of mortality./""Air pollution results in airway disorders among people, especially children. In the next few decades, it won't be surprising if children are born with weaker lungs,"" said Dr Ashok Mahasur, chest specialist who had done the first air pollution study in Mumbai two decades ago./The Juhu study underlines this lung-air pollution connection. Dr Mehta said he was surprised with his findings because most of the staff members were under 50 years of age. ""These are young people working in an area like Juhu that is closer to the sea. One can imagine how bad it may be in congested areas like Lalbaug,"" he said./In Boston that has cleaner air than Mumbai, studies have shown that people living less than 1km away from the highway have reduced lung function. People living deep inside the city had better lung function, said the doctor./Dr Mahasur, who previously headed the chest medicine department at KEM Hospital in Parel, said, ""In the past, we would make distinctions about certain pockets being good and others being bad, but air pollution is no longer linked to certain pockets. Vehicular emissions, along with construction dust, are the biggest culprits here.""/In the Juhu hospital study, people underwent a spirometry test which showed that 38% had less than normal total exhaled breath capacity while 42.5% had lower total exhaled breath./""We did another study with this group that showed that around 45% of them had allergies that they hadn't sought treatment for,"" said Dr Mehta. The study found that none with allergies were seeking treatment as they felt it was a common cold. Considering that many with nasal allergies go on to develop asthma, the study's findings are worrisome./However, Dr Mahasur said the study's findings need more exploration. ""The study didn't factor in many conditions like the socio-economic background of participants, their nutritional status as well as their exposure or ambient air pollution,"" said Dr Mahasur. He pointed out that previous studies done in India had shown ethnic and regional differences in lung function. ""For instance, lung function of a north Indian is always higher than that of a south Indian and this could be because of diet or growth factors,"" said Dr Mahasur./For Reprint Rights: timescontent.com"
Damp Diwali a blessing in disguise for Chennai as pollution levels stay low,"CHENNAI: The downpour on Diwali was a blessing in disguise as rain on Tuesday helped wash away the air pollutants said experts. Keeping with declining popularity of firecrackers, the city recorded a big drop in air and noise pollution levels this Diwali. Nungambakkam and T Nagar were the most polluted area, while Besant Nagar was the least polluted./Triplicane which topped the list last Diwali showed a dramatic drop in pollution. The respirable suspended particulate matter (RSPM) levels, an indicator of air pollution, remained within the permissible limit (100 micrograms per cubic metre) in most parts of the city. Last year, the RSPM levels were much beyond the permissible limit, with Triplicane recording 297 micrograms per cubic metre./Levels of sulphur dioxide in the air remained within 15 micrograms per cubic metre throughout the city this Diwali as compared to the last when Triplicane recorded 32 micrograms per cubic metre./""While the rainfall reduced use of firecrackers, it also helped disperse the clouds of smoke that would have otherwise lingered and poisoned the air. Rain droplets helped in turning sulphur dioxide to sulphate aerosol and its subsequent dispersion,"" said TNPCB member secretary Karthikeyan./According to data released by the Tamil Nadu Pollution Control Board (TNPCB), Nungambakkam recorded 131 micrograms per cubic metre of RSPM on Diwali as compared to 48 micrograms per cubic metre on a regular day (November 5). The permissible RSPM limit, considered safe for human habitation, is 100 micrograms per cubic metre./The RSPM level more than doubled on Diwali as compared to a regular day. The RSPM level at T Nagar rose from 54 micrograms per cubic metre to 126 micrograms per cubic metre on Diwali./Despite the reported reduction in air pollution levels, cases of respiratory illnesses were very high, with city doctors reporting a 50% rise in the number of patients. ""We received about 60 patients on Wednesday after Diwali against the usual count of 35-40 patients a day. Many more made appointments over phone but could not make it due to rain,"" said asthma specialist R Sridharan of the Asthma and Allergy Resource Centre at Mylapore./Noise levels also went up, but not by much, as per the TNPCB data. The noise levels were highest at Besant Nagar which despite recording the lowest air pollution suffered noise that shot up from 76 decibels (dB) on a regular day to 83 dB on Diwali. Crowds gathered at Besant Nagar's Elliots beach shot up noise levels on Diwali./For Reprint Rights: timescontent.com"
Northeast air pollution sets alarm bells ringing,"GUWAHATI: Some cities in Assam and the northeast have reported a drastic drop in air quality over the past few years./This was revealed in World Health Organization's 'Ambient (outdoor) Air Pollution (AAP) in Cities Database' released in April this year./Experts termed the pollution situation here 'borderline alarming' and sought effective pollution-curbing policy from the government for the sake of people's health./The report covered 1,600 cities across the world and focused on data collected from monitoring stations in residential, commercial and other areas between 2008 and 2013. The report termed New Delhi 'the most polluted city on the planet'./The air quality in the cities of the northeast was measured in terms of the presence of annual mean concentration of particulate matter (PM 10 and PM 2.5, i.e., particles smaller than 10 and 2.5 microns, respectively) in the air. Particulate matter or PM are coarse or fine particles present in the air that people breathe and most of the particles cannot be seen. They can be in any shape or size and are present in both solid or liquid droplets./The main difference between PM 10 and 2.5 is the size of the particles. Bigger particles are placed between 2.5 and 10 micrometer. The smaller particles, PM 2.5, are smaller than 2.5 micrometer and are 100 times thinner than human hair. The coarse particles of PM 10 mostly comprise smoke, dirt, dust from factories or farms and construction of roads, while PM 2.5 particles comprise those making up automobile exhaust, heavy metals and toxic compounds. They are lighter, float in the air longer and have the ability to traverse long distances. The health risks they pose are many as PM 2.5 can travel deep into human lungs and cause cancer and respiratory problems./Guwahati, Roha, Sivasagar, and Silchar in Assam, along with Dimapur in Nagaland, reported 40, 53, 48, 40 and 40 microgram of PM 2.5 per cubic meter annual mean, respectively. The WHO's safety threshold of PM 2.5 for humans is 10 microgram per cubic meter annual mean./On the other hand, Roha, Nalbari, Nagaon, Guwahati, Dimapur, Sivasagar and Silchar reported 121, 82, 79, 92, 92, 109 and 91 microgram of PM 10 per cubic meter annual mean, respectively./Sharad Gokhale, professor of environmental engineering in the department of civil engineering at IIT-G, said, ""An effective policy in terms of improving traffic infrastructure is the need of the hour. The situation here is not as severe as that in some other cities of the country. But pollution is on the rise here and will ring alarm bells in the near future if it is not tackled.""/For Reprint Rights: timescontent.com"
"Docs warn revellers against use of crackers, urge them to go green","PUNE: The firecrackers illuminating the night sky on Diwali can also lead to life-threatening situation for many suffering from respiratory and heart ailments./Therefore, saying no to firecrackers this Diwali is the best resolve one can make during this festive season, said city-based doctors. ""Pollutants emerging from bursting of firecrackers often remain suspended in the atmosphere for days altogether and can aggravate pollution-related allergies,"" they said./And it is not just the pollution that worries experts, who claim that the number of firecracker-related injuries has been increasing with every passing year. ""Not only children, but also onlookers and passers-by fall victim to these fiery sources of joy leaving them with grievous injuries,"" they added./""Every year cases of lung allergies register a sudden rise during this time of the year. Therefore, it is advisable that people suffering from respiratory and heart ailments should take extra precautions,"" said internal medicine expert Arun Suradkar of Columbia Asia hospital./She added that pollutants emerging from firecrackers can aggravate allergic bronchitis, chronic obstructive pulmonary diseases, bronchial asthma, sinusitis, allergic rhinitis, pneumonia and common cold. ""Nitrogen oxide, the most common pollutant released from bursting of firecrackers, aggravates existing skin, eye and respiratory problems leaving many gasping for breath,"" Suradkar said./Burning of firecrackers produces both gaseous as well as particulate matter air pollution which are harmful for lungs, eyes, nose and heart. ""Particulate matters (PM) of less than 2.5 microns in diameter have the ability to reach the deeper portions of the lung and cause damage,"" said Sneha Limaye, senior scientist from Pune-based Chest Research Foundation (CRF)./Limaye recently supervised a study in which levels of particulate matter of less than 2.5 micron were measured during the burning of six most-commonly used firecrackers like fuljhadi (sparklers)./""During the study, we found that snake tablets, laad and pulpul are most harmful crackers,"" said Limaye. The snake tablet, which is popular with the children, produced the highest PM of 2.5 microns, followed by laad, pulpul, fulzadi, chakri and anar, she added./Limaye said, ""Children, in particular, burn sparklers, pulpul and snake tablets barely a foot or two away from them and in doing so inhale a large number of smoke particles that reach deeper into their lung.""/Sharing the view, chest physician Sundeep Salvi, director of CRF, said, ""High levels of air pollutants generated during firecracker burning causes worsening of asthma, allergic diseases of the eyes and nose, respiratory tract infections, pneumonias and heart attacks.""/Firecracker-related injuries range from burned fingers and lacerations to serious disability and permanent loss of vision. ""These injuries are on the rise mainly due to carelessness and ignorance among people,"" said Aditya Kelkar, an eye surgeon./""Eyes are vulnerable and can easily sustain an injury from a firecracker. If there is a burn injury to the eye, cover it with a sterile cotton pad and visit a hospital immediately. If there is a penetrating injury, don't wash the eyes. But if a small particle of the firecracker enters the eye, wash the eye with clean water and consult an ophthalmologist,"" he said./Senior paediatrician Sharad Agarkhedkar, vice-president of the state chapter of Indian Medical Association (IMA), said, ""Children are particularly vulnerable during Diwali since they are very enthusiastic about lighting crackers. Children should be informed about the dangers involved in lighting firecrackers. People should make sure that a responsible adult is supervising the children when they are handling crackers.""/The increase in cases of firecracker-related injuries also highlights the need to regulate firecracker use and to enforce safety precautions. ""One of the most effective measures would be to restrict bursting of fireworks in open spaces,"" experts said./Better safe than sorry/Let one person light a cracker at a time/Use a long candle or a sparkler to light firecrackers while keeping the elbow joint straight/Keep buckets of water handy/Turn off the regulators of your cooking gas cylinders and avoid keeping them in open spaces/Protect your pets. Loud crackers can make them jittery leading to violent behaviour/Use cotton ear plugs for infants and avoid bursting crackers while holding them/Don't go near a cracker that fails to burst or tamper with misfired fireworks/Avoid placing crackers in a container while lighting them/Light fireworks in open spaces/Always be there with small children to ensure their safety while handling fireworks/Keep firecrackers away from burning candles and earthen lamps/Wear thick cotton clothes and secure all clothing, including dupattas and sarees, while bursting crackers/In case of a burn/Hold the wound under running tap water till the burning sensation subsides/If fingers or toes are burned, try and separate them with dry, sterile, non-adhesive dressings/Take the victim to a hospital immediately/Avoid any kind of friction or pressure on the wound/Cover the wound with a moist sterile bandage (avoid a blanket or towel to cover the burns)/After extinguishing the fire, remove all burning clothes. Wrap the victim in a clean bedsheet/For Reprint Rights: timescontent.com"
