headline,body
Delhi government staggers office hours for its staff,"NEW DELHI: Delhi government on Friday announced staggered office hours for its employees in the wake of deteriorating air quality which forced the Supreme Courtappointed Environment Pollution (Prevention and Control) Authority to declare a public health emergency in Delhi-NCR. The staggered office timings will be applicable from November 4 to 15 when the odd-even scheme will be in force./<a href=""https://timesofindia.indiatimes.com/city/noida/pollution-news"">Track the pollution level in your city</a>/The blanket of haze over Delhi-NCR for a few days has thickened further. As the air quality continues to dip, people face burning sensation in their eyes when exposed to the outside air besides breathing issues.A general administration department order said that working hours of a total of 42 government offices have been staggered. The government offices have been divided into ITO and Civil Lines zones. In both the zones, employees will be coming to offices at two different times. On weekdays, there will be two shifts-from 9.30am to 6pm for around half of the government offices, and from 10:30 am to 7pm for the remaining ones. No private firm has been included in the plan.The idea behind staggering the office hours is to ensure less congestion on the roads which will check the rising pollution levels. It is applicable to all the employees and officers working in different departments of the government. It excludes government employees like teachers, nurses, doctors, etc.""All employees engaged in administrative reforms, environment, power, planning, health and family welfare, public works department, education, transport, municipal corporations of Delhi, etc. would be required to come according to the staggered office hours,"" said an official.At a press conference, CM Arvind Kejriwal said that this is the first experiment of staggered office timings so the private offices are not included. The private firms would be considered for the staggered office hours next time the government implements it, he added.Sources said that on an average, over 75% government offices open at 9.30am and close at 6 pm, while the rest of the offices such as health and education open at 9am. Transport minister Kailash Gahlot said that the staggering of office hours is another major step by the Delhi government to combat air pollution. For Reprint Rights: timescontent.com"
Track the pollution level in your city,Burning trash mounds mock CM Yogi Adityanath directive,"LUCKNOW: An order from the chief minister to stop burning garbage notwithstanding, the practice - a major cause of air pollution - is continuing unabated in the state capital. The district administration and Lucknow Municipal Corporation (LMC), acting on the directive, had asked officials of all the eight zones in the city to conduct routine inspections to stem the problem. Zonal officials and those in charge of beats were warned of punitive measures if they failed to implement the order.However, burning garbage is still common in areas like Lalbagh, Latouche Road, New Hyderabad, Kaiserbagh and Daliganj, where residents complained to TOI about breathing distress, nasal congestion and headache.In Lalbagh, sanitation workers burn mounds of trash on the roadside, making children cough their way to school. /""Our morning begins with breathing heavily polluted air. Garbage burning is rampant. There is no one to stop the sweepers from doing so. School-going children are inhaling poison every day,"" said resident Akansha Singh. As if toxic smoke from garbage were not enough, residents of Latouche Road rued that wires and cycle tubes were also frequently burnt. ""The area is dotted with electronics and cycle repair shops. They junk everything on the road and the same is burnt by sweepers in the morning. It is a health emergency for senior citizens with low immunity and lung function,"" said Gautam Balamurli.Residents of Kaiserbagh are livid because complaints to the LMC about garbage burning have fallen on deaf ears. ""Garbage mounds are set on fire at least three times a week. Thick, black smoke engulfs the neighbourhood. Every second person is complaining of headache or nasal congestion, but the LMC doesn't care,"" fumed Bhavna Tiwari.Civic officials insisted that the LMC had prohibited burning of garbage three years ago. It had also decided to penalise sanitation workers with a day's wage cut while a fine of Rs 500 was imposed on other offenders (commoners/non-employees). ""We have penalised more than 20 people in and around the city. We are conducting regular drives and garbage burning will stop in the city very soon,"" said an LMC official without mentioning when and how. For Reprint Rights: timescontent.com"
"Air pollution spikes lung ailments, experts tell people to wear masks","Jaipur: Rising levels of air pollution are taxing health of city residents. Experts have appealed to the people to wear good quality masks and not to step out during early morning.Clinics and hospitals are witnessing sharp increase in the number of patients with respiratory problems. ""At least 20% cases of respiratory problems have increased due to air pollution. /We are advising people not to step out during early morning due to fog which goes into the lungs,"" Pulmonologist and former superintendent at SMS Hospital, Dr Virendra Singh said. It is the collective pollution of vehicles, crackers, burning of stubble in neighbouring states, he added.Although it was Sunday, the city's pulmonologists remained busy. ""It is Sunday but I am receiving calls from patients. I have attended 20 calls of problems related to air pollution. People are complaining of throat irritation, burning sensation in eyes, skin irritation and allergies. It is happening even when people are indoors as it was Sunday. Had it been any other weekday, the problem might have been graver,"" HOD, Institute of Respiratory Diseases at SMS Hospital, Dr Narendra Khippal said.Doctors have advised people to use proper masks to avoid air pollution. ""The masks must have a pore size of 2.5 micrometres or less-while filtering out PM2.5 particles. Industries, vehicles and crop burning usually emit PM2.5. But firecrackers also contribute substantially to this. One needs a powerful mask to stay protected from them. Surgical masks, even at their best capacity, can barely protect you. Go for masks equipped with activated carbon layers and filters-to stop PM2.5 or higher particles,"" Consultant - Pulmonology and Chest and Sleep Medicine at a private hospital, Dr Ankit Bansal said.Patients already suffering from respiratory diseases are advised to take medicines on time. ""Everybody is affected with recent increase in air pollution. Those with asthma, COPD are facing severe breathing difficulty. People with wheezing and cough not responding to usual inhalers and antibiotics. They need additional corticosteroids for relief,"" senior consultant (pulmonology) at a private hospital, Dr K K Sharma said. For Reprint Rights: timescontent.com"
Is air pollution also making us depressed? Studies agree,"Unless you have been living under the rock, you must be well aware of the thick envelope of toxic air that has engulfed Delhi-NCR. The residents are waking up to irritated eyes, sore throat and a sensation of choking. The air pollution levels have reached a disturbing three-year high, well into the ""severe"" range.The dangers of air pollution on human health From respiratory distress to heart, brain and even the health of the expectant mothers, these unusually high levels of particulates in the air are known to cause several acute and chronic medical conditions. /However, in addition to an increased risk of cardiovascular diseases and respiratory symptoms, this dangerous cocktail of air pollutants can damage your mental health as well.The psychological impact of the choking airExposure to high levels of air pollution has been linked with affecting brain development in children and worsen the existing mental health conditions. Yes, the dreaded air pollution seems to damage much more than the visible physiological effects. According to a journal published in the Lippincott Portfolio by Wolters Kluwer, the mental health of the teenagers is more susceptible to the damage caused by airborne particles.The studyTo conduct the research, 144 teenagers were given a social stress test which included a five-minute speech and a math test. Shockingly, after studying the adolescents' heart rate and other bodily responses, it was found that teenagers with a higher autonomic response to stress, also had an increased level of PM 2.5 near their house. While the association between polluted air and greater stressors has not been explained in the study, it re-emphasises the fact that toxic air may also damage neurodevelopment and cognitive function.How air pollution is STRESSING us outIt does not matter which news channel you put on or newspaper you pick up to read, they are flooded with the impact of deadly levels of air pollution. Moreover, the doctors have strongly advised avoiding stepping outside unless absolutely needed. People have also been asked to stop working out outdoors and avoid strenuous exercises which may cause rapid breathing. Short winter days, grey skies and the presence of choking air everywhere are bound to stress anyone out and contribute to a persistent low mood.Can air pollution also plunge you into depressionA report published in the Ochsner Journal points to data from China published in 2018. According to that data, every 1 standard deviation rise in particulate matter over an average PM2.5 concentration increases the likelihood of having mental illness (including depression) by 6.67%. Hence, dirty air is not only suffocating your lungs, but it also impacts the way you think. There is clearly a desperate need to conduct in-depth researches to determine the extent of damage air pollution is doing to our mental health.The bottom lineFor now, instead of panicking over the stuffy air and AQI updates, it is more important to focus on what needs to be done. From carpooling, reducing the number of times you use your car, using public transport, planting more trees to completely avoiding burning trash, there is a lot that can be done on an individual level.  For Reprint Rights: timescontent.com"
Pollution chokes Delhi: How to keep yourself safe,"There is no respite for Delhiites from the hazardous air quality as the Delhi-NCR region was engulfed in a thick blanket of smog on Monday morning. Breathing polluted air may cause respiratory illness in healthy people on prolonged exposure. Even on short exposure, it can cause pronounced respiratory or other serious illnesses in vulnerable population.Who's at risk:Elderly Children below 5 yearsThose with chronic illnessesPeople who spend a lot of time outdoors because of their occupation such as traffic cops, rickshaw-pullers, auto rickshaw drivers, roadside vendors etcThe public has been advised to avoid any outdoor physical activity and people with heart and lung diseases, older adults, and children are advised to remain indoors and avoid any exertion.In a statement, Delhi health minister Satyendar Jain said the air pollution had reached the severe level and asked people to follow the dos and don'ts as mentioned in the advisory.To combat the menace of air pollution, the government of Delhi's Odd-Even Scheme has also commenced today. It is scheduled to conclude on November 14. The scheme will be applicable from 8am to 8pm. It will not be effective on Sunday, November 10. For Reprint Rights: timescontent.com"
"Priyanka Chopra gets trolled for her mask pic, social media says 'yeah that cigarette you smoke won't kill you'","Priyanka Chopra is currently in Delhi as she shoots for one of her upcoming projects alongside Rajkummar Rao. Due to the alarming Delhi pollution crisis, The 'Sky Is Pink' actress took to her micro-blogging site and shared a selfie with a mask. /Through the post which was shared yesterday, she expressed how difficult it is to cope up with the air pollution and thanked the team for providing air purifiers and masks. The actress also asked her fans to stay safe from the pollution and prayed for the unprivileged who stay on the streets. However, this particular post by the actress didn't go down well with some of the social media users as she got trolled.Apart from receiving good comments from her fans, the post was also bashed with some nasty comments which took a dig at her cigarette smoking habit. While some asked her to stay safe as she suffers from Asthama, some taunted her for the cigarette she smokes.Check out the comments here:If remembered, sometime back, pictures from Priyanka and Nick's Miami vacation went viral. Priyanka who was diagnosed with asthma at the age of five, was brutally trolled after pictures of her smoking went viral. The global star had received flak from a section of social media users over a photograph that showed her smoking. While the trolls slammed the actress, a section of Twitter users defended her saying everyone can make their own choices. For Reprint Rights: timescontent.com"
"Air quality 'poor' in city again, Gehlot asks Centre to take lead","Jaipur: The effect of Delhi pollution has started to affect Rajasthan. Chief minister Ashok Gehlot expressed concern over the deteriorating air quality in the city and asked the Centre to work with the Delhi government to contain the problem. On Sunday morning, a thick layer of haze enveloped Jaipur. /The city's air quality, which was categorised poor post-Diwali and slightly improved over the last four days, again turned 'poor.' Calling it as a health emergency, Gehlot urged the Centre to address the menace. ""It is a health emergency, which only Delhi govt can't solve alone. The Centre has to take the lead,"" Gehlot tweeted on Sunday.He expressed concern about the health of people that was at risk due to air pollution. ""Rising pollution levels in Delhi and in neighbouring states, including Rajasthan, is a matter of grave concern. People are suffering since long, especially children and old people,"" Gehlot tweeted.On October 28 (post Diwali) and October 29, the ambient air quality index (AQI) was recorded at 290 and 271 and categorised as poor. Following that, the air quality improved a bit and was categorised as 'moderate' on Wednesday, Thursday, Friday and Saturday. However, the AQI level rose to 249 on Sunday.According to the Centre Pollution Control Board, when the AQI is categorised as poor, people start feeling breathing discomfort on prolonged exposure.""It is not winter and it was not fog. We were shocked to see the haze early morning,"" said Ajit Gaur, a resident of Vidhyadhar Nagar.Gehlot tweeted a video also and said, ""Delhi has turned into a gas chamber and the entire country is worried about it as it is the capital of the country. The pollution is now engulfing Rajasthan especially in districts such as Bharatpur and Jaipur. We have contacted the Centre and requested to work in this direction along with the Delhi government.""He said the government should think of permanent solution rather than temporary measures such as closure of schools and industries for five days. For Reprint Rights: timescontent.com"
Smog tightens stranglehold,"Ludhiana: Air quality in Ludhiana deteriorated to its second worst value this year on Sunday, with the pollutant PM2.5 rising to 337 on the AQI and making the PCCB and city MC look at ways to improve conditions. PM2.5 is particulate matter which is suspended in the air and is 2.5 millimetres or less in diameter. Because it is too fine, it goes deep in the lungs and prolonged exposure to it increases a person's risk to heart disease and stroke, lung cancer, chronic lung disease, and respiratory infections.To decide on remedial steps, MC commissioner K P Brar said she had called an ""urgent meeting"" on Monday to discuss steps the civic body could take to resolve the situation. /A day after Diwali, which fell on November 27, AQI value in the city was 353. The AQI, or air-quality index, value on Sunday came under the ""very poor"" category. Punjab Pollution Control Board chairman Satwinder Marwaha said the teams comprising officials and staff of the board, and departments of revenue, health, agriculture and police had been visiting farmers and motivating them not to burn stubble and telling them about the benefits of not doing so.Marwaha said the high AQI value was because wind was not blowing across the region and, thus, pollutants had been suspended in air. ""Overcast skies and lower temperature have also not let pollutants rise and disperse,"" he added.The PPCB chairman said air quality would improve if it rains over the next few days. According to the Indian Meteorological Department, rain has been forecast in the city on November 6, 7 and 8. Marwaha said pollutants from the bursting of crackers on Diwali had also not yet been completely dispersed in the air and this was adding to the city's problems. In Punjab, Ludhiana was the fourth worst-affected by air pollution, mostly being blamed on Diwali and stubble burning. Patiala (415), Mandi Gobindgarh (381) and Khanna (360) had worse air quality.When contacted, Ludhiana deputy commissioner Pardeep Aggarwal said their teams were visiting villages where stubble burning was widespread and taking action. However, he didn't elaborate on what type of action was being taken. On the other hand, city residents complained of the government not doing enough for the people. ""Farmers are blamed for stubble burning, but I think that government has not come with best the possible solution on the issue. The government should provide them with some minimum amount for transporting stubble. If they don't do it, we will continue to suffer, especially the elderly and children,"" said Harjot Singh, a city resident.A homemaker from Pakhowal Road, Harpreet Kaur, said her son had started developing a breathing problem. ""We have to put him on nebulizer. My daughter also sneezes frequently. It is difficult to watch them suffer. The government must come up with longterm solutions,"" she said.  For Reprint Rights: timescontent.com"
Kejriwal thanks people for support,"New Delhi: Chief minister Arvind Kejriwal congratulated the people of Delhi for supporting the odd-even scheme, which kicked in on Monday. Delhi government, he said, is doing all it can to check air pollution. ""The smoke and pollution have engulfed the whole of north India. /We are concerned about how pollution is severely affecting Delhi and the health of the people, especially the children. So Delhi government, together with the people of Delhi, is doing whatever it can,"" the chief minister said. ""As we cannot do anything to prevent the pollution caused by external factors, we are doing everything we can to reduce the internal pollution."" he added.After receiving high-compliance reports from across the city, Kejriwal said Delhiites ""are voluntarily supporting the scheme"". Stating that his government has been supported ""even in the harshest of measures"", the chief minister said, ""We have successfully battled dengue in the past two and half months and I hope we will be able to control pollution in the same way.""Slamming BJP for ""politicising"" the issue, Kejriwal said, ""Our central ministers should have appreciated the people's efforts rather than politicising the issue."" The Centre and the other governments concerned will have to deliberate on stubble burning, he pointed out. ""Only the Centre can find a solution to the real reason of pollution, which is stubble burning in Punjab and Haryana. Why are they blaming Delhi alone?"" Kejriwal asked. More buses will be deployed if shortage is noticed on any route during the road-rationing scheme, the CM said. While the cab aggregators have promised to refrain from surge pricing, ""I want to appeal to the auto drivers not to overcharge or else we will have to take strict action,"" he warned.  For Reprint Rights: timescontent.com"
"Farmers' make a difference, reduce air pollution in 34 adopted villages","Ludhiana: As the pollution levels in the state has risen due to the ongoing paddy harvesting season, a group of trained farmers have made a difference and managed to reduce air pollution in 34 villages adopted by them to check stubble burning by motivating farmers.Apart from educating farmers about the ill effects of stubble burning, the group has also promoted use of machinery to check the practice.""Five years ago, we would see stubble being burnt and the repercussions it would have on soil as well as humans. We then started a mission against stubble burning from a village in Moga. After talking to farmers in many villages of Barnala, Sangrur, Moga and Ludhiana districts, we found that by motivating and creating awareness among farmers we could bring a change among them so that they give up the practice of burning the crop residue,"" said Dr Harminder Singh, a homeopath-cum-progressive farmer, who is one of the directors of the Gadri Baba Dulla Singh Giani Nihal Singh Foundation, which works against stubble burning.""With sustained efforts along with a team of experts from various departments and groups, we were successful in bringing a change in 11 villages in Raikot area and ensured that farmers didn't burn stubble in more than 11,000 acre land. After getting encouraging results, we decided to adopt 34 villages in Raikot area this year to educate and create awareness among villagers to give up the practice. /We are happy that farmers in more than 40,000 acre did not burn stubble in the ongoing paddy harvesting season,"" he said.The founder of the foundation said they had around a thousand members which include four to five trained farmers in every village they had adopted.He said they had around four WhatsApp groups with around 300 members each and used these groups to make farmers aware on what material should be used for healthy agricultural practices.Sidhu, 42, who was honoured by the Indian Council of Agriculture Research (ICAR) and the Union department of agriculture and farmers' welfare during a function organised at New Delhi in September, said their work had begun many months before the onset of the paddy harvesting season. He said they held three to four meetings every month in each adopted village to aware farmers about the benefits of not burning stubble.""During such meetings in villages, we tell farmers that the soil structure gets damaged because of stubble burning apart from affecting the human health. We also tell them about the benefits of incorporating stubble in the soil and how it enriches the same. We do inform them about how cost of sowing is saved by around 50%, use of pesticides is decreased, weeds do not infest in the crops, and the quality of crops improves. We inform them about the use of machinery for such activity,"" said the director of the foundation, who belongs to Jalaldiwal and has not burnt stubble for more than five years now.He said apart from villages like Jalaldiwal, Rajgarh, Govindgarh, Bassiyan, Jauraan, Nihaluwal, Sehwajpura, Daddahor, Boparai Khurd, they have worked in villages of Barnala, including Mehal Kalan, Nehaluwal, Kalal Majra and Kirpal Singh Waala besides some villages in Sangrur and Moga districts.The founder of the foundation said with increased awareness among farmers, four machinery banks had been set up at Sehbajpura, Daddahor, Johlam and Jalaldiwal villages.He said apart from those farmers who have set up such banks, other farmers also used the machinery, including happy seeder, rotavators, mulcher and MB plough (used for sowing seeds after incorporating stubble in the soil) at nominal cost of Rs 150 to Rs 200 per hour depending on the type of machines.Those running such banks said they were happy with the change.""After coming to know about the ill effects of stubble burning and benefits of incorporating stubble into fields, we, a group of eight farmers, set up the machinery bank last year. Not only are we proud of the fact that we don't indulge in stubble burning and pollute the air and soil, but are happy that we have increased the productivity by incorporating the stubble (with the help of machines) into soil. The profit has increased and bond between farmers has become stronger,"" said 52-year-old Gurtej Singh, a progressive farmer, who has not burnt stubble in his 15-acre farm land for the last many years. His son had suffered respiratory problem because of the smoke during the harvesting season.He said they gave two happy seeders, MB plough, rotavator, chopper etc of the bank on rent to around 25 farmers.Farmers say that there was an improvement in the air quality in villages where large numbers of farmers had given up burning stubble.""The foundation is doing a great job in villages by creating awareness among farmers about the ill effects of stubble burning and benefits of incorporating stubble in soil. In our village, many farmers have given up the practice and there is a visible improvement in the air quality during the harvesting season. Earlier, one could see smoke-engulfed air. The increased awareness has solved the problem to a larger extent,"" said Darshan Singh of Rajgarh village, where the foundation has worked.He said many years ago elderly and children in the village would suffer the most during the paddy harvesting season because of stubble burning, but things have changed now.-------------------------------One of the directors of the foundation had suffered because of environmental pollution. Tota Singh, 33, a progressive farmer of Dina Sahib village and director of the foundation, said his nine-year-old son had genes-related problem which was because of environmental issue.He said his main reason to start the campaign was because of the problem faced by his son.""We started a campaign about five years ago from our village and now we have adopted a cluster of villages in Raikot apart from working in Moga, Barnala, Sangrur and Ludhiana districts,"" said.He added they raised their voice against the practice and found for the same as well.-------------------------------------Members of the foundation said during the harvesting season, they stayed in villages for several days and provided technical assistance to farmers. They said they were also in the process of setting up air quality check machines in villages. For Reprint Rights: timescontent.com"
