headline,body
Exposure to air pollution linked to reduced heart rate variability,"ISLAMABAD, July 13 -- A new study has revealed that in patients with pre-existing heart or lung disease, exposure to high levels of traffic-related air pollutants is linked to reduced heart rate variability (HRV) - a risk factor for sudden cardiac death./The study included 30 Atlanta-area residents with lung disease (chronic obstructive pulmonary disease) or heart disease (previous myocardial infarction)./Ambient levels of air pollutants in the areas where the patients lived were unrelated to HRV./However, when the patients wore 24-hour monitoring devices, their personal exposure (levels of traffic-related air pollutants-specifically, elemental carbon and nitrogen dioxide) were significantly related to reduced HRV./In contrast, the Atlanta patients were spread out over a larger area, with differing population densities, distances from major roads, etc./The results add to recent evidence that short-term, personal exposure to traffic-related pollution is linked to decreased HRV and increased cardiac risk Published by HT Syndication with permission from Right Vision News. For more information on news feed please contact Sarabjit Jagirdar at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>/For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Maricopa County-based Summit Builders Construction Co. required to pay more than $100K for Clean Air Act violations,"Karachi, July 15 -- The U.S. Environmental Protection Agency has fined Summit Builders Construction Co., based in Maricopa County, Arizona, $105,610 for allegedly failing to comply with Clean Air Act regulations. In addition to the monetary fine, Summit is also required to take steps to minimize the generation of dust at its construction sites, according to a press release issued here./""Air pollution from particulate matter directly impacts the health of the community. It's an especially serious issue in Maricopa County, where air quality does not meet the federal standard,"" said Jared Blumenfeld, EPA's Regional Administrator for the Pacific Southwest region. ""EPA will not tolerate companies who fail to comply with dust control regulations. We are working closely with local air quality agencies to enforce rules to protect the community from airborne dust.""/""Air quality is a concern for many who live in and travel through Maricopa County. The resolution of this case provides for positive measures which will help improve air quality in the future,"" stated Dennis K. Burke, U.S. Attorney, District of Arizona./In 2006 and 2007, the Maricopa County Air Quality Department (MCAD) inspected five commercial construction projects in Maricopa County and uncovered eight violations for failing to perform various measures required to reduce particulate matter emissions, such as:/* Failure to install a trackout control device to remove particulate matter from vehicles;/* Failure to immediately clean up dirt that is tracked more than 50 feet beyond the site;/* Failure to operate a water application system during earthmoving operations;/* Failure to comply with the dust control plan./In addition to the penalty, Summit is required to train employees in basic dust control; document such training; and employ qualified dust controls at larger work sites for two years./Maricopa County exceeds the national health standard for particulate matter, PM-10 (one-seventh the width of a human hair), and has been classified by the EPA as a serious non-attainment area. In May 2010, EPA denied Arizona's claim that dust storms caused the high pollution readings in Phoenix. Because of this, Arizona must submit an adequate plan to EPA on how they plan to come into attainment for PM-10. Failure to do so will result in a freeze to the state's federal transportation funds./Particulate matter affects the respiratory system. Particle pollution is a complex mixture of extremely small particles and liquid droplets in the air. When breathed in, these particles can reach the deepest regions of the lungs, and is linked to a variety of significant health problems-ranging from aggravated asthma to premature death in people with heart and lung disease. The elderly, children and people with chronic lung disease, influenza, or asthma are especially sensitive to high levels of particulate matte Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Eye diseases are common in summer,"HYDERABAD, July 23 -- Summer is a hottest season and many suffer from itching, burning, and watering of the eyes and this 'red eye' can either be due to allergens, called 'allergic conjunctivitis' and infectious conjunctivitis'./Talking to this scribe here on Wednesday Eminent Surgeon, Eye Specialist and Assistant Professor of Eye Department of ISRA University Hospital, Dr.Syed Jamie Ahmed has said that red, watery eyes, inflamed lids, blurred vision and a sandy or scratchy feeling in the eyes may indicate that you have conjunctivitis./He said that the Pus-like or watery discharge around the eyelids indicate an infectious form of the disease, commonly known as ""pink eye.""/Dr.Jamil Ahmed informed that the Conjunctivitis is an inflammation or About the causes of the Conjunctivitis he said that the three main types of conjunctivitis are infectious, allergic and chemical. A contagious virus or bacteria cause the infectious form, commonly known as 'pink eye ' and patient body's allergies to pollen, cosmetics, animals or fabrics often bring on allergic conjunctivitis like irritants air pollution, noxious fumes and chlorine in swimming pools may produce the chemical form, he added./He said that the allergic conjunctivitis is irritating and uncomfortable, but it will not hurt patients' eyesight unless very severe and infectious conjunctivitis however needs urgent attention as the symptoms can worsen and become difficult to treat./About the use of the contact lenses he said that the its not a good idea to wear contacts while patients have conjunctivitis, Instead, wear glasses until patient eyes feel better Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Compliance and Enforcement News Release (HQ): Hoosier Energy Agreement Marks 20th Settlement Under EPA's Power Plant Enforcement Initiative,"Karachi, July 24 -- The U.S. Environmental Protection Agency (EPA), the Justice Department, and the state of Indiana announced that Hoosier Energy Rural Electric Cooperative, Inc. has agreed to pay a civil penalty of $950,000 and install and upgrade pollution control technology at its two coal-fired power plants in Indiana to resolve violations of the Clean Air Act. The settlement, filed in federal court today, will reduce harmful air pollution by more than 24,500 tons per year and requires Hoosier to spend $5 million on environmental projects./""This settlement continues our important enforcement initiative to reduce harmful air pollution from coal-fired power plants and provide the public with cleaner, healthier air to breathe,"" said Cynthia Giles, assistant administrator for EPA's Office of Enforcement and Compliance Assurance. ""Pollution from these sources can cause severe respiratory and cardiovascular impacts, and are significant contributors to acid rain, smog, and haze. Coal-fired power plants are large sources of air emissions, and EPA is committed to making sure that they comply with the law.""/""The large reductions in harmful air pollutants including sulfuric acid mist emissions secured by this settlement will have a significant beneficial impact on air quality in Indiana and downwind states,"" said Ignacia S. Moreno, Assistant Attorney General for the Justice Department's Environment and Natural Resources Division. ""The Justice Department is committed to vigorously enforcing our nation's environmental laws, and we are pleased that Hoosier has agreed to install state-of-the art controls that will significantly reduce harmful emissions.""/EPA issued a notice of violation to Hoosier, an Indiana electric generation and transmission cooperative, alleging that in 2008 it made modifications at its Merom coal-fired power plant without first complying with New Source Review requirements, including obtaining pre-construction permits and limiting emissions based upon best available control technology./The settlement requires Hoosier to reduce air pollution from the cooperative's Merom and Ratts Stations, located in southwest Indiana. Emissions of sulfur dioxide (SO2) will be reduced by approximately 20,000 tons and nitrogen oxides (NOx) by more than 1,800 tons. The settlement will also reduce harmful sulfuric acid mist and particulate matter (PM) emissions. To achieve these reductions, Hoosier will upgrade existing, and install new, pollution controls at the Merom plant, install new pollution controls at the Ratts plant, and comply with annual tonnage limitations across its system. Hoosier estimates that it will spend between $250 and $300 million upgrading and installing pollution controls at its coal-fired units through the end of 2015./Hoosier will spend $5 million on environmental mitigation projects in its service territory to address the impacts of past emissions. Hoosier must direct $200,000 for projects to mitigate the harm caused by Hoosier's excess emissions at lands owned by the U.S. Forest Service. The remaining $4.8 million will be spent on one or more of the following projects:/* Coal Bed Methane: Hoosier will capture and combust methane from coal beds to generate at least 10 megawatts of electricity. Carbon dioxide emissions resulting from the combustion of methane will be supplied to a greenhouse for use as a fertilizer./* Wood Appliance Change-out and Retrofits: Hoosier will sponsor a wood-burning appliance change-out and retrofit project. Hoosier will provide incentives through rebates, discounts, and in some instances, replacement of old, inefficient, high polluting wood-burning technology./* Clean Diesel Retrofits: Hoosier will retrofit in-service, public diesel engines with emission control equipment designed to reduce air pollutants./* Solar Technologies: Hoosier will install solar power systems on public schools or on buildings housing non-profit groups in the company's service territory./The settlement marks EPA's 20th settlement under its national enforcement initiative to reduce emissions from coal-fired power plants under the Clean Air Act's New Source Review requirements. Sulfur dioxide and nitrogen oxides, two key pollutants emitted from power plants, have numerous adverse effects on human health and the environment./These pollutants can cause severe respiratory and cardiovascular impacts, and premature death. Sulfur dioxide and nitrogen oxides are also significant contributors to acid rain, smog, and haze. In addition, air pollution from power plants can drift significant distances downwind, thereby effecting not only local communities, but also communities in a much broader area./The proposed settlement was lodged in the U.S. District Court for the Southern District of Indiana and is subject to a 30-day public comment period and final court approval Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Commuters lot worsens as city turns fifty,"Islamabad, July 26 -- After a half century of its existence which the Capital Development Authority (CDA) is coaxing the citizens to celebrate the capital city of Islamabad and Pakistan's most modern urban metropolis remains as backward as any other old town of the country in terms of essential services like transport, which is the life blood of civic mobility./As a result local residents and the tens of thousands of commuters who move in Islamabad are the most harassed of its 1.7 million population that is daily pushed around and robbed of precious hours and hard earned money by uncouth private transporters on its ever broadening roads and avenues. Years have gone by and no one in the government has ever bothered to improve the situation by introducing a decent bus service for the commuters who have to shuttle daily between Rawalpindi and Islamabad./Many commuters, including students and government servants, live in Rawalpindi. What they have to face daily why coming to and returning from Islamabad cannot be imagined by the ruling elite who travel in free chauffeur driven cars and have no idea what the common citizen has to go through to reach his or her place of work./It is a daily ordeal that ends in utter frustration and sense of loss. Its no surprise why the public servant is so nervy and ready to explode; why inefficiency is the order of the day./The cost of transport has multiplied in the last few years and now increases by the day at every rupee added to the cost of gas or petrol. The fares do not come down when fuel costs fall./The fares pinch because there is no improvement in the service. People might be willing to pay more for bus and van fares if the service was improved. Once a private company had started a decent bus service in the twin cities but it was soon closed down by connivance of the transport thugs and the civic authorities who have a stake in the profits./The SSP, Islamabad Traffic Police, Dr. Moeen said that there was no plan to start a public funded government transport service. The absence of an efficient public transport service has forced the public to maintain their own cars and motor cycles which even the new and broad avenues being built in Islamabad have been unable to contain and the problem of traffic congestion and jams was growing incrementally in addition to the great increase in pollution. Consumption of costly imported fuel that the country could save has increased beyond actual need as petrol guzzling cars are transporting single persons around the city./He agreed that all over the world governments provide subsidy to run public transport./He said they had proposed to the government that new schools should not be permitted if they did not have their own transport for the students./The Director General Pakistan Environment Protection Agency (Pak-EPA) Mr. Asif Shuja, said that traffic burden on the roads of Islamabad was increasing day by day due to non availability of public transport. While more than 100, 000 vehicles were entering Islamabad daily from different cities spewing their poisonous smoke into the environment. He said due to increasing air pollution more than 22,000 people were dying annually in Pakistan. Capital Development Authority was spending billions of rupees annually for expansion of old roads and construction of new avenues, which was also depleting the greenery of the city./Ramzan Sajid, spokesman of the CDA, admitted that lack of public transport in Islamabad was creating problems for the common man. Due to non-availability of public transport, people were forced to bring their private transport on roads creating traffic jams and air pollution./In previous years banks also financed car schemes on soft terms which aggravated the situation and presently more than 300,000 vehicles were registered in Islamabad, while 2,500 vehicles were being registered monthly./In the current budget Capital Development Authority had allocated Rs100 million to start a bus service initially within Islamabad before the end of the year, he said./He also assured that at a later stage the service will be expanded to serve Rawalpindi also. This will be done in collaboration with private companies Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Three new VETS to be setup to control pollution in Khyber Pakthunkhwa: Minister,"PESHAWAR, July 27 -- Khyber Pakthunkhwa Minister for Environment/and Forests, Wajid Ali Khan on Monday said that three new Vehicle/Emission Testing Stations (VETS) would be setup to test and analyzes emissions of all kind of patrol and diesel vehicles to control/environmental population in the province./The new VETS would be established in D.I.Khan, Mardan, and/Abbottabad districts under the annual development programme 2010-11/to provide pollution free environment to people, he told Right Vision News./Special focus is being made to strengthen the existing VETS,/transport regulatory authorities, transport service delivery units/and establishment of a business development unit to facilitate the/concerned business community by providing them congenial atmosphere,/he added./The government has allocated Rs.501.795 million to complete 5/ongoing and 5 new schemes in Transport Department in the annual/budget 2010-11, he added./The rapid increase in the number of vehicles, lack of emission/control technologies, low oil and fuel quality, lack of enforcement/and awareness are one of major factors contributing to air pollution/levels in Peshawar./Wajid Khan said the government has decided to establish the VETS/to test and analyze emissions of all kind of petrol and diesel vehicles./""VETS is the beginning of a new chapter for vehicular emission/control in Pakistan and its objectives are reduction of harmful/emissions, better fuel and engine efficiency, reduced maintenance requirements, and to test and identify vehicles which are violating/the notified National Environmental Quality Standards (NEQS).""/He said VETS was established June 1 1997 and formerly inaugurated/on August 7, 1997 by the then Chief Minister NWFP. The first ever Vehicle Emission Testing Station since June 1997 is in full operation near Chamkani Chowk, Peshawar on self sustainable basis./The main objective of Vehicle Emission Testing Station (VETS) is to/support the reduction of vehicular emissions and it is practicable and sustainable in other parts of the province, he added./The technology would help test and analyze the load of exhaust/emission, will issue fitness certificate, make the vehicle owners comply with the notified standards , provide training and technical support on emission equipment and disseminate know-how and information./He said that currently two mobile units with the help of traffic/police and equipped with smoke meters/CO analyzers carry out spot checks/at various locations in Peshawar and its results are quit satisfactory./The vehicles failing the road test are challaned by the mobile teams/under the Motor Vehicle Ordinance (MVO) section 163/112 and the owner/drivers are asked to get a fitness certificate from VETS./Vehicles that pass the emission test at VETS are issued a green pass/sticker (six months for diesel vehicles) and a nominal fee of Rs.100 is charged for the test and that all the data regarding the tested vehicles is stored in a computerized data bank./He said the mobile teams are equipped with latest portable BOSCH diesel/and petrol emission testing equipment. These teams have the mandate to check the diesel/Petrol operated vehicles on roads, assist Traffic Police in channelizing the vehicles to VETS and to create mass awareness./He urged people to cooperate with VETS staff . The cooperation of media/in highlight the environmental issues would be highly welcomed. The Environment Minister said that green journalists award has been introduced to encourage journalists to continuously writ on environmental issues. The first prize of the award is Rs.25,000, second Rs.20000 and Rs.15000 third prizes under the green journalist award which are being given on World Environment Day every year Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Environmental pollution plagues city residents,"LAHORE, July 27 -- The city is becoming a living hell for the residents due to the presence of a massive amount of solid waste in and around their localities, with no facility ever established by the government to recycle or properly dump toxic material./According to environmental experts, the authorities, including Water and Sanitation Agency (WASA) and the City District Government of Lahore (CDGL), have chosen not to determine a specific site for toxic waste dumping. Instead, poisonous waste is dumped in various residential localities, causing not only health hazards in general public, but also contributing its share of contaminants into the already polluted environment./The federal or provincial governments have so far failed to develop waste recycling facilities for industrial cities such as Lahore, Karachi, Sialkot, Faisalabad, Kasur, etc. As a result, these cities are the worst places to live in, in terms of environmental conditions./The air pollution in the city has reached an alarming level due to an increase in the number of vehicles and disregard for industrial standards and environment laws by those who matter./The district government machinery, including WASA, has been alleged to have a habit of throwing solid waste close to residential colonies./The deadly solid waste contains metals, plastic, textiles, rags, rubber, paper, cardboard, glass, wood and other organic matters. A major part of the waste is not recyclable and is extremely dangerous for the environment. The only way to get rid of such material is to dump it./The key sites where the toxic solid waste is being dumped include the Mehmood Booti, Saggian, Baggrian and Sabzazar areas. The densely populated areas of the city are not spared of waste either, most of which is thrown into drains and onto roads./The district government collects the waste from across the city only to throw it on the outskirts of the city, and has become a permanent source of pollution in this second-largest city of the country./City government sources told to media that the city produced 5,000 tonnes of solid waste a day till a few years ago, but this had multiplied with the passage of time./A World Bank study pointed out various factors contributing to the worsening environmental conditions in the city and other parts of the province. Insufficient legal and regulatory by-laws, lack of awareness among residents, lack of a comprehensive SWM administration, financial and technological difficulties to build and operate waste treatment facilities, shortage of experienced manpower, absence of private sector participation in the waste management process and lack of research facilities are a few factors to account for, the study says./Mohsin, a resident of J Block Sabzazar, told to media that the district government and WASA authorities mischievously dump solid waste in their locality, forcing the people to learn to live with a constant nauseous atmosphere. The contamination caused by the garbage, not only pollutes the locality, but also caused health hazards, he said./He said the presence of waste at such a large scale provided an ideal breeding ground for mosquitoes, increasing malaria cases in the locality./The situation at Mehmood Booti is not different either, where the people are made to suffer the worst kind of health issues when winds blow southwards and stink up the environment./Senior doctor and environmentalist Dr Yasmeen Rashid told to media that solid waste produced in the city was becoming one of the key causes of pollution and diseases in poor localities./She said that seepage of toxic materials in areas where solid waste was being thrown by government agencies was contaminating the underground water and causing severe ailments to the citizens, including stomach and lungs diseases, and even cancer./She said the government never heeded to the demands of the citizens to stop dumping garbage on the outskirts of the city and establish proper dumping facilities. She said 70 percent of the underground water in the city had been polluted./She said the city had one of the purest aquifers in the world because of its access to fresh water directly coming from the Himalayas, yet the successive governments in the country failed to act in time and understand the problem./Environment Protection Department spokesman Naseemur Rehman told to media that the department was concerned about the issue, and a multi-dimensional policy was being evolved to cope with the solid waste issues./He said the district government had signed a number of agreements with private stakeholders to collect, recycle and properly dump the solid waste, apart from developing different committees to study the problem./He said development of proper dumping sites to replace Mehmood Booti and other places was also on the cards, and the government was planning to build such facilities in the Kahna and Sundar areas where the solid waste would be properly classified and then dumped into deep excavations. Naseem said the Environmental Impact Assessment Report of the proposed site near Kahna had already been finalised by Nespa Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Ferry County residents can swap burn barrels for compost bins,"OLYMPIA, July 28 -- The State Of Washington has issued following Press Release:/In August, Ferry County residents can trade their empty burn barrels for free compost bins as part of an effort to limit wildfires and air pollution./The use of burn barrels is illegal in Washington. The Washington Department of Natural Resources (DNR), the Washington Department of Ecology (Ecology) and Ferry County Waste Management are working together on a project that will collect and destroy barrels in Ferry County. They want to reduce the risk of wildfires in the county, along with the harmful smoke that wildfires produce./Outdoor residential burning, which is illegal in most parts of Washington, is a leading cause of wildfire ignitions across the state. Wildfires destroy property, harm the environment and endanger people./They also produce smoke that can harm people. Breathing fine particles in smoke can cause health problems like asthma, emphysema and lung cancer./During August, Ferry County residents can exchange their empty burn barrels for free compost bins while supplies of bins last. Exchanges will take place between 8 a.m. and 3 p.m. on Tuesdays (Aug. 3, 10, 17, 24, 31), Thursdays (Aug. 5, 12, 19, 26) and Saturdays (Aug. 7, 14, 21, 28)./For more information please contact /<a href=""mailto:plusnewspk@gmail.co"">plusnewspk@gmail.co</a>/ Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
Three VETS to be set up to control pollution,"PESHAWAR, July 28 -- Khyber Pakthunkhwa Minister for Environment and Forests, Wajid Ali Khan on Monday said that three new Vehicle Emission Testing Stations (VETS) would be setup to test and analyzes emissions of all kind of patrol and diesel vehicles to control environmental population in the province./The new VETS would be established in D.I.Khan, Mardan, and Abbottabad districts under the annual development programme 2010-11 to provide pollution free environment to people, he said. Special focus is being made to strengthen the existing VETS, transport regulatory authorities, transport service delivery units and establishment of a business development unit to facilitate the concerned business community by providing them congenial atmosphere, he added./The government has allocated Rs.501.795 million to complete 5 ongoing and 5 new schemes in Transport Department in the annual budget 2010-11, he added./The rapid increase in the number of vehicles, lack of emission control technologies, low oil and fuel quality, lack of enforcement and awareness are one of major factors contributing to air pollution levels in Peshawar./Wajid Khan said the government has decided to establish the VETS to test and analyze emissions of all kind of petrol and diesel vehicles./""VETS is the beginning of a new chapter for vehicular emission control in Pakistan and its objectives are reduction of harmful emissions, better fuel and engine efficiency, reduced maintenance requirements, and to test and identify vehicles which are violating the notified National Environmental Quality Standards (NEQS).""/He said VETS was established June 1 1997 and formerly inaugurated on August 7, 1997 by the then Chief Minister NWFP. The first ever Vehicle Emission Testing Station since June 1997 is in full operation near Chamkani Chowk, Peshawar on self sustainable basis./The main objective of Vehicle Emission Testing Station (VETS) is to support the reduction of vehicular emissions and it is practicable and sustainable in other parts of the province, he added./The technology would help test and analyze the load of exhaust emission, will issue fitness certificate, make the vehicle owners comply with the notified standards , provide training and technical support on emission equipment and disseminate know-how and information./He said that currently two mobile units with the help of traffic police and equipped with smoke meters/CO analyzers carry out spot checks at various locations in Peshawar and its results are quit satisfactory. The vehicles failing the road test are challaned by the mobile teams under the Motor Vehicle Ordinance (MVO) section 163/112 and the owner/drivers are asked to get a fitness certificate from VETS. Vehicles that pass the emission test at VETS are issued a green pass sticker (six months for diesel vehicles) and a nominal fee of Rs.100 is charged for the test and that all the data regarding the tested vehicles is stored in a computerized data ban Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
"More, Better Environmental Information Needed To Underpin Sustainable Development","Karachi, July 30 -- Countries have mixed track records over the past decade in managing the environment, according to the tenth edition of the World Bank's Little Green Data Book released today. Uneven availability of environmental data also emerges as a hindrance to promoting and monitoring environmental sustainability./Each year over the past 10 years the Little Green Data Book has taken the pulse of the world's environment, recording progress in some areas but regression in others, with wide disparities across regions. For example, urban air pollution declined in most countries between 2000 and 2006 (the most recent year for which data is available), with the greatest progress in low-income and lower middle-income countries. But concentration levels are still nearly three times higher in these countries than in high-income countries. Every year, an estimated 800,000 people die prematurely from lung cancer, cardiovascular and respiratory diseases caused by outdoor air pollution./""Environmental data helps us to understand whether countries are on a sustainable development path or not,"" said Warren Evans, Director of the Environment Department, World Bank, ""Environmental sustainability underpins the factors of production and the well being and productivity of the labor force, but too often is relegated to the back burner when important investment and policy decisions are made. Policy makers need more and better environmental information to help them make better decisions.""/Since it was first published in 2000, the Little Green Data Book has tracked how the world has become drier as water resources per capita have diminished under the pressure of fast-growing population. Water availability is below scarcity levels in the Middle East and North Africa and South Asia. Forest cover has fallen in Latin America and the Caribbean, South Asia, and Sub-Saharan Africa. In developing countries the net loss of forest area for 2000-07 is estimated at 80,000 square kilometers a year./In addition, the lack of access to modern energy continues to be an important health risk factor in the poorest countries, where nearly 50 percent of energy use comes from biomass fuels and waste. Indoor air pollution is responsible for over 1.6 million annual deaths and 2.7 percent of the global burden of disease (in Disability-Adjusted Life Years or DALYs)./""The World Bank has worked hard on the analysis and advocacy that helps countries focus on the environment and has been the largest multilateral source of environment-related financing,"" said Kirk Hamilton, Lead Environmental Economist, World Bank, ""All policymakers and development professionals, no matter what sector they are active in, should be able to find much of the information they need in the Little Green Data Book.""/Under the headings of agriculture, forests and biodiversity, energy, emissions and pollution, water and sanitation, environment and health, and national accounts aggregates, the Little Green Data Book compiles 50 indicators for over 200 countries each year. The Little Green Data Book is based on the World Development Indicators (WDI), the primary World Bank database for development data from officially-recognized international source Published by HT Syndication with permission from Right Vision News. For any query with respect to this article or any other content requirement, please contact Editor at /<a href=""mailto:htsyndication@hindustantimes.com"">htsyndication@hindustantimes.com</a>"
