headline,body
Polluted economy," There is no doubt in it that Pakistan would have to be environmental standards compliant if it wants to have a healthy nation and desires to do business with the rest of the world. It would have to look more vigorously into all environment related issues ranging from fast increasing level air pollution to water pollution and noise pollution./Today, when the whole scenario has been changed and world has become a global village, environmental issues could easily demolish the economy of any country because all major countries including European Union have set very strict environmental standards and are reluctant to import goods, specially food, from countries facing the environmental problems like Pakistan. Pakistan is already facing many crisis including energy, law and order and political instability etc, therefore, it can't afford more crisis. Government and masses have to pay attention towards the issue of pollution; otherwise it would not only play a major role to derail Pakistan's economy but also adverse effects on our future generations./A study report of World Health Organisation (WHO) says in the developing world, pollution is guilty for 5% of total demises. As far as Lahore is concerned, near 65,000 people die every year while 1300 people lose their lives because of diseases produced by the polluted environment. A medical expert has also revealed that 22% Lahoris are suffering from Asthma, a disease that born and grow in only polluted environment./Pakistani people are facing three types of pollution, air, water and land. Major reason of air pollution is rapidly increasing vehicles, thanks to car leasing schemes of banks. Approximately, daily 12 lakh vehicles travel on the roads of Lahore city and number of vehicle escalating with the ratio of 15 to 20 percent annually. Though, high petroleum prices have encouraged the people to use CNG as fuel in their vehicles, still the usage of petrol is on the higher side and creating serious environmental issues./Noise is also a kind of pollution. Vehicles at roads and machines in factories make noise throughout the day and disturb the whole atmosphere while illiterate and senseless drivers are also responsible to poison the environment as they are use to use horns without any need and hesitation. They do not care whether they are making it in the front of a hospital, school mosque or residential area. Noise pollution is putting heavy mental strain on the people of Lahore. Besides increasing blood pressure and stress levels, noise pollution can also put deadly effects on hearing. Water pollution infects the water and makes it unfit for drinking and other human use. It is also a major cause of most of the water-borne diseases like Hepatitis and dysentery and skin problems./It is a matter of satisfaction that PML-N Government has initiated a campaign to create awareness among the masses, regarding deadly and unaffordable effects of pollution. This awareness would be enhanced through newspapers, television, workshops and seminars gradually. Awareness in masses could be very helpful to curtail pollution problems hurriedly. Indian government has done a lot to curtail the pollution and yield very positive results by initiating awareness campaign. A large number of Indian drivers turn their vehicle engines off at traffic signal, not only to save some fuel but also to control pollution generated by fuel./Forests not only help to reduce the environmental problems but also control temperature. In Pakistan a large number of trees are being murdered without any adequate efforts to plant new plants. This leads to deforestation, which has caused a rise in the pollution levels and distortion of natural order. Government should not only take measures to protect the existing forests but also start growing non-natural jungles like Changa Manga./I do want to share with you that why I chose the environmental issue at this point in time when the whole world is facing financial constraints. Actually the global recession has provided us an opportunity to increase our exports to the desired levels but to my understanding the environmental issues are coming in the way quite prominently./To my understanding, the private sector in Pakistan alone can not handle the environment related issues and neither the government can do it. Both the sides would have to join hands to tackle the situation. Like neighbouring India who sensing the gravity of pollution situation Delhi, converted all its public transport on CNG, we would have to take some solid and sector specific measures to deal with the monster./We should start war against pollution to save not the economy alone but the whole nation as well otherwise our future generation will not forgive us."
Air pollution in our cities," Air pollution in, more or less, all our big cities has become a great nuisance. Ill-planned urbanization, not road worthy vehicles on the road, lack of awareness and despicably weak institutional capabilities for air pollution management and such other local factors and actors have played havoc with air quality in our cities and towns./Last month, I have had an opportunity to visit my home district Larkano, one of the most inexpensive cities of fruit, fish, vegetables and other daily usable commodities in the world, where I could see and experience that air pollution in the city has become an increasingly serious issue. Dirt and dust nuisance has made lives of the people miserable and in different mohallas even difficult to breath. According to one public health consultant from Larkano, People of all age groups, in particular, elderly people, pregnant women and children have started suffering from lung damage, heart disease, strokes and cancer due to poor air quality and heaps of dirt and dust clouds hovering over the city because the roads, lanes and drains which are being dug and the construction of different buildings which never is completed in well in time in this city and people suffer./I often think that let the poor people of this country be sitting and using the contaminated soil or water, inhaling dust or soil, suffering from ingestion of food, skin diseases or increased acute respiratory disease but it would never ever the be topmost concern of our ruling elite to devise ways and means to control air pollution and improve the quality of air to save their lives."
"Knackered, smoke-emitting vehicles taking toll on public"," The poorly maintained vehicles, emitting toxic black smoke, have swarmed the city roads, causing not only air pollution but also lungs and respiratory diseases./During a survey conducted by this correspondent, residents of different area regretted that Kamalia and its surroundings are getting swarmed with pollution-emitting vehicles amid the inefficiency and indifference of the traffic police./Most of the vehicles including bikes, motorcycle rickshaws and cars have faulty and poorly maintained engines, billowing out toxic black smoke and polluting the environment./They accused the officials of traffic police and Regional Transport Authority (RTA) of connivance with the transporters for 'bribe.' Those supposed to check movement of the smoke-emitting vehicles have turned their back on the culprits who are wreaking havoc with the public health and environment, they charged./They regretted over the indifference of the authorities concerned and pointed out that corrupt and inefficient officials are responsible for this situation./Had the officials discharge their duty, the situation would have been better today, said a citizen who introduced himself as Amjad./He said that you cannot blame the transporters alone for this grave violation as they (vehicles owners) can't dare ply on roads at their own./The traffic police or any other government agency concerned never bother to bind the owners to get their vehicles examined and ensure its fitness./The public at large has expressed concern over the rising pollution and lungs and respiratory diseases, demanding the government to check the situation./The residents of the different areas also appealed to the authorities to conduct a grand operation against vehicles causing pollution to check environmental deterioration./RESOLUTION OF FARMERS WOES: Prompt payment to farmers after the purchase of wheat and swift resolution of their problems is the top priority of the government, PML-N lawmaker Nishat Ahmed Daha said./Speaking to the farmers during visit to a wheat procurement centre here, he said that the Punjab chief minister has directed the PML-N lawmakers to visit wheat procurement centres so that the farmers' problems could be resolved swiftly./He pointed out that agriculture is the backbone of economy and the government has taken various measures to enhance farmers' capability./Assistant Commissioner Ch Muhammad Khalid, Tehsildar Rao Muhammad Zafar and In-Charge Wheat Procurement Centre Syed Haider Shah were also present on the occasion."
A solution to pollution," Pollution is the major problem as a result of which several respiratory diseases are caused./These diseases have severe impact./A solution to it is to plant more trees through which we can reduce air pollution./Trees are nature's answer to diminishing air pollution as well as reducing respiratory problems./According to the US Forest Service, broad scale-estimates concluded that trees are saving more than 850 humans live by improving air quality./Trees absorb odours and gases which cause pollution like nitrogen oxide, ammonia, sulfur dioxide and ozone./So let's make tree Plantation our goal and not just wait for the government to do so./Let's just do it ourselves and save lives."
Polluted Turbat," Being a citizen of Turbat, I am facing several problems in the form of air pollution while traveling to college./Many vehicles that have not been maintained over the years are discharging too much smoke, which is affecting the environment./I am also suffering physically, and was sick for nearly a month./Diseases such as coughing, sore throat, headache and many other dangerous diseases have affected me already./For one whole week, I was unable to attend my classes, leading to my education suffering./I request Balochistan CM Sanaullah Zahri to ban or charge such vehicles, which are responsible for so much air pollution in the region."
Pollution in Karachi," A prevailing problem in Karachi is pollution./Being an industrial city, it produces thousands of tonnes of solid waste./Some of Karachi's fertile land is used to dump waste products./Due to the accumulation of waste, many diseases are spreading in Karachi./People from lower socio-economic class search these heaps of garbage for material that can be recycled./This practice has adverse effects on their health./The streets of the city are very poorly kept./Gutters and water pipelines leak in many areas mixing clean water with polluted water./Water borne diseases are spreading at a rapid pace./The hygienic conditions of the city are poor./Garbage is sold and burnt as a fuel./This produces air pollution./Moreover, it also gives way to many diseases such as lung diseases etc./The environment is put under harm and thus nature suffers greatly./According to a research 80 percent of the garbage can be recycled if the collectors collect it separately as in, put similar materials into the same place./I urge the Government of Sindh to take necessary reforms to improve the state of environmental affairs in Karachi./If prevailing practices continue, life in the city will face even more challenges as it does today./Burning of garbage should be banned./Those who illegally sell garbage should be put to punishment."
City air pollution crosses red line," The entire population of Lahore is at risk of getting diseases due to ever deteriorating ambient air quality, experts say./In a recently released report, World Health Organization (WHO) revealed that 92 percent of the world population lives in places where air quality levels exceed danger level, posing serious health hazards./As many as six million deaths in a year are linked to exposure to outdoor and indoor air pollution./The most dangerous pollutant is particulate matter with a diameter of less than 2.5 micrometres, or PM2.5./It includes toxins like sulphate and black carbon, which can penetrate deep into the lungs or cardiovascular system./Ninety-four percent are due to non communicable diseases - notably cardiovascular diseases, stroke, chronic obstructive pulmonary disease and lung cancer./Air pollution also increases the risks for acute respiratory infections./As per the experts, the situation is worse in Lahore where pollution level is much higher than any estimate due to excessive emissions from moving and stationary sources, continuing demolition and construction activity and fast disappearance of trees for development purposes./""Environmental Protection Agency lacks equipment to gauge level of pollution./As such there is no data to determine the ambient air quality./The WHO report has made alarming revelations./Pollution is high in urbanised and industrialized centers./But the situation is bad in developing countries and even worse in cities like Lahore,"" said Ahmad Rafay Alam, a leading lawyer and environmentalist./Referring to a report published about a couple of years back, he said that level of pollutants was seven to 14 times higher than the WHO standards in different parts of Lahore during different seasons./""Even during monsoon, level of pollutant was seven times higher than the WHO standards./In winter and following transition period in weather, the level increased 14 times"", he told The Nation./""The level of pollution would have definitely increased due to enhanced emissions from industries and vehicles./Continuous rising of dust from roads is another major source./Large scale digging and construction activity has increased pollution level manifold,"" Alam said, adding that ongoing wok on mega projects has made Lahore dirtier than the most polluted cities on the globe./He said that the prevailing factors have deteriorated ambient air quality to a dangerous level./""PM10 affect eyes, skin, throat and respiratory system./PM2.5 is more dangerous as it enters blood through lungs./This type of pollution has caused considerable increase in cardio vascular diseases.""/He further said that children were at greater risk of getting diseases due to weak immune system./Such level of pollution, he added, also hinder normal growth of brain of infants./""Even those mostly staying indoors are not free from risk of exposure to pollution./Air polluted with fine particulate matters enters rooms./As such housewives and infants are also at risk of getting diseases./""We can say that 100 per cent population of Lahore is exposed to excessive pollution and as such is at risk of getting diseases,"" said the environmentalist."
Second Hand Smog," Lahore has been choking under a blanket of smog for the past two days and the people of this city are incensed, as they should be./The place that was once known as the city of gardens has become a concrete jungle filled with smoke, traffic, dust and now hazardous gases that have no release due to the cold high pressure in the upper atmosphere./The smog was probably caused by unchecked burning of farmland in India, however our own ecology has been broken down to a point that such manmade disasters harm us more than they should./Thousands have complained about breathing problems, eye irritation and reduced visibility on roads, terming this event as the worst in the history of Lahore./The smog comprising nitrogen oxide, carbon monoxide, sulphur dioxide and other aerosols, is only made worse by the ever increasing vehicles on the expanse of highways and roads that were made at the cost of 2200 precious trees, with nefarious plans of cutting 1900 more./If this catastrophe is not a wakeup call for the provincial government, then nothing is./The most disturbing fact is that we have no system or proper equipment for monitoring air pollution, despite the fact that Lahore ranks in the top ten cities in the world for the worst quality of air./The intensity of the problem cannot be understood or identified and hence the government is completely lost as to how it can address this live hazard./With the EPA in disarray since its director general was sacked recently, in the absence of a barely functioning body that should have declared this event as an environmental emergency, the people have no knowledge about the precautions they can take to protect themselves from this poisonous smog./Staying indoors and wearing facemasks can prevent a degree of damage to the lungs and eyes and also avoiding using your own cars and vehicles on heavy smog days is the least that can be done to prevent exacerbating the problem."
Court moved," Walid Iqbal, grandson of great thinker and National Poet Allama Dr Iqbal, filed a writ petition in the Lahore High Court seeking directions for the Punjab government to take adequate steps to control smog and air pollution in the provincial capital./Iqbal filed the petition through his counsel Advocate Sheraz Zaka and submitted that many ill-planned development programs were initiated in the city./He said digging at several places in the city had caused huge pollution./The petitioner said people had been suffering from the Smog which he said was the mixture of dust and smoke in the air./Life had turned miserable due to this endemic air pollution./The government authorities, he said, did nothing to prevent the city from pollution which was increasing fast./People had been getting ill due to it, he said./He prayed the court to direct the government for taking adequate steps to control smog and air pollution."
Smoke not smog," We are not contributors toward air pollution but rather its victims. Most of the smog you see here is coming from India"", indubitably postulates our Punjab Environment Protection Agency (PEPA) official. The hilarity that is this statement is beyond comprehensible. The ease with which officials play on the 'Indian conspiracy' and toy with society's emotions is astounding. Our officials mindlessly and without caution tap into baseless argumentation, without fail. Yet these laughable individuals are our representatives, and we allow them to exploit their positions. What is even more unnerving, however, is that the so called 'educated' civilians buy into these theories. As a nation, collectively, it has never been hard for us to brush aside any issue and blame it on India./Smog is air pollution; a blend of smoke and fog. However, at 21 degrees Celsius in Lahore, fog is NOT in the mix - this current blanket is purely smoke and sulphur dioxide. We call this photochemical smog i.e the chemical reaction of sunlight, nitrogen oxides and ozone that creates this haze. The chemicals that are currently burning your eyes and itching your throat include aldehydes, nitrogen oxides, particularly nitric oxide and nitrogen dioxide, peroxyacyl nitrates, tropospheric ozone and volatile organic compounds. The cooling temperature makes the air heavy, and locks these chemicals at the ground level - it is not smog, it is smoke./Contributors include, mass traffic, rubbish incineration, expansive urban development and fossil fuel burning. Lahore is the second largest industrial city in all of Pakistan. It has both small and large industries - those within its boundaries and those just outside. When the last census was conducted in 1998, it was home to 5.143 million people. In the 18 years since, and with a 1.49% per annum population growth rate according to U.N estimates, Lahore has become the second largest and second most populous city in Pakistan. It is the 32nd most populous city in the world./Lahore is slowly becoming home to millions more through unprecedented rural-urban migration. 54% of the world's population currently resides within urban cities, and this will continue to expand to approximately 66% by 2050. To put this into perspective, the world population will be nigh on 9 billion by 2050 as projected by UN statistics. Not only is this putting a strain on cities themselves, but it is making those within them all the more vulnerable./The buildings that we reside in globally, collectively contribute to 45% of greenhouse gas emissions merely through cooling, heating and powering. 54% of the electricity in Pakistan is contributed by fossil fuel burning. Global warming has attributed to sky rocketing temperatures in Pakistan, leading to excessive use of air conditioning and (because of faithful load shedding) generators. With no garbage disposal or recycling system, the waste in the city is usually burnt. Every car has only a single individual making use of it. The exorbitant Orange Line is subjecting endless amounts of dust onto civilians and a myriad other projects are taking place simultaneously. Uncurbed deforestation in the nation, and callous tree cutting within Lahore as well, has immense ecological impacts that cannot be related in a single article./The United States Environmental Protection Agency created a measure called the Air Quality Index (AQI), to relay air quality information to the general public. An 8-hour average of ozone concentration between 85 to 104 parts per billion volume (ppbv) is unhealthy for 'sensitive' citizens, 105-124 ppbv as unhealthy to the general public and 125-404 ppbv as 'very unhealthy'. What is currently occurring in our city has not been translated to us because the PEPA 'lacks the equipment for real-time monitoring of the city's air quality' as described by the same spokesperson./This kind of noxious environment is extremely hazardous to all civilians of society. It can inflame breathing passages, decrease the lungs' working capacity, and cause shortness of breath, pain when inhaling deeply, wheezing, and coughing. No matter how much you try to escape it, it is present in the air of your homes and offices. One cannot imagine the impact on our birds and insects that provide us with important ecosystem services./Cities of the world account for around 70% of global energy consumption and greenhouse gas emissions. Yet they only cover 4% of the world's land mass. Ecosystems have often proved resilient to human damage, capable of healing itself. But human actions no longer harm only a small fragment of a forest or pollute only the air around big cities. October 31, 2016 marked the 3rd year since 2014 (when the UN announced the date) as World Cities Day. This was done to create awareness about global urban expansion and the aggressive need to challenge growth. Climate change is attributed to colossal amounts of fossil fuel combustion and monolithic deforestation. We forget, however, the primary reason these issues take place is due to the ceaseless growth of our urban landscape./In the age of information and technology, there are ways to direct and adapt cities to benefit humans, their way of life and the natural world. Intelligently designing our cities could reduce chances of damage./Renewable energy investments will pay back quicker if neighbourhood layouts and urban networks are coordinated with building strategies. A large-shared geothermal energy system for heating and cooling buildings within one network will help save everyone costs. Similarly, if the same is done for solar energy panels, energy savings could reach 30 percent or more. Net energy will always be produced and could be sold to other grids. This means, poorer segments of society could have electricity cheaply catered to them too. Germany is testament to the benefits of renewable energy when it paid its citizens to use electricity./Green roofs have become exceedingly trendy, and have been known to benefit the buildings where they have been installed. Studies have indicated that buildings with green roofs are substantially cooler than neighbouring buildings that do not have them. This means a marked decrease in use of cooling or ventilation for those buildings. In addition, the ecological importance of green roofs is becoming very valuable. Firstly, it would aid the transpiration process, so that we have timely rainfalls. Secondly, they provide homes and shelter to our pollinators (birds and bees) who are slowly losing their habitats. Ensuring the health, safety and reproduction of our pollinators ensures that we are still provided with their eco-system services; such as pollination, which stabilises forest growth. Restabilising forests means keeping global warming in check, and hence reducing risks of natural disasters. Lastly, more green will ensure better air quality for all residents./Mass transit must be completely overhauled. China is slowly working its way to become a world leader in developing state-of-the-art, fast and efficient electric trains and buses. These will carry its working population to their jobs and back with zero emissions. Zero carbon emissions spells better health for city dwellers, meaning less strain on the health system and less burden on city officials and tax payers./Miraculously, all of this will do no harm to the environment, benefit human health and safety and save humanity billions of dollars. These are only a few examples, yet the benefits are far-reaching./Why don't we attribute this smog to the world's largest polluter, from whom we live downwind, our friend and neighbour China? Lahore, Delhi and Beijing come under the world's top 10 cities prone to the worst smog - Beijing coming in at first place. The fact is, however, that in the anthropocene era, one city or country is no longer the sole contributor - it is the entire world."
