headline,body
"KPT directed to ensure safe storage, transportation of coal"," The Sindh High Court has directed the Karachi Port Trust to take appropriate measures for safe handling and transportation of coal and submit a report within a month./The court also ordered environmental impact assessment of the handling facility that deals with over 4.5 million tons of imported coal./The directions came on a petition of Ashfaq Qureshi and other residents of the Shireen Jinnah colony against coalstorage facility near the residential area. Petitioners' counsel Khawaja Shamsul Islam had submitted that handling of millions of tons coal at the KPT terminal was causing serious threat to the health of residents of the area and the environment./He stated that due to the coal terminal inhabitants of the area were facing the serious consequences of environmental effects which had resulted in raising number of cases of respiratory diseases in the locality besides the road from Shireen Jinnah Colony to the sea always remain clogged with heavy vehicles transporting coal to various industrial units./Report submitted by the Sindh Environment Protection Agency (SEPA) on import, handling and storage of imported coal at Karachi Port Trust said that the KPT neither had carried out the Environmental Impact Assessment mandatory under the Pakistan Environment Protection Act nor obtained an environmental approval for handling and transportation import of over 4 million tons coal./Director General SEPA Naeem Mughal said that in view of coal storage site in a densely populated area the entire locality seems an environmental disaster. He said that it was obvious that hundreds of people in the particular location could be affected with respiratory, eye and other diseases due to air pollution containing coal dust particles./The report said that dust pollution was causing respiratory and other diseases at the location and local people also expressed their grievances due to pollution generated from the coal yard./The DG submitted that the SEPA entirely remained unaware of such large activity of coal import, although it was being carried out for last 8 to 10 years, having serious environmental issues, adding that in case compliance of environmental laws, the SEPA would have imposed some specific bindings on the KPT for taking strict careful measures to minimise the present environment concerns through implementation of a management plan./The SEPA submitted that the KPT should conduct detailed environmental audit through a reputable and independent environmental firm for coal import, handling and storage and a report be provided to the agency so that mitigation measures may be taken by the KPT to deal such an environmental issue./It was also suggested that huge quantity of coal may not be stored for a long time and cycle of import should maintain quantity of coal and its onward transportation in order to minimise the adverse effects on environment and residents of the locality./The report suggested that all operation must be carried out in such a manner that flow of dust particles into the air were minimised and this could be achieved if transportation of coal be made thoroughly in completely covered vehicles. Besides, the SEPA should be allowed to form a committee of experts who shall be authorised to inspect the coal handling and give suggestions to ensure protection of the environment./The division bench, headed by Justice Sajjad Ali Shah, after perusal of the report directed for safe storage and transportation of coal and for submission of a report with a month./The court also ordered environmental impact assessment of the coalhandling facility, reduction of coal quantity to 300,000 tons, transportation of coal through covered vehicles and regular spray of water on coal stakes."
Power generators add to pollution," Heavy power generators installed in residential and commercial localities are posing a serious health hazards to citizens./The Environment Protection Wing of City District Government Lahore (CDGL), which is supposed to protect citizens from pollution and its effects, is only acting as observant. During the current year no major campaign has so far been launched to check the major cause of pollution and only individual raids have been conducted to increase the volume of progress files./The sale of generators, especially diesel generators, has surged in the city due to loadshedding. Another important point is that there is no authority to regulate installation and use of heavy generators, which have increased noise and air pollution in residential and commercial localities./The city is already facing increased levels of noise and air pollution and residents are suffering a lot. Now the use of high power diesel generators installed outside business outlets in commercial localities in almost every nook and corner of the city has increased poison in the atmosphere./Use of generators was once confined to industrial areas, but following the ongoing loadshedding businessmen have started installing generators at their shops, offices and outlets. Majority of the generators were installed and operated without any precautionary measures to contain discharge of air pollutants and noise./One can hear heavy noise of generators in almost every commercial area during electricity breakdowns. In most of the cases, people have placed these heavy generators outside their shops and offices or on footpaths. On the other hand, the rules and regulations of Environmental Protection Department are not clear about installation of generators. The rules only cover industrial sector and these consumers are bound to get an NOC from the department. A senior official of EPD revealed that noise releasing from generators should not be more than 70 decibels but in majority of cases this noise is more than 80 decibels. He claimed majority of public complaints filed before the Environment Department of CDGL were either used to get some favours from the violators or would be used later on. He revealed noise level has already crossed the permissible limits of National Environment Quality (NEQ) standards in majority of the city's congested areas such as Bhatti Gate, Railway Station, DCO Office, Mozang, Charing Cross and Yateem Khana Chowk is between 102 to 114 decibels. ""Sustained noise over a period of time can engender deafness in the form of gradual losses in hearing. This is the most common loss in teenagers today listening to loud music,"" said Dr Hamza Imran, a TNT specialist. He said rising level of noise pollution is one of the major sources of heart, mental and ear diseases among the Lahorites, he said, adding voice unit beyond 75 decibel become injurious to human health. He said hospitals and educational institutions are among the places badly affected by noise pollution and now unchecked installation of generators in the residential localities will be injurious to human health./On Tuesday, officials of Environment department, CDGL issued notices to two business concerns of Gulberg for causing pollution through generators. Multiple complaints from general public were pending against these concerns./When contacted, District Officer (Environment) Younaz Zahid refused to give any data or answer any question officially. He said he is not a focal person and can't give any comment on any news related to environment."
MKRMS holds seminar on COPD," An awareness seminar on 'Chronic Obstructive Pulmonary Disease (COPD)' was held here on Tuesday. The seminar was organised by the Mir KhalilurRehman Memorial Society (MKRMS)  Jang Group of Newspapers, in collaboration with GSK Pakistan and Pakistan Chest Society and was largely attended by health officials, patients of pulmonary diseases and students./The speakers on the occasion were Brigadier (r) Dr. Mohammad Babar Cheema, who is professor of Medicine and Chest Diseases, visiting pulmonologist at Rawalpindi Institute of Cardiology, Margalla Institute of Medical Sciences, and Dr. Kausar Rehana, assistant professor of Pulmonology at PIMS./Brigadier (r) Dr. Mohammad Babar Cheema, while speaking on the occasion, said COPD can occur due to many factors. The major factor for COPD is cigarette smoking, smokeemitting cars and factories and indoor fuel burning. ""It is quite different from allergies that does not grow with time but these diseases grow with time silently and the patient knows when the damage is done. It is never too late and regular checkups from doctors help stop its progression. The quality of life can be improved if there is an early detection. If a person experiences shortness of breath, he should immediately consult the doctor so that early diagnosis can lead to proper treatment at an early stage. Further delay can cause inflammation and destruction of walls and can obstruct oxygen transfer from atmosphere to the blood. Doctor's invention is a must before the damage is being done. In Northern Areas, the major cause of COPD is fuelburning without proper ventilation,"" he said./Dr. Kausar Rehana said that COPD is a common and treatable disease that is characterised by persistent airflow limitation that is usually progressive and associated with an enhanced chronic inflammatory response in the airways and the lung to noxious particles or gases. COPD includes chronic bronchitis and emphysema. The causes for COPD includes smoking, air pollution (environmental pollution), biomass inhalation, passive smoking, genetic factors and aging can somewhat contribute to these chronic illnesses. After 40 years of age, the functions of the airways of the lungs start deteriorating. ""When we breathe in air, the air travels through airways in our lungs to millions of tiny air sacs called alveoli but in COPD the airways may become inflamed and clogged with mucus. There can be occupational exposures to people i.e. coal mines, asbestos, etc. that can lead to respiratory infections. In cigarettes there are 70 chemicals that can lead to cancer. 'Sheesha', 'Beeri', 'Niswar' are no less dangerous than cigarette because they all lead to pulmonary infections and if left unattended can lead to death. There is a test being done for people which is called spirometry test, through this test the doctors can determine COPD and the treatment can be started. People think that they are having smoking cough taking it lightly until it's too late. They don't consult the doctor and 50% of the lung function is damaged. This problem should be captured in stage 1 and stage 2, but nothing can be offered in stage 3 and stage 4 and that damage cannot be reversed,"" she said./Dr. Rehana said that if a person experiences shortness of breath, persistent cough, coughing up mucus/phlegm, wheezing, fatigue, tiredness, weight loss or weight gain, morning headaches then he should immediately consult the doctor. ""A person with COPD sees worsening of cough, a change in the colour or amount of phlegm, should also consult the doctor immediately. According to WHO survey done in 2010, 2.9 million death in the world. Exacerbations of COPD in Pakistan is highest in the world. Ion from COPD, the experts suggested that a person should avoid these triggers that are cigarettes, chemicals, fumes, dust, air pollution, flu and pneumonia. To avoid COPD from occurring, a person should wash their hands regularly, develop healthy eating habits and exercise. Proper usage of inhalers and vaccines for flu should be done to avoid these diseases,"" she said."
Concern over pollution in Rawal Lake," The Federal Minister for Climate Change, Mushahid Ullah Khan, has expressed his deep concern over different environmental, particularly water and air pollution, which continue to affect the health of the people. He said that environmental degradation has emerged to be a grave socio-economic issue for the country and effective policy measures are needed to address these problems./In his statement issued here on Monday, the minister called upon the officials of different sections of climate the change ministry, particularly environment, forestry and Environmental Protection Agency-Islamabad (Pak-EPA) to play their due role in this regard and work hard consistently to cope with the environmental issues, particularly illegal tree-cutting, deforestation, water and air pollution. He warned, ""There is no place for inefficient, incompetent and lethargic officials and officials in the climate change ministry./They have to prove themselves through hard work and efficiency to address the environmental problems being face by the country or they have to go."" Mushahid Ullah Khan said it is a matter of deep worry that pollution in the Rawal Lake continues to increase and relevant environmental agencies and departments have failed to check the contamination of the lake. ""He said that no one will be spared if found of not tacking against those, who are responsible for contamination of the Rawal Lake,"" he warned./He noted that the thousands of people are being affected with different water-borne diseases by drinking the contaminated water of the lake, because the people have no choice but to consume the water infested with diseases."
Pakistans disease burden may escalate further," Federal Minister for Climate Change Senator Mushahidullah Khan has warned that Pakistans disease burden and its overall impact on socio-economic development made in recent years may further escalate because of rapidly changing and erratic climate./""The disease burden is likely to increase in urban areas like Karachi, Hyderabad, Sukkur, Lahore, Multan, Faisalabad, Rawalpindi and Peshawar, where living standard and health quality of the people are continuously declining, particularly in the context of increasing air and water pollution,"" he said./He said primarily fuelled by increasing level of carbon pollution, climate change poses a grave risk to the health and well-being of people, particularly in developing countries like Pakistan right from aggravating the risk of asthma attacks and other respiratory illnesses/allergies to the spread of certain vector-borne diseases./The minister said that scientists have already projected that ozone concentration in most of the urban centres across the world including Pakistan would increase because of climate change, swelling worldwide the number of ozone-related emergency room visits for asthma by 7.3 per cent./Senator Mushahidullah Khan highlighted that climate change has also caused rise in frost-free days and warmer air temperatures, as being witnessed in colder areas of Pakistan including Islamabad. These can, in turn, cause a greater production of plant-based allergens, he warned./Referring to WHO studies on climate change impacts on human health, he said pre-existing health conditions make older adults particularly vulnerable to the respiratory impacts of air pollution. Higher rates of diabetes, obesity and asthma in some communities may place them at greater risk of climate-related health impacts."
Unending woes," Iraqs dismal health situation is testimony to the invasion of the country by foreign forces, including now the takeover of important parts of its territory by Isil. The Iraqi people have been the subject of mass executions, rape, torture and, in addition, the destruction of the countrys infrastructure. The international community has been mostly deaf to the needs of Iraqis, who have undergone difficulties much greater that during the regime of Saddam Hussein./It is estimated that since January 2014, 2.9 million people have fled their homes, 6.9 million Iraqis need immediate access to essential health services, and 7.1 million need easier access to water, sanitation and hygiene assistance. Presently, 8.2 million people in Iraq need immediate humanitarian support./Women and children have not been spared the brutal consequences of the war. Survivors of gender-base violence and rape experience trauma, and suicides among women and girls have risen markedly in recent years. Childrens health status has deteriorated in the last 12 years. In addition, they have been used as suicide bombers and human shields and have been killed by crucifixion or buried alive./Iraqis health status is a reflection of the deterioration of the countrys health system. Medical facilities, which in the 1980s were among the best in the Middle East, have deteriorated significantly after the 2003 invasion. It is estimated that during the war 12 percent of hospitals and the countrys two main public health laboratories were destroyed./Sanitary conditions in hospitals remain unsatisfactory, and medications and trained personnel are in short supply. Even basic health care is unavailable in regions of the country under armed conflict. As a result of the collapsed sanitation infrastructure, the incidence of cholera, dysentery and typhoid fever has increased. Malnutrition among children and other childhood diseases have also increased./Doctors in the thousands have been leaving the country and those that remain are under constant threat to their personal safety. As Medecins sans FrontiAÂ¨res (MSF) stated, ""Until now, it is extremely difficult to find Iraqi doctors willing to work in certain areas because they fear for their security.""/Despite some government aid and reconstruction plans, several remote areas are excluded from state reconstruction and development efforts, leaving thousands of Iraqis without access to essential health care up to this day. As a result, thousands of Iraqis are obliged to sell their homes and possessions to seek health care abroad./The widespread environmental damage caused by the war, including the degradation of forests and wetlands, destruction of wildlife, and increased air pollution will have long term impacts on peoples health. In addition, medical researchers have expressed concern about peoples health being seriously affected by the use of white phosphorus and depleted uranium by American and British forces./The continuing conflict has exacted a heavy toll on all Iraqis mental health and quality of life. ""Many Iraqis have been pushed to their absolute limit as decades of conflict and instability has wreaked devastation. Mentally exhausted by their experiences, many struggle to understand what is happening to them. The feelings of isolation and hopelessness are compounded by the taboo associated with mental health issues and the lack of mental healthcare services..."" said Helen ONeill, MSFs head of mission in Iraq./We are facing nothing less than the almost total destruction of a country by an ill-advised invasion whose consequences are still being felt. Someday, somebody will have to respond for it."
Urban health risks," Rapid urbanisation has significant repercussions on migrants' health. The increasing movement of people from rural to urban areas often alters the characteristic epidemiological disease profile of the country, and at the same time new diseases appear or old ones reemerge. Such is the case of HIV/AIDS, tuberculosis, and malaria. Urbanisation is also associated with changes in diet and exercise that increase the prevalence of obesity with increased risks of type II diabetes and cardiovascular disease./Additional mobility-related risks among migrants include poverty, vulnerability to sexual abuse and exploitation, dangerous working conditions and separation from social support networks. Many of these conditions affect the most vulnerable segments of the population: women, children and the elderly./Although many migrants are young and healthy when they arrive in the cities, poor and overcrowding conditions increase the incidence of some diseases such as malaria, typhoid fever and respiratory diseases when compared to local residents. In recent years, for example, tuberculosis has shown higher rates of infection, a problem compounded by delayed diagnosis and inadequate care./In addition, migrants show high rates of sexually transmitted diseases, including HIV/AIDS. Because of their high mobility, migrants tend to spread the virus when they return to the countryside, where health facilities are not as well equipped to deal with the infection as they are in the cities./Many of migrants' health problems are due to their lack of knowledge of how to use existing health services. In addition, because of the high cost of hospital attention, many migrants are reluctant to come to the hospitals to be taken care of./On most indicators of maternal and infant health, migrants fare worse than the urban population. Many migrant women work in industries where they are in contact with environmental contaminants which are especially dangerous to the reproductive system of women when they are pregnant./Children are especially susceptible to disease when they are born and develop in an environment characterized by overcrowding, poor hygiene, excessive noise, and lack of space for recreation and study. They suffer not only from a hostile physical environment, but from stress and other factors such as violence that such environments create./Many city dwellers take for granted access to basic public services, such as drinking water supply, housing, solid waste disposal, transportation and health care. For the poor, however, these services are either deficient or nonexistent. Instead, those living in marginal poor zones usually receive an extra dose of environmental pollution, since many industries tend to cluster in outlying areas where regulations are more lax. Unemployment, poverty and living in crowded conditions contribute to violence, substance abuse and mental illness./Particularly in cities, motor vehicles are an important source of air pollution. In addition, they can be a significant cause of pedestrian injuries and fatalities. The pollutants that originate from motor vehicles, particularly nitrogen oxides, hydrocarbons, ozone, and particulate matter, account for a substantial proportion of air pollution in cities which can have a serious impact on health./Crowded urban neighborhoods, combined with poor sanitary conditions and inadequate waste removal, create situations favorable to the spread of infectious diseases such as pneumonia, tuberculosis and diarrhea. Inadequate sanitation is an important risk factor for diarrheal and parasitic diseases./Given the serious effects that urbanisation can have on health, it is essential to include health considerations into policy making."
"Report calls for global action to protect environment, secure health of future generations"," A new report released Thursday by The Rockefeller Foundation-Lancet Commission on Planetary Health, calls for immediate global action to protect the health of human civilization and the natural systems on which it depends. The report, Safeguarding Human Health in the Anthropocene Epoch, provides the first-ever comprehensive examination of evidence showing how the health and well-being of future generations is being jeopardized by the unprecedented degradation of the planets natural resources and ecological systems./The report was written by a Commission of 15 leading academics and policymakers from institutions in 8 countries, and was chaired by Professor Sir Andy Haines of the London School of Hygiene and Tropical Medicine, UK. It demonstrates how human activity and development have pushed to near breaking point, the boundaries of the natural systems that support and sustain human civilizations./""This Commission aims to put the health of human civilizations, and their special relationship with the larger biosphere, at the centre of concerns for future planetary sustainability,"" says Dr. Richard Horton, editor-in-chief of The Lancet and one of the report authors./The Commission warns that a rising population, unsustainable consumption, and the over-use of natural resources will exacerbate these health challenges in the future. The worlds poorest communities will be among those at greatest risk, as they live in areas that are most strongly affected and have greater sensitivity to disease and poor health./""The Commission has issued a dire warning: human action is undermining the resilience of the earths natural systems, and in so doing we are compromising our own resilience, along with our health and, frankly, our future,"" said Dr. Judith Rodin, president of The Rockefeller Foundation./""We are on the verge of triggering irreversible, global effects, ranging from ocean acidification to biodiversity loss,"" says Professor Haines. ""These environmental changes - which include, but extend far beyond climate change - threaten the gains in health that have been achieved over recent decades and increase the risks to health arising from major challenges as diverse as under-nutrition and food insecurity, freshwater shortages, emerging infectious diseases, and extreme weather events.""/Solutions to these clear and potent dangers are within reach, say the Commission authors, but the world needs to take decisive, coordinated action to protect the environment and secure the health of future generations. The Commission outlines a range of beneficial policies and actions that can be taken by governments, international organizations, researchers, health professionals and citizens that are good for both health and the environment. Examples include benefits from reduced air pollution, healthy diets with more fruit and vegetables, active transport (walking and cycling), reduced urban heat stress from green spaces, and increased resilience to coastal flooding from intact wetlands and mangroves. In addition, the report identifies some major gaps in evidence and the research that is needed./The 15 distinguished commissioners of the Planetary Health Commission are Chris Beyrer, Fred Boltz, Tony, Capon, Alex Ezeh, Gong Peng, Richard Horton, Sam Myers, Sania Nishtar Steve Osofsky, Subhrendu Pattanayak, Montira Pongsiri, Agnes Soucat, Jeanette Vega, Derek Yach. These commissioners are from academic institutions (Duke University, Harvard University, John Hopkins School of Public Health, the London School of Hygiene and Tropical Medicine, Tsinghua University, UCL and the United Nations University; government institutions (the National Health Fund (FONASA) of Chile and the United States Environmental Protection Agency); multilateral institutions (the World Bank); and civil society institutions (African Health and Population Research Centre, and Heartfile, Pakistan./The News reached out to Dr. Sania Nishtar, one of the Commissioners based in Pakistan, to get to know what planetary health was first-hand. She explained, ""Planetary health is the concept that the health of humans and the natural systems of the planet we live on are interlinked and that making positive changes to benefit the environment can also substantially improve the health and wellbeing of people everywhere. By taking a holistic or ""planetary health"" approach, we can help protect both the health of human civilization and the state of the natural systems on which it depends.""/Sharing her views about Pakistans situation in relation to the report, Sania Nisthar said, ""Pakistan is facing threats from a combination of adverse environmental trends and high population growth rate. To cite an example, Pakistans per-capita surface water availability, which was 5,260 cubic meters per-person annually in 1951, is expected to decline to 1,100 by 2035, the water scarcity mark and less than 900 by 2050. On the other hand, the countrys population is exploding. From 34 million in 1950 to 190 million today, our population is expected to rise to 300 million by 2050. The two trend lines drawn based on these figures should be a wakeup call.""/Dr. Sania added, ""Water scarcity has serious implications for economic growth since agriculture contributes 23% of the total GDP. It has grave implications for food and energy security in an already constrained milieu. Supply side water scarcity can be compounded manifold when complicated by demand-induced scarcity due to the countrys exploding population, especially when viewed in the context of constrained economic opportunities and joblessness."" She went on to explain that ""Our existing pattern of inequitable distribution of resources is compounding water stresses-in particular rifts between the countrys agricultural and industrial elite over distribution of water for irrigation vis-AÂ -vis water for hydroelectric power generation; rivalries between feudal strongholds over availability of water for irrigation and tenuous relationships between the provinces over the share of water and revenues tied to it. As climate change and environmental changes become more manifest, the chances of conflict due to competition for resources will increase. As a country, we need to think about these mattes strategically and with a view to taking definitive action.""/The Commission has ambitious plans for a number of regional launch events - in Johannesburg, New York, Los Angeles, Islamabad, Kuala Lumpur, Nairobi, Melbourne, Beijing, Santiago and London. The Islamabad launch is planned for July 24."
The cost of coal," Lahore is fortunate that the Punjab government last month abandoned its plan of setting up a small coal-fired power station near the BRB Canal following which the Lahore High Court disposed off a writ petition by some concerned citizens against the pollution-causing project./However, the government is moving ahead with a similar project of a 110-MW coal-fired power plant in the suburbs of Faisalabad city. The civil society is silent over this. No elected representative of the people has raised a voice in the provincial or national assembly to enquire about the pros and cons of this project and its likely impact on the people living in that area./The Punjab Power Development Company Limited, a government entity, is building the electricity-generation coal-fired plant at the newly-developed M-3 Industrial Estate, 15 kilometres from the Faisalabad city and four kilometres from Chak Jhumra town. At least 12 villages, with a population of nearly 30,000, lie within the three kilometre radius of the power station's site./According to Punjab's Planning and Development (P and D) department, the project will be completed in 2017-18 with a total cost of Rs15.15 billion. Till June 2015, the government has already spent Rs450 million on the project while Rs2.5 billion has been allocated for FY2015-16./There are dense residential areas within 10km of the power station and comparatively sparse residential areas within 1km to 3km of the coal plant. While the electricity generated by the plant will be dedicated to the industrial area, the pollution caused by it will hit all the residents of the surrounding areas./The proposed coal-fired plant will be a conventional thermal power plant operating on sub-critical pressure, non-reheat steam cycle with regenerative feed heating arrangement - technology that is being abandoned in the developed world as well as China./Sub-critical small coal-fired plants are considered to be the most polluting, least efficient and oldest power plants all across the world, but Pakistan is acquiring them. It is widely known that subcritical coal-fired power stations produce 75 percent more carbon pollution and use 67 percent more water as the most efficient coal plants being installed in the US and Europe./According to an environmental and social impact assessment of the project carried out by MMP Consultants in association with Mott MacDonald, if elaborate mitigating measures are not taken, the Chak Jhumra coal-fired power station will pose high risk to the surrounding environment at least on three counts - creation of hazardous material and waste, noise pollution and generation of ash./The assessment report shows that if pollution-control measures are adopted, the environmental degradation of the area will be somewhat reduced but will not disappear. For instance, the leaching of pollutants in the ground water will persist and the concentration of sulphur dioxide, using indigenous coal, would exceed the National Environmental Quality Standards (120Âµg/m3). Noise caused by the power plant will also remain higher than standard limits./A major adverse effect of this plant will be the toxic constituents of coal ash produced in the process; this ash has the potential to impact air, land and human drinking water if mitigating systems are not appropriately designed and ash handling is not correctly managed./The resultant ash from coal usage will consist of silica, lime, aluminium oxide, iron oxide, calcium oxide, sulphate, and silicate and titanium oxide. Potential health risks include cancer, neurological effects, heart damage, lung disease, kidney disease, reproductive problems, gastrointestinal illness, birth defects, and impaired bone growth in children./The disposal of ash, especially flying ash, from the plant will have significant residual impacts on the ground water even after mitigation measures are taken. The water table of the area is already high and disposal of ash in landfill may cause leaching of hydrocarbons in the groundwater./The plant will be located quite close to Faisalabad city which already has significant air pollution, according to the Environment Protection Department. A recent ambient air quality survey in the city showed that concentration of pollutants including particulate matter and nitrogen oxides were higher than the permissible national standards aka NEQS./The operation of the coal-fired power station will lead to emissions of sulphur dioxide, nitrogen oxide, carbon monoxide, carbon dioxide and other pollutants, which have direct and indirect negative impacts on the health of human and other living organisms. Coal plants are also known to release mercury as a waste hazardous material./The impact assessment report has suggested more than 100 pollution-control measures while building and operating the coal-fired power plant. It requires regular monitoring of air quality and ground water by the provincial Environment Protection Department (EPD), which does not have a single laboratory that consistently remains functional to monitor air quality./It's doubtful that the government will adopt these steps given the high cost attached to them. Thus, transparent installation of the plant and its operation are mandatory so that stakeholders know the level of emissions produced by the coal-fired power station./Keeping in view the EPD's defective and dysfunctional laboratories and poorly skilled staff, one can't expect regular monitoring of mitigating measures at the coal plant. There is genuine fear that the coal plant will have a major negative impact on the surrounding environment if the civil society does not keep a close eye on it./The fact is that in developing countries like Pakistan many coal-fired plants operate far below their design efficiencies because of poor quality coal, poor plant maintenance and lack of diagnostic tools./It's hard to imagine that the Punjab government officials, notorious for their lackadaisical attitude, poor work ethics and corrupt practices, will efficiently operate the Chak Jhumra coal plant. A small lapse in pollution-mitigating measures and maintenance of the plant may play havoc with the local population./In 2004, the US enforced strict pollution-control measures at coal power stations such as doubling of the amount of scrubbers installed at power plants and additional retirements of coal capacity which led to a sharp decline in the emissions of sulphur dioxide and nitrogen oxide./Pakistan needs to adopt such standards from the outset to avoid the negative effects of power-generation from coal. It would be better for the government to install coal-fired power stations with the latest and relatively clean technology, which could be a little more expensive but worth it when weighed against the risks involved."
Residents urge CDA for proper disposal of waste," The residents have urged the Capital Development Authority (CDA) to adopt a comprehensive mechanism for proper collection and disposal of solid waste as heaps of rubbish were posing serious threat to the health of citizens./The residents of various areas of the capital told this news agency that the heaps of garbage could be seen everywhere in different areas of Sohan, Faizabad and New Shakarial./Raja Mushtaq, a senior citizen, said that residents of Faizabad and Sohan were facing foul stench emanating from garbage heaps resulting in air pollution. Burning of waste plastic bags and other waste material also pollutes air threatening residents of respiratory and other diseases./CDA was oblivious to this problem over the years and heaps of had become a permanent source of nuisance for the residents he added./Kashif Raja a resident of Khanna Pul said the issue of waste disposal required immediate attention of the authorities./He said sanitary workers instead of removing the garbage used to collect and dump and incinerate the waste on roadside. This causes more trouble to the residents especially the elders suffering from a range of ailments./A senior official of the civic body in municipal wing said people in these areas were used to dump solid waste at improper places despite availability of CDA dustbins. He said that huge piles of rubbish could be seen everywhere even in front of these dustbins./He said that most of waste generated in these areas is dumped on streets or some unauthorised sites like vacant plots which creates difficulty for CDA workers./Federal Government Poly Clinic (FGPC) Executive Director Dr. Zahid told Media that untreated and improper disposal of waste is causing ailments and serious hazards to human health in the various areas of the capital./He said that residents of the areas where there is no proper waste disposal method suffer from infectious diseases like Hepatitis and respiratory disorders. Dr Zahid further said that plastic waste accumulating on the roadside in Faizabad and Pirwadhai areas was posing serious threats to the health of citizens."
