headline,body
Plan to build waste treatment plant on sports ground protested," Score of players and residents from different localities of Peshawar on Friday staged a protest demonstration against the Khyber Pakhtunkhwa government's plan to establish a waste treatment plant on the land allocated for construction of a playground in Ghari Baloch area./The protesters from several villages located on Charsadda Road gathered outside Peshawar Press Club under the leadership of Khyber Pakhtunkhwa Cycling Association president Nisar Ahmad./They were carrying banners and placards inscribed with their demands and chanted slogans against the government for approving construction of a waste plant on the land allocated for construction of a playground in Ghari Baloch./Mr Ahmad said that the government had set up a playground on 150 kanals of state land in the locality under its initiative of constructing playgrounds at the district and tehsil levels across the province./However, he said that the Public Health Engineering Department had recently signed an agreement with the Water Supply and Sanitation Company, Peshawar, for construction of a waste plant on the land of the playground. He said that the velodrome already planned at the site would be the second such facility to be constructed in the country./Peshawar residents say 80-kanal land already allocated for playground/He said that the decision to set up a waste plant in the densely-populated area would not only deprive the local youth of a sports facility, but also result in air pollution leading to outbreak of various diseases among the people./The area's youth councillor, Akbar Khan, and notables Ahad Murtaza and Shayan Shah also opposed the decision. They demanded of the government to withdraw the decision or else they would launch a protest campaign against the plan./When contacted, KP director general sports Junaid Khan said that the sports department had approved a tehsil ground over 40 kanals whereas another 40 kanals were demarcated for the velodrome. He said that the contract in this regard had been awarded and the contractor had so far carried out construction work of Rs4 million. He said that the land was the property of Public Health Engineering Department and now it had signed an agreement with WSSP for construction of a waste plant over 80 kanals./Mr Junaid said that an MoU had been signed with a Chinese firm to carry out the feasibility for construction of the plant, while the construction work on the playground had been stopped. He said that the matter had been brought into the notice of Chief Secretary Azam Khan for its resolution."
Greening economic growth," WHEN I hear people in Pakistan talk of how we really need to focus on economic growth now and on cleaning up later, I cannot help thinking about the Mexican finance secretary's reaction in 2000 when he heard that environmental degradation was costing his country about nine per cent of gross domestic product per annum. I still remember him holding up one hand and pointing the other hand downwards and summing it up as (to paraphrase): you mean we are pushing the country up through our policies to promote growth with one hand, and pulling it down, through environmental degradation, with the other hand?/We talk a lot about sustainable development these days, but to their great credit, the Mexicans went into action in 2000. They initiated an internal discussion on what they needed to do to modernise their environmental sector and to integrate environment into economy-wide policies. They realised that the physical environment was principally affected by actions in other sectors, and so, among other steps, they developed a new programme focused on sustainable development, which placed accountability for environmental sustainability on (initially) 13 different federal sectoral entities, as well as state and local governments. The programme also emphasised the citizen's right to information that would allow one to know the state of the environment in which one lived and how one's welfare was affected. Mexico also established an environmental unit in the finance ministry with the particular mandate of designing and proposing fiscal instruments to support environmental policy implementation and promote behaviour change. The programme resulted in the Mexican government becoming much more agile at using a forum of multiple sectors to generate comprehensive solutions to environmental problems, gathering environmental data and sharing it with the public, as well as creating the right fiscal incentives to facilitate behavior change./Most finance ministers don't think that environment is their business at all, but increasingly we are discovering that it is. Why do I say this? Economic growth is defined in most textbooks as 'an increase in the capacity of an economy to produce goods and services, compared from one period of time to another'. The value (rather than the quantity) of the goods and services is calculated based on current market value, adjusted for inflation and compared across time periods. The unit of measurement is either gross national product (GNP) or gross domestic product (GDP). So, in effect, economic growth is viewed as a proxy for an increase in aggregate productivity./Most economists will tell you that there are five main ways to generate long-term economic growth. The first is a discovery of new or better economic resources. The second is to create more jobs and to grow the labour force (Side note: women coming into the labour force, together with men, in many countries after the Second World War had a major positive effect on their economic growth. The Quaid clearly had this figured out. In a speech at Aligarh in 1944, he said 'Another very important matter which I want to impress upon you, is that no nation can rise to the height of glory, unless women are side by side with you.'). A third is to increase investment in infrastructure and physical capital. Fourth is to create superior technology or products. And fifth is through increasing skills of labourers, and so increasing their productivity./Most finance ministers don't think that environment is their business, but we are discovering that it is./What does all this have to do with environmental degradation? The latter affects citizens' health, causing early deaths in some cases./Indeed, according to the recent Lancet Commission on Pollution and Health's report, almost one in four premature deaths in Pakistan is attributed to pollution. In other cases, it causes illnesses that prevent people from reporting to work. Finally, in Pakistan, repeated bouts of malnutrition and environmental diseases (such as diarrhoea) in children under the age of two years results in reducing children's IQ levels and their educational and cognitive performance. All this taken together means that the country's productivity is lowered rather significantly./A case study on Pakistan in a World Bank book, Environmental Health and Child Survival, tried to estimate the cost of disease, using 2005 data, in terms of loss of productivity, early mortality and health costs associated with environmental factors, such as lack of clean water, inadequate sanitation, poor waste disposal, indoor and outdoor air pollution, vector-borne diseases, such as malaria, and problems arising from industrial chemicals and wastes. It also included malnutrition-mediated indirect effects of environmental risk factors. The estimated annual cost of direct and indirect impact of environmental risk factors for Pakistan came to almost 9pc of GDP per annum. In comparison, our annual GDP growth in 2005 was a high 7.7pc, according to World Bank data. Just think how much higher it could have been./It seems to me that a major input to achieving greater economic growth, that we can directly affect, are our people. Clearly, a healthy and educated people lead to both a better workforce and budding entrepreneurs, so that old businesses can be more productive but also new businesses can generate jobs and superior technologies and products. So many countries focus on improving the pillars of health and education as they move up the development ladder from low- to middle- to high-income economies. In Pakistan, as in most other developing countries, environmental degradation is the third pillar of that stool, as it directly affects both health and education outcomes. In addition, pollution results in unnecessary healthcare expenditures, an expensive option for a country with insufficient budget./Pakistan's former finance minister, Shahid Javed Burki, often mentions that today's Pakistan is a very young country, with more than 50pc of the population under the age of 25 years. By his calculations, in the cities, more than 75pc of the population are under the age of 25 years old. These youth, and their energy and enterprise, have the potential to raise Pakistan up. At the same time, it seems that we are holding them down, by lowering their productivity, because of poor air and water quality. Why can't we improve the physical environment and green our economic growth? After all, it will only make our youth even more productive and our country even richer. Let's not please ever say again that we have to grow first and clean up later."
Gorano controversy dominates Thar coal project session on last day of HLF," The controversial issue of Gorano effluent reservoir in Tharparkar echoed at one of the sessions on the concluding day at the three-day Hyderabad Literature Festival (HLF) that drew to an end on Sunday evening./Apparently, the controversial issue came to light at the final day's programme when Tharis affected by the reservoir registered their strong protest over not being given representation on the stage./The session discussed 'Thar coal: prospects for future'. It was the Thari community's concerns and protests that prompted eminent economist Dr Kaiser Bengali who was among the panellists to say: 'While Thar coal project will certainly lead to benefits, there is a dire need to pay attention to the price that the community is going to pay'./The Tharis protested that festival organisers did give space to SECMC (Sindh Engro Coal Mining Company) representative but there was none on the stage to talk about the community's narrative and concerns. After giving vent to their feelings against construction of the reservoir by the SECMC, which they believe was affecting their sources of livelihood, they walked out of the session./Dr Bengali started the discussion by saying that everything had a cost and benefit. 'Development has a cost and environmental impacts. Every development doesn't have equal distributional impact,' he said, adding: 'Every development project must be backed by a debate so that community whose interests are to be affected must become part of decision-making.'/He said the coal project would certainly lead to establishment of new cities and job opportunities but there was a cost to be paid. 'Perhaps we must see the aspect of price of development to be paid by community. Will it benefit people of Thar; or outsiders will find new abodes there? Gawadar's debate revolves around same question. Some steps are taken and more are needed to protect rights of locals who have first right to get fruits of development,' he said./He said that desert has a clean environment and what one must see was that the air was going to be polluted due to coal's extraction or will it affect water quality. Gorano's issue is all about groundwater aquifer due to storage of saline water. A displacement is there like any other project. Moot point is how it is to be compensated or resettled so that social engineering of community is not disturbed./He remarked: 'Dev­elopment's human factor is crucial,' and urged the company that has undertaken mining in the region to use technology in checking air pollution and water contamination./'Growth of new houses in Islamkot indicates as if a katchi abadi is emerging. A planned development is needed for new settlement,' said the economist./He underscored the need for conserving cultural and religious heritage of Thar. 'Two-thirds of Thar should be declared 'national park' with ban on multi-storey construction and establishment of smoke smack industry,' he stressed./SECMC's corporate social responsibility (CSR) wing head Naseer Memon, a writer who has recently joined the company, was mentally prepared for the protest. He tackled them politely, asking the audience to have a serious debate over the issues to raise macro-level questions. 'I find Gorano reservoir a dot in Thar's future as many will surface when more companies start working,' he said. The technical studies on disposal sites were done and they could be shared with others, he added./The pandemonium star­ted when journalist Sohail Sangi, himself a Thari, at the outset of the session objected that 'company [SECMC] representative can hold a news conference to present its case. There is none to give community's narrative,' Mem­on argued that Thar coal and Engro were not synonymous as 13 blocks were there, too. He that all pro-Sindh and pro-Thar forces should look at the issue seriously and if it was not done, then everyone would only rue something after five to 10 years.A former diplomat and head of Sindh Vision, Ali Mardan Rahujo, also expressed his views./Inam Sheikh, Dr Shaheen Ashraf and Waheeda Mah­esar discussed 'Chal­lenges and opportunities to education sector'./The session on 'Problems and prospects of higher education' also ended abruptly after Sindh Univ­ersity students registered their protest over increase in fees and provision of a charity's food to varsity students. They raised placards inscribed with such slogans in front of vice chancellor Dr Fateh Mohammad Burfat, who was sitting on the stage. He and Liaquat University of Medical and Health Sciences vice chancellor Dr Bikha Ram took part in the discussion."
Kohat people protest pollution caused by cement plant," Thousands of residents of some six villages in close proximity to a cement plant have protested against the pollution being created by the factory for the last more than a decade, and demanded installation of filtration plant as soon as possible./The demand was made at a jirga here on Monday. The participants said that the factory was emitting dust and CO2 due to use of coal and crushing of lime stone, causing chest and throat diseases among the people, especially the children./The jirga participants pointed out that there used to be 75 per cent local employees and remaining the outsiders under an agreement but after sale of the factory to private owners there were hardly five per cent local labourers working on contract basis as others had been expelled./They said that the company paid a worker Rs12,000 for 14 hours labour thus violating the policy of the provincial government in that regard. They pointed out that the labour court and the Peshawar High Court had given a decision, ordering for re-employment of the expelled workers, but the plant's administration got the order stayed from the Supreme Court in 2016. They appealed to the apex court to conclude the case at the earliest./An official of the cement plant, when contacted, told that the management was trying to solve the problems of the area people./He said that the plant was changing the old filtration technology with new one with the Chinese help as coal and dust were causing air pollution. He said that a Chinese firm expected to visit the plant soon for a survey./The cement plant gave a grant of Rs40 million recently to the Sarhad Rural Development Programme for forming committees at village level to carry out development according to the needs of the locals. The company has also launched healthcare and poor friendly programmes in rural areas and giving annual cash and medical help to the people, officials said./CHILDREN PARK: The chairman standing committee on information MPA Ziaullah Bangash claims to have sanctioned Rs100 million for beautification of the Tanda Dam resort./During a visit to the area, he directed the officials concerned to start work on the construction of link and widening of main roads. He also ordered construction of a children park and hotels in the dam resort./The lawmaker said hundreds of people thronged the place every day but there was scarcity of excursion places for families and children./VEHICLES' AUCTION: The district administration has asked the departments to auction hundreds of rusting vehicles, and prayer leaders to remove standing water at the ablution places as a precaution against dengue./The directives were issued by the deputy commissioner while chairing a meeting on Monday./He also urged the Auqaf department to create awareness among people about dengue in Friday sermons. He requested the principals of schools and colleges to create awareness about dengue in assemblies./Similarly, he asked the medical superintendents to devise a mechanism for proper disposal of hospital waste. He directed the tehsil municipal administration to provide a vehicle to the Water Supply and Sanitation Company to carry out fumigation in six urban union councils of the city."
'Hattar industries playing havoc with environment'," The residents of different localities near the proposed phase-7 of Hattar Economic Zone have stressed the need for protecting their areas from pollution in case of developing more industries in Haripur. They also sought assurance that the rights of people who had given their precious land for this project would be protected./The Khyber Pakhtunkhwa Economic Zone Development and Management Company (EZDMC) arranged a public hearing on the impacts of industrialisation in Hattar area here on Tuesday where Environment Protection Agency, KP, DG Dr Bashir, officials of EZDMC, representatives of Industrialists Association Hattar and residents of Hattar, Shadi, Khoi Nara, Dingi, Motiyan and other areas were in attendance./Speaking on this occasion, Masood Khan advocate said that the existing industrial units of Hattar had been playing havoc with the environment. He lamented that the people of surrounding and downstream villages were the worst affected in the district and despite repeated complaints the government had not taken concrete steps to check the water and air pollution./Public hearing on impacts of industrialisation held/He said that the respiratory, stomach, brain and eye diseases and cancer were common in these areas since early 80s. He suggested that the government must first take measures such as construction of a waste treatment plant to avoid pollution./Hattar village council nazim Malik Asim said that people were not opposed to industrialisation in the area as they were aware of the economic benefits of this activity, but it should be in such a planned way that the social, economic and environment rights of the residents of surrounding areas were protected./He said that the government should satisfy the people of about the measures it would take for checking air, water and noise pollution and allocating certain job quota in industrial units to those who had given their land for proposed phase-7 of Hattar Economic Zone./Qamar Hayat, a social activist, referred to the harm the existing industrial units of Hattar, especially cement plants, had been causing to the biodiversity./He demanded that the local MPA and district and tehsil nazims should also be invited to the hearing./The villagers also rejected the EIA report of the area that the KP EZDMC got conducted with the help of consultants and demanded practical steps before the construction of industries in phase-7./Speaking on the occasion, EPA DG Dr Bashir told the audience that as per development plan the EZDMC would construct a treatment plant for controlling water pollution while for air pollution the modern bag filtering system would be ensured./He said that no industry would be given no-objection certificate unless effective pollution controlling measures were taken."
Air pollution," DO you know that the air you breathe in could be much more polluted than you ever think? Most studies investigating an association between levels of air pollution and rates of diseases have been conducted in developed countries where concentrations of air pollution, climatic conditions and many other factors are significantly different from those in most developing countries./Air pollution is a big problem in Asian cities. A study on Karachi about environmental pollution shows that the pollution is five times greater than the safe levels recommended by the World Health Organisation (WHO)./The Pakistan government-owned compendium of environmental statics shows air pollution from double to five times of WHO levels. Poor air quality increases the risk of stroke, heart disease, lung cancer and both chronic and acute respiratory diseases, including asthma. Air pollution kills about eight million people annually and is the fourth leading risk factor for premature deaths worldwide . There is a resulting rise of chronic obstructive pulmonary disorder, including non-smokers, children and the elderly. Eighty-eight per cent of the traffic police in Karachi develop a respiratory disease after two years on the job./Environment should be put in the category of our national security. Defence of our environment is just as important as defence abroad."
Smokeless stoves," IT is an innovative technology-based solution for getting rid of the indoor air pollution that occurs due to smoke produced by stoves, particularly used in rural areas of our country, as well as in urban slums too./It helps alleviate health diseases and infections. So many World Health Organisation reports are on the table and its website suggest not to use smoke-producing stove as it adds to bad health conditions rapidly while empirical researchers have found its impacts on the mental and physical conditions of users or the affected ones./A novel fuel-efficient stove, as developed by Masood Lohar of UNDP Global Environment Facility, Small Grants Programme , Pakistan, vents nearly all of the smoke that is produced in the process of cooking. However, innovative stoves have also replaced the cooking method./A smokeless stove is greatly beneficial like it does not carry indoor air pollution, carries high fuel efficiency, low cost, durable, aligned with current habits, having mobility, and easy to install at home for cooking./What our government needs to do is to implement large-scale 'smokeless stove' programmes with awareness campaigns partnered with organisations working to that end./Doing this will strengthen efforts for protecting the environment and fighting effects of climate change."
Quality of air in Islamabad declining," Trying to get away from dangerous airborne pollutants? Do not linger into sectors I-9, I-10 and I-11./And if residents of Islamabad are bent on avoiding both invisible and visible particulate matters that travel through the blood stream and permanently settle in the lungs to cause respiratory problems, add sectors I-8 and areas of Rawalpindi adjacent to the industrial area as no-go zones./According to environmentalists in the Ministry of Climate Change, Islamabad owes its high air pollution to continuous mega development works such as road widening projects, increasing numbers of cars and particularly steel mills, a dominant source of air pollution./Particulate matter in smoke causes respiratory and cardiovascular diseases, says official/'Islamabad may not have the worse air quality but its high enough to have drawn the attention of the Supreme Court over the past years, issuing directions to monitor emissions from steel mills in particular./'The declining quality of air is the biggest environmental issue in Islamabad,' said an official of the ministry./According to another official, the quality of air is worse in I-8, I-9, I-10 and I-11 than other parts of the city higher than what is considered healthy./The official explained that the smoke residents in these sectors see rising from chimneys is black carbon that contains particulate matter 10 (PM10). If inhaled, the particulate matter causes respiratory and cardiovascular diseases./'But worst is the particulate matter 2.5 (PM2.5), mixture of solid and liquid particles that circulate in the air. Inhaling this type of particle can increase risks of lung cancer, heart attacks, strokes and emergency room visits for people with asthma and heart problems.'/He explained that the black smoke was caused by the poor quality of scrap used by steel mills and furnaces./The scrap included oil and paint canisters, one of the actual sources of black smoke./'A lot of problems could be solved if the owners of these steel mills switched on their filtering equipment,' he added./For the residents in these sectors who breathed PM2.5 and PM10 day in day out, there is no respite./Rizwan Butt of I-9/4 said: 'We open our eyes to a toxic fog mixed with tons of poisonous soot when the mills start their engines every morning after 5am. Our children breathe the same air,' he said./Mehboob Ali, who owns a store in the I-9 Markaz, said he tried to keep his face mask as long as he could./'The steel mills and furnaces run even after dark. The black smoke is visible in the darkness of the night. It has been so for many years now,' the shopkeeper said./Here's why the problems of residents in these sectors who breathe particulate pollution is less likely to go away./When Secretary Ministry of Climate Change Khizer Hayat Khan was contacted, he told Dawn that he did not even know that emissions from the steel mills and the deteriorating quality of air in these areas were a problem./'This issue was never brought to my attention,' said Mr Khan./However, after double checking with his subordinates, the secretary said a meeting was held between officials from the Pakistan Environment Protection Agency (Pak-EPA) and owners of the steel mills./'Pak-EPA has asked the steel mill owners to install filters that cleansed the emissions of poisonous components,' Mr Khan said, adding in case of failure the environment watchdog would cancel their leases./'More action is expected along these lines next week,' the secretary added."
Pak-EPA orders shutdown of two steel mills for breaking environment laws," In a crackdown against steel mills in I-9 and I-10 for polluting the air, the Pakistan Environment Protection Agency (Pak-EPA) on Wednesday ordered the shutdown of two steel mills and will also take action against the remaining units for breaking environment laws./Pak-EPA issued environment protection order (EPO) under the Pakistan Environment Protection Act 1997 to Siddiqui Steel Mill and Zia Steel Mill./In the EPO, Pak-EPA has maintained that both steel mills are responsible for causing significant pollution./Smoke from their chimneys was 40pc in excess of permissible limits, action to be taken against other units/During the monitoring of these units on April 2, 2018, the smoke from their chimneys was 40pc in excess of the permissible limit of the National Environment Quality Standards (NEQS)./Pak-EPA has maintained that both steel mills were served with summon notices in the past, extending them the opportunity for personal hearing that were never availed by the owners of the mills./'You did not even bother to appear for personal hearing in order to satisfy the concerned authorities about the violations. You are directed to immediately stop operations of your units till compliance of National Environmental Quality Standards (NEQS),' Pak-EPA said in the EPO issued to both units./The environment watchdog warned that failure to comply with these orders will be considered an offence punishable under the law./Talking to Dawn, Secretary Climate Change Khizar Hayat Khan said more raids will be conducted against steel mills and steel furnaces that are polluting the air./According to environmentalists in the climate change ministry, Islamabad owes its high air pollution particularly to steel mills, a dominant source of air pollution, other than factors such as mega development projects./The officials in the ministry said that the black smoke residents see rising from the chimneys is black carbon that contains particulate matter 10 (PM10) and PM2.5./Inhaling particulate pollution, mixtures of solid and liquid particles that circulate in the air can increase risks of lung cancer, heart attacks, strokes, and emergency room visits for people with asthma and heart problems among a host of other health problems, they said./Officials say that the black smoke is caused by the poor quality of scrap used by steel mills and steel furnaces. The scrap include oil and paint canisters, one of the actual sources of black smoke./Despite repeated reminders from Pak-EPA, steel mills and steel furnaces continue to operate without switching on their filtering equipments, an official in the ministry said."
"Air even in courtroom is polluted, reading tells"," Air quality even inside the lofty Courtroom No. 1 of the Supreme Court leaves much to be desired. A reading taken inside the courtroom on Thursday during the hearing of a pollution-related case showed a scale of 39 particulate matter (PM) when the international standard of clean air is 10PM./Particulate matter is the sum of all solid and liquid particles suspended in the air many of which are hazardous like dust, pollen, soot, smoke and liquid droplets./The reading was taken by Venu G. Advani, a concerned citizen from Karachi, on the request of Chief Justice Mian Saqib Nisar when he inquired whether the former had brought the pocket-sized apparatus to gauge air quality./Mr Advani, who had moved an application to become a party in the case related to environmental pollution in Karachi due to industrial activities, told the court that the apparatus had been impounded by the security outside. The apparatus was brought inside the courtroom on the instruction of the court and Mr Advani told the court after taking the reading that though inside the courtroom the reading showed 30PM, outside it was much higher./He said even a minuscule increase in the pollution index led to 10-year decrease in the life expectancy of individuals who inhaled polluted air./'What are we doing to our children who are not breathing clean air,' Mr Advani lamented./The chief justice regretted that Pakistan had become one of the most polluted countries in Asia and wondered whether the government was doing something to address the alarming situation./One of the reasons of rising air pollution was the fast depleting forest cover, said Justice Ijaz-ul-Ahsan./Children were most susceptible to diseases like asthma, Mr Advani said adding that when children went to schools they were exposed to smoke emitting from cars./He highlighted that Germany had banned diesel cars and said that the move forward was to encourage electric buses and cars./Earlier in his application, Mr Advani had regretted that non-implementation of the World Bank guidelines by the federal and the provincial governments over the last five years had exacerbated the situation./Since the environmental protection agencies had an integral role to play in every province, the budgets of the agencies needed to be enhanced and the powers of their functionaries should be broadened, he said./He stressed the need for identification of major pollutants being released from the industries, saying PM25 was detrimental to the health of pregnant women and children./To ameliorate the situation, he proposed, air purifiers be implanted in schools and the cars which caused pollution should not be allowed to crowd around schools./He said the mechanical and vehicular overhaul was also necessary./When Mr Advani mentioned coal-related pollution hanging over Karachi, the chief justice asked him to move an application so that the matter could be taken in Karachi."
